Key,Czech
9map.appoint.sub_category.expansion,Rozšíření
8map.appoint.sub_category.others,Ostatní
product_change_price.neighbore_town_attacked,Kvůli útoku na město {faction_uuid_town} je cena vyšší o <red>{price_factor} %</red>.
no_defence_allies,Žádní spojenci
map.category.lords,Lordi
map.hostage_player,Výkupné za rukojmí
map.lord_low_loyalty,Lord je připraven odejít
map.lord_rebellion.nobody_support,Nic
map.lord_rebellion_heir,Dědicovo povstání
map.lord_rebellion_king,Ochrana před povstáním
map.hire_bandits,Najímání banditů
map.solders_gift,Nabídnout pomoc
map.appoint.events,Události
map.category.criminals,Temné skutky
map.category.politics,Politika
map.category.attack,Útok
map.category.marriage,Manželství
map.category.trade,Obchod
map.abandoned_town,Opuštěné město
map.marriage_female,Brzké vdavky
map.marriage_male,Ženich se brzo ožení
map.loan,Půjčování peněz
map.king_tribute,Hrozba rabování
map.king_tribute_light,Zdvořilá žádost o příspěvek
map.demand_tribute,Zdvořilá žádost o příspěvek
map.assault_fair,Vydrancovat město
map.assault_unfair,Vydrancovat město
map.city_burn_ai,Hrozba zničení
map.demand_peace,Nabídka mírové smlouvy
map.declared_peace_broken,Mírová smlouva vypršela
map.trade_agreement_broken,Obchodní smlouva vypršela
map.declared_peace,Mírová dohoda
map.demand_defence_alliance_to_player,Návrh spojenectví
map.declared_defence_alliance,Aliance svobodných měst
map.demand_defence_ally_army,Žádost o pomoc
map.demand_vassal_waiting,Čekání na odpověď
map.demand_vassal_attack_waiting,Čekání na útok
map.demand_vassal_light_player,Požadovat vazalství
map.demand_vassal_player,Požadovat vazalství
map.help_against_faceless,Pomoc proti Nesvaté hordě
map.demand_kill_own_bandits_camp,Žádost o zlikvidování zbojníků
map.conquest,Obnovení vazalství
map.king_attack,Žádost o obléhání
map.demand_attack,Žádost o obléhání
map.slaves_offer,Obchod s vězni
map.trade_offer,Obchodní nabídka
map.trade_request,Žádost o obchod
map.village,Vesnice
map.village_neighbore,Vesnice sousedního krále
map.village.short,"Malá osada bez přístupu k obchodu, železu či pokročilým nástrojům."
map.burned_village,Vypálená vesnice
map.burned_village.short,"Vydrancovaná a vypálená vesnice. Po nějakém čase se obyvatelé, kteří se ukryli v okolních lesích, vrátí a znovu ji postaví, ale prozatím tu nikdo není."
map.protect,Hrozba útoku
map.protect.short,Poblíž vesnice se srocuje skupina zbojníků.
map.tribute,Příspěvek
map.tribute.short,- Vesnice dala dohromady sklizeň a je připravena zaplatit ti příspěvek.
map.mill,Vylepšení mlýna
map.mill.short,Vesnický staršina hodlá vylepšit mlýn.
map.hungry,Hladomor
map.hungry.short,Ve vesnici byla mizerná sklizeň. Je zapotřebí jídlo.
map.sick,Mor
map.sick.short,Propuknutí nemoci. Jsou naléhavě zapotřebí léky.
map.meat,Nový chlév
map.meat.short,Obyvatelé žádají o pomoc s postavením chléva.
map.bandits_camp,Tábor lesních zbojníků
map.bandits_camp.short,Zde sídlí lesní zbojníci. Občas zaútočí na tvou osadu.
map.bandits_hostage,Rukojmí – {lord_name}
map.bandits_hostage.short,Lord je držen jako rukojmí a požaduje se za něj výkupné.
map.wolfes,Hladoví vlci v okolí
map.wolfes.short,Smečka hladových vlků blokuje cesty do tvé osady. Brzo však může odejít.
map.slaves,Uprchlí vězni
map.slaves.short,Poblíž tvého města byla spatřena skupina uprchlých vězňů z města {city_name}.
map.fanatics,Skupina sebemrskačů
map.fanatics.short,Skupinka poutnických sebemrskačů žádá o jídlo.
map.theif,Zloděj na útěku
map.theif.short,"Poblíž byl spatřen zloděj, který nedávno pracoval ve městě {city_name}."
map.lord_in_run,Prchající lord
map.lord_in_run.short,Lord z rodu {house_name_1} utekl ze zajetí ve městě {house_name_2}. Pronásledovatelé jsou nablízku.
map.lord_in_run_2,Prchající lord
maplord_in_run_2.short,Lorda z rodu {house_name_1} pronásledují zbojníci. Docházejí mu síly.
map.lord_in_run_3,Prchající lord
map.lord_in_run_3.short,Lord z frakce {house_name_1} se rozhodl odejít z domova a vyhledat útočiště.
map.lovers_in_run,
map.lovers_in_run.short,Dva mladí muži z různých rodů se do sebe zamilovali a utekli spolu.
map.caravan,Chráněná karavana
map.caravan.short,Karavana rodu {house_name_1} s vězni a zbožím je na cestě do města {city_name_2}.
map.dispute,
map.dispute.short,Dva rody se hádají o vlastnictví vesnice. Můžeš jednoho z nich podpořit.
map.bride,Nevěsta hledá partnera
map.bride.short,{soul_uuid_bride} je nyní plnoletá a král pro ni hledá vhodného partnera.
map.groom,Ženich hledá partnera
map.groom.short,{soul_uuid_groom} je nyní plnoletý a král pro něj hledá vhodnou partnerku.
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,POPIS
map.menu.quest.details,Podrobnosti
map.menu.quest.consequences,Možné následky
map.menu.quest.reward,MOŽNÁ ODMĚNA
map.menu.quest.reward_or,nebo
map.menu.status.days_left,Zbývající dny: {remain_days}
map.menu.modal.result.success,Úspěch!
map.menu.modal.result.fail,Neúspěch!
map.menu.modal.ok,OK
map.menu.status.timeless,Neurčito
map.menu.status.go_home,Vrací se domů
map.menu.quest.ignore,Ignoruje
map.menu.quest.waiting,Čeká
map.menu.quest.time_over,Dohoda vypršela
map.menu.quest.tragic,Tragická nehoda
map.menu.quest.bad_opinion,Špatné vztahy
map.menu.quest.hostage_rescue,Záchrana rukojmí
map.menu.button.create_army,Založ novou četu
map.menu.button.send_army,Vyslat
map.menu.prepare_to_battle.header,Bitva – {place}
map.menu.prepare_to_battle.in_town,u bran města {town_name}
map.menu.prepare_to_battle.near_town,poblíž města {town_name}
map.menu.prepare_to_battle.battle_begin,Bitva začala
map.menu.town.guest_lords,Lordi coby hosté
map.menu.town.information,Informace
map.menu.town.economic,Hospodářství
map.menu.town.army,Vojsko
map.menu.army_composition,Složení vojska
map.menu.town.local_lords,Lordi
map.menu.town.ruling_family,Vládnoucí rodina
map.menu.town.status.hostile,Nepřátelskost
map.menu.town.status.friendly,Přátelskost
map.menu.town.status.neutral,Neutrální
map.menu.town.status.independent,Nezávislost
map.menu.town.status.vassal,Vazalství
map.menu.town.status.suzerain,Lenní pán
map.menu.town.relations,Vztahy
map.menu.messenger,Posel
map.army,Vojsko
map.declared_trade_agreement,Obchodní smlouva
map.forcing_neutrality,Vynucení neutrality
map.personal_conflict,Střet mezi sousedy
map.help_against_bandits,Pomoc proti zbojníkům
map.help_against_mountains_bandits,Pomoc proti nájezdníkům
map.neutralization_order,Příkaz k likvidaci
map.menu.town.status.ally,Ve spojenectví
map.menu.town.status.alliance_leader,Hlava spojenectví
map.stolen_rings_offer,Ukradené svaté prsteny
map.holy_defence_was_removed,"<red>Ochrana Milující rodiny byla zrušena!</red>

Agresivní akce znamenají, že už nevyžaduješ <hint=hint_holy_protection>ochranu Milující rodiny</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>Ochrana Milující rodiny</hint> bude zrušena!
map.trade.offer.alias,Město prodává: {resource_name}
map.trade.request.alias,Město kupuje: {resource_name}
map.menu.town.king_family,KRÁLOVA RODINA
map.menu.town.guests,HOSTÉ
map.menu.town.faction_lords,LORDI ({town})
map.menu.town.vassal_of,Vazalové pána
map.menu.town.ally_of,Spojenec rodu
map.player_vassal_rebellion,Rebelský vazal
product_change_price.rats_invasion,Kvůli <hint=hint_prophecy_rats_invasion>zamoření krysami</hint> je cena vyšší o <red>{price_factor} %</red>.
product_change_price.tree_bug,Kvůli <hint=hint_prophecy_tree_bug>červotoči</hint> je cena vyšší o <red>{price_factor} %</red>.
product_change_price.fields_sick,Kvůli <hint=hint_prophecy_fields_sick_one>nakaženým plodinám</hint> je cena vyšší o <red>{price_factor} %</red>.
map.universal_help.danger_army,<center>Agresorovo vojsko:</center>
map.appoint.estimated_time,Odhadovaný čas dokončení: {estimated_time}
map.appoint.estimated_time_army,Cesta zabere {estimated_time}
map.appoint.tasks,Akce
map.category.improve_relations,Vylepšování vztahů
map.guest.remain_stay_time,"<tight><center><b>Postava je mimo město</b></center>.

</tight>Tato postava je momentálně hostem ve městě {faction_uuid}.

Domů se podle odhadů vrátí za {remain_time}."
map.your_province,Tvoje provincie
map.burn_town_waiting,Připravují se na vypálení města
map.last_female_in_faction,Zbývá ti poslední neprovdaná žena
map.defence_alliance_leaving_ai,Konflikt se spojencem
map.defence_alliance_leaving_player,Konflikt se vůdcem aliance
product_change_price.temporary,Dočasné zvýšení cen o <red>{price_factor} %</red>
actor.deep_social_alias.abuse_1,{name_initiator} ztrapňuje osobu {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} uráží osobu {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} nadává osobě {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} zametá s osobou {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} zadupává osobu {name_target} do bláta
actor.deep_social_alias.abuse_6,{name_initiator} citově ničí osobu {name_target}
actor.deep_social_alias.abuse_7,{name_initiator} umlčuje osobu {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} chválí osobu {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} má procítěný rozhovor s osobou {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} utěšuje osobu {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} rozveseluje osobu {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} děkuje osobě {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} vzdává poklonu osobě {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} uznává zásluhy osoby {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} zesměšňuje osobu {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} dělá z osoby {name_target} hlupáka
actor.deep_social_alias.evil_joke_3,{name_initiator} si utahuje z osoby {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} zesměšňuje osobu {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} paroduje osobu {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} si jízlivě utahuje z osoby {name_target}
actor.deep_social_alias.flattery_1,{name_initiator} lichotí osobě {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} podlézá osobě {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} se vlichocuje do přízně osoby {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} se plazí před osobou {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} neupřímně obdivuje osobu {name_target}
actor.deep_social_alias.flattery_6,{name_initiator} velebí osobu {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} masíruje ego osoby {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} si vyměňuje bonmoty s osobou {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} vypráví nový vtip osobě {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} se dobře baví s osobou {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} vypráví anekdotu osobě {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} ukazuje parodii osobě {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} sdílí drby s osobou {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} odhaluje celou pravdu osobě {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} potvrzuje obavy osoby {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} prozrazuje tajemství osobě {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} otevírá oči osobě {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} odhaluje podstatu osoby {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} nenápadně poukazuje na osobu {name_target}
actor.deep_social_alias.slight_1,{name_initiator} nebere zřetel na osobu {name_target}
actor.deep_social_alias.slight_2,{name_initiator} ignoruje osobu {name_target}
actor.deep_social_alias.slight_3,{name_initiator} odkazuje osobu {name_target} do patřičných mezí
actor.deep_social_alias.slight_4,"{name_initiator} předstírá, že neslyší osobu {name_target}"
actor.deep_social_alias.sorry_1,{name_initiator} se omlouvá osobě {name_target}
actor.deep_social_alias.bye_1,"{name_initiator} se před odchodem loučí s osobou {name_target}.
"
actor.deep_social_alias.bye_2,"{name_initiator} slibuje osobě {name_target}, že se vrátí co nejdříve."
actor.deep_social_alias.bye_3,{name_target} přeje osobě {name_initiator} bezpečnou cestu.
actor.deep_social_alias.flirt_1,{name_initiator} se snaží svést osobu {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} zve osobu {name_target} na rande
actor.deep_social_alias.flirt_3,{name_initiator} nebezpečně flirtuje s osobou {name_target}
actor.deep_social_alias.flirt_4,{name_initiator} slibuje osobě {name_target} žhavou noc
opinion_mind_interest.hint_title,Zájem: {interest}
opinion_mind_interest.zodiak_signs,Vůně
opinion_mind_interest.beauty,Vzhled
opinion_mind_interest.age,Kouzlo mládí
opinion_mind_interest.drank,Vliv alkoholu
opinion_mind_interest.love,Zamilovanost
opinion_mind_interest.religious_fan,Náboženské neshody
opinion_mind_interest.scars,Jizvy
opinion_mind_interest.ugly,Znetvoření
opinion_mind_interest.romantic,Potřeba sexu
opinion_mind_interest.opinion,Vztahy
opinion_mind_interest.manners,Rozdílné chování
opinion_mind_interest.guest,Host
opinion_mind_interest.has_paramour,City k aktuálnímu partnerovi
opinion_mind_rumor_prefix,Drb: {rumor}
opinion_mind.abuse,Urazili mě
opinion_mind.abuse_paramour,Uražený partner
opinion_mind.adultery,Neví o mé nevěře
opinion_mind.blinded_relative,Oslepení milované osoby
opinion_mind.bribe_me,Podplatili mě
opinion_mind.chitchat,Nezávazný rozhovor
opinion_mind.close_relative,Blízký příbuzný
opinion_mind.convicted_of_adultery,Partnerova zrada
opinion_mind.coward,Zbabělec
opinion_mind.criminal,Zapojení do zločinů
opinion_mind.deep_talk,Má za sebou hluboký rozhovor
opinion_mind.drunk_fight,Opilecká rvačka
opinion_mind.beat_me,Zmlátili mě
opinion_mind.envy_happy,Velká spokojenost!
opinion_mind.envy_runes,Závist kvůli prstenům
opinion_mind.envy_for_babys,Závist kvůli potomkům
opinion_mind.envy_for_victory,Závist kvůli vítězstvím
opinion_mind.evil_joke,Zesměšnili mě!
opinion_mind.ex_paramour,Bývalý partner
opinion_mind.executed_relative,Poprava milované osoby
opinion_mind.punished_me,Potrestali mě!
opinion_mind.flattery,Lichotili mi
opinion_mind.flirt,Chystané rande
opinion_mind.game_of_dice_loose,Porazili mě v kostkách!
opinion_mind.gift,Dali mi dárek
opinion_mind.good_commander,Úspěšný velitel
opinion_mind.good_joke,Dobrá společná zábava!
opinion_mind.king_gift,Dali mi královský dárek
opinion_mind.heir_envy,Touha po trůnu
opinion_mind.hunt_together,Společný lov
opinion_mind.intrigue,Ošklivé drby
opinion_mind.sorry,Omluva
opinion_mind.jealousy,Rival!
opinion_mind.love,Jsem do něj blázen!
opinion_mind.negative_rumor_1,Jí v noci
opinion_mind.negative_rumor_10,Plánujeme spolu odejít
opinion_mind.negative_rumor_11,Trpí kvůli pohlavní chorobě
opinion_mind.negative_rumor_12,Pomočuje se
opinion_mind.negative_rumor_13,Hromadí odpadky
opinion_mind.negative_rumor_14,Tajný ateista
opinion_mind.negative_rumor_15,Spí na rohožce u dveří
opinion_mind.negative_rumor_16,Tajný pyroman
opinion_mind.negative_rumor_17,Málo se koupe
opinion_mind.negative_rumor_18,Pořád nechává zbytky
opinion_mind.negative_rumor_19,V noci chodí bez šatů
opinion_mind.negative_rumor_2,Dloube se v nose
opinion_mind.negative_rumor_20,Posedlost zlým duchem
opinion_mind.negative_rumor_21,Uctívá pařez
opinion_mind.negative_rumor_22,Neumí souložit
opinion_mind.negative_rumor_23,Škrábe se v podpaží
opinion_mind.negative_rumor_24,Žere hmyz
opinion_mind.negative_rumor_25,Křičí v noci
opinion_mind.negative_rumor_3,Pokukuje po služebné
opinion_mind.negative_rumor_4,Prdí
opinion_mind.negative_rumor_6,Hodně pije
opinion_mind.negative_rumor_7,Pomlouvá lidi za zády
opinion_mind.negative_rumor_8,Krade příbory
opinion_mind.negative_rumor_9,Plešatí
opinion_mind.night_murder,Násilný vrah
opinion_mind.other_relatives,Další příbuzní
opinion_mind.paramour,Duchovní dvojče
opinion_mind.paranoid_hate,Paranoidní nenávist
opinion_mind.personality_arrogant,Pohrdá chudobou
opinion_mind.personality_contradictory_hate,Nevysvětlená nenávist
opinion_mind.personality_contradictory_love,Nevysvětlená láska
opinion_mind.personality_mismatch,Nepříjemná osobnost
opinion_mind.personality_mismatch_heavy,Extrémně nepříjemná osobnost
opinion_mind.positive_rumor_1,Tajně píše poezii
opinion_mind.positive_rumor_10,Tajný romantik
opinion_mind.positive_rumor_11,Lituje minulosti
opinion_mind.positive_rumor_12,Vidí mrtvé
opinion_mind.positive_rumor_13,Smrtelná nemoc
opinion_mind.positive_rumor_15,Zbožňuje děti
opinion_mind.positive_rumor_16,Chová si krysu
opinion_mind.positive_rumor_17,Umí hypnotizovat
opinion_mind.positive_rumor_18,Tajná zamilovanost
opinion_mind.positive_rumor_2,Něžnosti v posteli
opinion_mind.positive_rumor_3,Tajná deprese
opinion_mind.positive_rumor_4,Pronásledování vinou
opinion_mind.positive_rumor_5,Sází květiny
opinion_mind.positive_rumor_6,"Sní o tom, že se naučí létat"
opinion_mind.positive_rumor_7,Sbírá přezky
opinion_mind.positive_rumor_8,Tajně pomáhá nemocným
opinion_mind.positive_rumor_9,Dokáže to dělat pětkrát za noc
opinion_mind.pretender_envy,Závist kvůli dědici
opinion_mind.refuse_flirt,Odmítnutí rande
opinion_mind.refuse_flirt_full,Od mě odmítl! Jak se opovažuje!
opinion_mind.reward_me,Získání odměny
opinion_mind.sex,Strávili jsme spolu noc!
opinion_mind.shame_relative,Zneuctění milované osoby
opinion_mind.slight,Ignoruje mě
opinion_mind.spouse,Choť
opinion_mind.suspicion_of_adultery,Podezření na nevěru
opinion_mind.try_to_kill_me,Snažili se mě zabít!
opinion_mind.manners_good,Dobré vychování
opinion_mind.manners_too_high,Příliš dobré vychování
opinion_mind.manners_too_low,Neotesanec
opinion_mind.pregnancy_father,Otec mého dítěte
opinion_mind.pregnancy_mother,Matka mého dítěte
opinion_mind.dummy_bastard,Nemanželské dítě rolníka
opinion_mind.lord_bastard,Nemanželské dítě lorda
opinion_mind.child,Moje dítě
opinion_mind.parent,Můj rodič
opinion_mind.rescued_from_captivity,Zachránili mě ze zajetí!
opinion_mind.speeping_with_my_partner,Spí s mým partnerem!
opinion_mind.uncle,Strýc/teta
opinion_mind.nephew,Synovec/neteř
opinion_mind.brother,Bratr/Sestra
opinion_mind.related_marriage,Příbuznost přes svatbu
opinion_mind.returned_debt,Vrácení dluhu
opinion_mind.not_returned_debt,Zrada mé důvěry
opinion_mind.not_returned_debt_neighbor,Nesplacený dluh vůči sousedovi
opinion_mind.player_paid_tribute,Zaplatili mi příspěvek
opinion_mind.player_refuse_to_pay,Odmítnutí zaplatit
opinion_mind.king_demand_pay,Vymohli ze mě příspěvek
opinion_mind.attacked_me,Zaútočili na mě
opinion_mind.attack_neighbors,Útočí na sousedy
opinion_mind.attack_traity,Agrese proti mně
opinion_mind.attack_traity_neighbors,Agrese proti sousedovi
opinion_mind.attack_coward,Nepřítomnost v souboji
opinion_mind.vassal,Můj vazal
opinion_mind.senior,Můj nadřízený
opinion_mind.vassal_duty_did,Naplněná vazalská povinnost
opinion_mind.betrayal,Zradili mě
opinion_mind.betray_vassal_oath,Porušení vazalské přísahy
opinion_mind.king_bastard,Bastardi by neměli nosit korunu!
opinion_mind.king_woman,Ženy by neměly nosit korunu!
opinion_mind.greetings_me,Pozdravili mě
opinion_mind.loot_my_village,Vydrancovali mi vesnici
opinion_mind.friend_of_bandits,Spolčení s lesními zbojníky
opinion_mind.enemy_of_bandits,Poráží lesní zbojníky
opinion_mind.killed_wolves,Zabití vlčí smečky
opinion_mind.kicked_out,Vyhnali mě
opinion_mind.take_title,Zbavili mě titulu
opinion_mind.kicked_out_my_lord,Vyhnali mého lorda
opinion_mind.discharge,Úleva ze vztahů
opinion_mind.free_lord_terror,Pokus o život svobodného lorda
opinion_mind.my_teacher,Můj učitel
opinion_mind.dictator_habits,Diktátorské sklony
opinion_mind.threatened_me,Vyhrožovali mi
opinion_mind.crime_criminal_not_punished,Nepotrestaný zločin
opinion_mind.friend_of_my_child,Přítel dítěte
opinion_mind.best_friend_of_my_child,Nejlepší přítel dítěte
opinion_mind.enemy_of_my_child,Nepřítel dítěte
opinion_mind.worst_enemy_of_my_child,Úhlavní nepřítel dítěte
opinion_mind.friend_of_my_spouce,Přítel partnera
opinion_mind.best_friend_of_my_spouce,Nejlepší přítel partnera
opinion_mind.enemy_of_my_spouce,Nepřítel partnera
opinion_mind.worst_enemy_of_my_spouce,Úhlavní nepřítel partnera
opinion_mind.sex_with_other,Moje láska se vyspala s někým jiným
opinion_mind.caring_parent,Milující rodič
opinion_mind.good_child,Poslušný potomek
opinion_mind.start_friend,Starý spojenec
opinion_mind.start_sympathy,Sympatie
opinion_mind.start_dislike,Antipatie
opinion_mind.start_enemy,Zapřisáhlý nepřítel
opinion_mind.too_smart,Přílišná chytrost
opinion_mind.sinner,Hříšník (fanatismus)
opinion_mind.was_punished,Oběť trestu
opinion_mind.trade_with_enemy,Obchod s mým nepřítelem
opinion_mind.dont_kill_bandits,Neschopnost zlikvidovat zbojníky
opinion_mind.kill_not_own_bandits,Plete se do záležitostí ostatních
opinion_mind.killed_my_friend,Zabili mi přítele
opinion_mind.killed_my_enemy,Zabili mi nepřítele
opinion_mind.first_night_together,První společná noc
opinion_mind.loot_vassal_village,Vydrancovali vazalskou vesnici
opinion_mind.trade_with_me,Úspěšná dohoda
opinion_mind.victorious_generosity,Štědrost vítěze
opinion_mind.knocked_up_my_daughter,Přivedli dceru do jiného stavu
opinion_mind.rebelled_against_kin,Povstání proti vlastnímu králi
opinion_mind.traitors_slander,Pomlouvání přeběhlíků
opinion_mind.not_control_own_bandits,Neovládá své zbojníky
opinion_mind.unholly_hospitality,Porušení svátosti pohostinnosti
opinion_mind.demand_vassalage_to_me,Snažili se mě podmanit
opinion_mind.mind_kidnaper,Únosce
opinion_mind.mind_kidnaper_neighbore,Unesli sousedova lorda
opinion_mind.mind_assassinate,Vyslali vrahy
opinion_mind.mind_assassinate_neighbore,Vyslali vrahy na souseda
opinion_mind.dead_captive,Rukojmí zemřelo
opinion_mind.captive_hold,Drží rukojmí
opinion_mind.release_captive,Propuštění rukojmí
opinion_mind.captive_terror,Mučí rukojmí
opinion_mind.lord_rebellion_support_heir_to_heir,Podpora vzpoury
opinion_mind.lord_rebellion_support_king_to_heir,Nepodpoření vzpoury
opinion_mind.lord_rebellion_support_heir_to_king,Nepodpoření právoplatné autority
opinion_mind.lord_rebellion_support_king_to_king,Podpora právoplatné autority
opinion_mind.poaching_my_lords,Přetahuje mé lordy
opinion_mind.betrayed_home,Zrada vlastního domova
opinion_mind.book_stealer,Krádež knih
opinion_mind.gold_stealer,Spáchání krádeže
opinion_mind.refuse_light_vassals,Odmítnutí vazalství
opinion_mind.showed_weakness,Projevení slabosti
opinion_mind.guest_death_for_owners,Podezřelá smrt člena rodiny
opinion_mind.guest_death_for_opponents,Podezřelá smrt hosta
opinion_mind.faceless,Nesvatá horda
opinion_mind.not_faceless,Nikoliv Nesvatá horda
opinion_mind.hate_males,Nenávist vůči mužům
opinion_mind.hate_females,Nenávist vůči ženám
opinion_mind.blissful,Blaženost
opinion_mind.saint,Světec
opinion_mind.drug_addict,Závislý
opinion_mind.coward,Zbabělec
opinion_mind.help_against_facelesse,Pomoc proti Nesvaté hordě
opinion_mind.tried_to_poison,Pokus o otravu
opinion_mind.tried_to_poison_my_member,Snaha otrávit mého lorda
opinion_mind.greedy,Hamižnost
opinion_mind.king_role_weaker_than_me,Slabší než já (Kaiden)
opinion_mind.king_role_stronger_than_me,Silnější než já (Kaiden)
opinion_mind.king_role_poorer_than_me,Chudší než já (Kaiden)
opinion_mind.king_role_reacher_than_me,Bohatší než já (Kaiden)
opinion_mind.king_role_agnostic,Agnostik (Tanaya)
opinion_mind.king_role_fanatic,Fanatik (Tanaya)
opinion_mind.king_role_bandit_torelate,Toleruje zbojníky (Kaiden)
opinion_mind.king_role_fight_with_bandit,Bojuje se zbojníky (Kaiden)
opinion_mind.king_role_many_slaves,Spousta vězňů (Varnové)
opinion_mind.king_role_no_slaves,Žádní vězni (Varnové)
opinion_mind.king_role_vassal,Vazalství (Varnové)
opinion_mind.king_role_suzerain,Lenní pán (Varnové)
opinion_mind.king_role_dumber_than_me,Hloupější než já (Makha)
opinion_mind.king_role_smarter_than_me,Chytřejší než já (Makha)
opinion_mind.women_king,Žena na trůnu
opinion_mind.disinherited_me,Připravili mě o dědictví
opinion_mind.illigal_heir,Nelegitimní dědic
opinion_mind.few_fanatics,Nedostatek fanatiků
opinion_mind.few_churchs,Nedostatek chrámů
opinion_mind.enough_fanatics,Spousta fanatiků ve městě
opinion_mind.enough_churchs,Dostatečný počet chrámů
opinion_mind.blissful,Blaženost
opinion_mind.provoke_duel,Vyprovokování souboje
opinion_mind.provoke_duel_neighbore,Vyprovokování souboje se sousedem
opinion_mind.declare_peace,Mírová smlouva
opinion_mind.trade_agreement,Obchodní smlouva
opinion_mind.cruel_ruler,Proradný vládce
opinion_mind.bishop_frogivness,Má odpuštění
opinion_mind.enemy_of_bandits_bishop,Zničení zbojnického tábora
opinion_mind.pitty,Lítost
opinion_mind.help_in_rescue,Pomoc s osvobozením
opinion_mind.lord_lowborn,Nízká urozenost
opinion_mind.matriarch_fanatic_mind,Počet fanatiků ve městě ({percent})
opinion_mind.friend_lost_title,Připravili mého přítele o titul
opinion_mind.bishop_opinion,Názor biskupa
opinion_mind.defence_alliance_lost_soldier,Ztráty v řadách posil
opinion_mind.defence_alliance_lost_lord,Ztráta velitele posil
opinion_mind.defence_alliance_broken,Zrušené spojenectví
opinion_mind.defence_alliance,Je součástí stejného spojenectví jako já
opinion_mind.defence_alliance_send_army,Dodržuje spojenectví
opinion_mind.defence_alliance_broken_neighbore,Zrada spojence
opinion_mind.new_bishop,Nové biskupství
opinion_mind.enemy_of_my_ally,Nepřítel mého spojence
opinion_mind.ally_of_my_enemy,Spojenec mého nepřítele
opinion_mind.same_culture,Stejná kultura
opinion_mind.xenophobic_culture,Nenáviděná kultura
opinion_mind.slander_to_other_king,Nesnášení jiného krále
opinion_mind.slander_from_other_king,Pomlouvačnost
opinion_mind.help_in_vassal_riot_to_vassal,Pomoc v boji o nezávislost
opinion_mind.help_in_vassal_riot_to_sir,Pomoc vzbouřenému vazalovi
opinion_mind.help_in_lords_family_attack_to_victim,Pomoc při obraně města
opinion_mind.help_in_lords_family_attack_to_attacker,Pomoc při odražení útoku
opinion_mind.help_in_lords_family_destroy_to_victim,Pomoc při záchraně města před zničením
opinion_mind.help_in_lords_family_destroy_to_attacker,Pomoc při záchraně města před zničením
opinion_mind.help_in_mountais_bandits_attack,Pomoz zničit nájezdníky
opinion_mind.helped_tanaya_king,Pomoc tanajským králům
opinion_mind.helped_makha_king,Pomoc makhským králům
opinion_mind.rival_for_power,Soupeř v boji o moc
opinion_mind.crown_desire,Touha po koruně
opinion_mind.bishop_to_fanatic,Fanatik
opinion_mind.bishop_to_agnostic,Agnostik
opinion_mind.transfered_king,Vzdání se koruny
opinion_mind.distrust,Nedůvěra
opinion_mind.try_to_vassal_my_vassal,Snaha o dobytí mého vazala
opinion_mind.contempt_of_genius,Na žádných ostatních vládcích nezáleží!
opinion_mind.force_neutrality_my_ally,Vynucení neutrality spojence
opinion_mind.force_neutrality_my_vassal,Vynucení neutrality vazala
opinion_mind.force_neutrality_me,Vynucení mojí neutrality
opinion_mind.force_neutrality_to_leader,Porušení dohody
opinion_mind.competitor_for_influence,Soupeř v boji o vliv
