Key,Hungarian
prophecy.letter_announce.crocks_wave,"Tegnap éjjel álmot láttam. Egy csuklyás árnyék görbedt fölébem. Tőr villant a kezében. Óvakodj a csavargóktól – bizton tudom, hogy ezt a jelet fentről kaptuk!"
prophecy.letter_announce.fanatics_wave,"A látnokok feldühödött tömeget láttak a felhőkben égő keresztekkel a kezükben. Rengeteg vannak, és dühvel teli a szívük!"
prophecy.letter_announce.fields_sick_all,A Hold sorban tíz napja nem kel fel. Az ősi iratok szerint ez a termés elpusztulását és az éhínség beköszöntét jelzi. Szent Szófia segítsen!
prophecy.letter_announce.tree_bug,"Baljós álmot láttam. A zöld erdők helyében lombtalan fák sötét csonkjai meredeztek, akár valami mozdulatlan szobrok. Remélem, tudod, mit kell tenned!"
prophecy.letter_announce.rats_invasion,"Nektármámorban látomásom volt. Egy patkányt láttam az oltáron, amint egy újszülött bárány húsát falja. Éhínség és veszedelem leselkedik királyságodra!"
prophecy.letter.finish,"A karavánvezetők azt mondják, hogy a csapás fekete árnyéka elvonult. Remélem, a szeretteid mind életben és jól vannak. De attól tartok, nem ez volt az utolsó próbatétel, amelyet Szófia Anya a vétkeinkért kiszab ránk."
letter.sign.matriarch,"Szívemben gyöngéd szeretettel:
A Mátriárka"
letter.post.diplomat_1,"Igazán kedvező kimenetel, amire – be kell valljam – nem számítottam. Mégis rendkívül örülök, hogy ellenségeskedésünk már a múlté. Ami elmúlt, a felejtés homálya kell fedje, úgy-e?"
letter.post.diplomat_2,A királyságaink közti béke helyreállítására tett erőfeszítéseidet nagyra becsülöm. Nemes tetteid azonban mégsem keltenek bennem bizodalmat.
letter.post.vassal_out_1,"Tudd, hogy már nem szándékozom magam igád alá vetni. És ha engedetlenségem okát keresnéd, nézz a tükörbe. A szükség órájában nem siettél segítségemre. A királyságod ezennel megfogyatkozék."
letter.post.vassal_out_2,"Megesküdtél, hogy hadi ügyeimben támogatsz, mikor beleegyeztem, hogy a vazallusod legyek. És cserébe mit kaptam? A kiszabott hűbéradót hűen fizettem, de a vész pillanatában te cserben hagytál. Ezentúl hát nem vagyok a vazallusod."
letter.emperor,"Sajnáljuk, hogy büszkeséged oly istenkáromlásra késztetett, hogy elhatároztad, lerombolod a világ isteni rendjét, amit maga Szófia Anya hozott létre. Sajnos a figyelmeztetések itt hasztalanok. A Szigorú Atya és inkvizítortársai indulni készülnek. Szófia bocsásson meg neked!"
letter.start.matriarch,Szeretett gyermekem!
letter.tax_increase,"Szívünk megtelik örömmel, ahogy mi, a Szerető Család, figyeljük politikai sikereidet. Tegnap a dinasztiád még karórépát kapált, most pedig már államfő vagy, és az akaratodat érvényesíted a szomszédaidon! Ezért biztos vagyok benne, hogy a harcosaid adójának kismértékű emelésére irányuló kezdeményezésünk nem lesz elviselhetetlen teher számodra!"
letter.army_tax_increase_footer,"Belépéseddel a nagypolitika színterére és megnövekedett befolyásod miatt a Szerető Család úgy véli, hogy többet kellene hozzájárulnod az utak biztonságához.

Az Egyház megemeli a harcosok adóját, amely mostantól {new_tax} lesz egységnyi harci képességenként minden harcos esetében (korábban {old_tax})."
faction.player_village,Parasztok
faction.faceless,Szentségtelen Horda
faction.forest_bandits,Erdei banditák
faction.mercenaries,Zsoldosok
faction.wolves,Húsfarkasok
faction.inquisition,Inkvizíció
faction.traders,Szent Karaván
faction.traders_slaves,A Szent Karaván rabszolgái
faction.free_lords,Szabad nemesek
faction.holy_synod,Szerető Család
faction.rebellious_zealots,Lázadó fanatikusok
faction.rebellious_slaves,Lázadó foglyok
faction.rebellious_soldiers,Lázadó katonák
faction.rebellious_heir,Szeparatisták
faction.mountain_bandits,Martalócok
faction.hired_bandits,Felbérelt banditák
faction.abandoned,Elhagyott település
faction.low_loyalty,Renegátok
faction.name.0,Ezüstrév
faction.name.1,Porvölgye
faction.name.2,Szélorom
faction.name.3,Csillagfolyam
faction.name.4,Holdtó
faction.name.5,Csillámváros
faction.name.6,Kristályfény
faction.name.7,Csillagvölgy
faction.name.8,Bűbáj
faction.name.9,Fásliget
faction.name.10,Holdudvar
faction.name.11,Nagyköd
faction.name.12,Fényvölgy
faction.name.13,Ködrév
faction.name.14,Aranyhatár
faction.name.15,Csillámhullás
faction.name.16,Tómeder
faction.name.17,Sárkányszarv
faction.name.18,Zöldcsúcs
faction.name.19,Homályos
faction.name.20,Kristália
faction.name.21,Csodatan
faction.name.22,Fagyvár
faction.name.23,Vadasberek
faction.name.24,Hullámpiac
faction.name.25,Bozontos
faction.name.26,Tündér-árok
faction.name.27,Jeges-szurdok
faction.name.28,Sötétliget
faction.name.29,Tükörtó
faction.name.30,Homályerőd
faction.name.31,Álomhullás
faction.name.32,Smaragd-hegy
faction.name.33,Aranyrév
faction.name.34,Ezüst-folyó
faction.name.35,Elveszett Város
faction.name.36,Robajcsúcs
faction.name.37,Porszirt
faction.name.38,Élő-völgy
faction.name.39,Borostyánhajnal
faction.name.40,Kristálybarlang
faction.name.41,Smaragd-útvesztő
faction.name.42,Csillagpagony
faction.name.43,Lángkorona
faction.name.44,Aranyrév
faction.name.45,Tisztahold
faction.name.46,Széllobbanás
faction.name.47,Csillaglak
faction.name.48,Hollófalva
faction.name.49,Árnysetten
faction.name.50,Csillámvölgy
faction.name.51,Fásliget
faction.name.52,Sziporvölgy
faction.name.53,Váralja
faction.name.54,Bűvperem
faction.name.55,Kristályfény
faction.name.56,Feledvég
faction.name.57,Lánghullás
faction.name.58,Álombérc
faction.name.59,Fagyoscsúcs
faction.name.60,Nagyköd
faction.name.61,Vadrév
faction.name.62,Búvottcsúcs
faction.name.63,Átszurdok
faction.name.64,Szelesrét
faction.name.65,Sötétodú
faction.name.66,Jégzuhatag
faction.name.67,Titokvár
faction.name.68,Csendespart
faction.name.69,Sötétbozót
faction.name.70,Lánghajnal
faction.name.71,Serényliget
faction.name.72,Naposköz
faction.name.73,Ködöspatak
faction.name.74,Kószaőr
faction.name.75,Aranyszeg
faction.deserted_soldiers,Dezertőrök
faction.player_untitled,Kisnemesek
0map.appoint.sub_category.others,Egyéb
9map.appoint.sub_category.expansion,Terjeszkedés
8map.appoint.sub_category.others,Egyéb
product_change_price.neighbore_town_attacked,A(z) {faction_uuid_town} elleni támadás miatt az ár <red>{price_factor}%-kal</red> magasabb.
no_defence_allies,Nincsenek szövetségesek
map.category.lords,Nemesek
map.hostage_player,Váltságdíj egy túszért
map.lord_low_loyalty,A nemes indulásra kész
map.lord_rebellion.nobody_support,Nincs
map.lord_rebellion_heir,Lázadó örökös
map.lord_rebellion_king,Védekezés a lázadás ellen
map.hire_bandits,Banditák felfogadása
map.solders_gift,Segítség felajánlása
map.appoint.events,Események
map.category.criminals,Sötét tettek
map.category.politics,Politika
map.category.attack,Támadás
map.category.marriage,Házasság
map.category.trade,Kereskedés
map.abandoned_town,Elhagyatott város
map.marriage_female,Kiházasítandó ara
map.marriage_male,Kiházasítandó vő
map.loan,Pénzkölcsönzés
map.king_tribute,Fosztogatásveszély
map.king_tribute_light,Hűbéradó udvarias követelése
map.demand_tribute,Hűbéradó udvarias követelése
map.assault_fair,Város kifosztása
map.assault_unfair,Város kifosztása
map.city_burn_ai,Lerombolás veszélye
map.demand_peace,Békeajánlat
map.declared_peace_broken,Békeszerződés felbontva
map.trade_agreement_broken,Kereskedelmi egyezség megszűnt
map.declared_peace,Békeegyezmény
map.demand_defence_alliance_to_player,Szövetségajánlat
map.declared_defence_alliance,Szabad városok szövetsége
map.demand_defence_ally_army,Segítségkérés
map.demand_vassal_waiting,Válaszra vár
map.demand_vassal_attack_waiting,Támadásra számít
map.demand_vassal_light_player,Vazallusság követelése
map.demand_vassal_player,Vazallusság követelése
map.help_against_faceless,Segítség a Szentségtelen Horda ellen
map.demand_kill_own_bandits_camp,Banditák elintézésének követelése
map.conquest,Vazallusság helyreállítása
map.king_attack,Ostrom követelése
map.demand_attack,Ostrom követelése
map.slaves_offer,Foglyok eladása
map.trade_offer,Kereskedelmi ajánlat
map.trade_request,Kereskedem iránti kérés
map.village,Falu
map.village_neighbore,Egy szomszédos uralkodó faluja
map.village.short,"Egy kisebb település kereskedelem, vas és fejlett eszközök nélkül."
map.burned_village,Leégett falu
map.burned_village.short,"Egy kifosztott és felégetett falu. Egy idő után a környező erdőkben megbújt lakók visszatérnek és újjáépítik majd, egyelőre azonban még lakatlan."
map.protect,Támadásveszély
map.protect.short,Egy csapat bandita gyülekezik a falu közelében.
map.tribute,Hűbéradó
map.tribute.short,"– A falu begyűjtötte a termést, és kész megfizetni a hűbéradót."
map.mill,Malomfejlesztés
map.mill.short,A falu bírája fejleszteni szeretné a falu malmát.
map.hungry,Éhínség
map.hungry.short,Rossz volt a termés a faluban. Élelemre van szükség.
map.sick,Dögvész
map.sick.short,Járvány tört ki. Sürgős szükség van gyógyszerekre.
map.meat,Új disznóól
map.meat.short,A lakók segítséget kérnek egy disznóól felépítéséhez.
map.bandits_camp,Erdei banditák tábora
map.bandits_camp.short,Erdei banditák lakják. Időnként a településedre támadnak.
map.bandits_hostage,Túsz – {lord_name}
map.bandits_hostage.short,"Elraboltak egy nemest, és váltságdíjat követelnek érte."
map.wolfes,Húsfarkasok a közelben
map.wolfes.short,Egy húsfarkasfalka elállta a településedhez vezető utakat. De talán hamarosan továbbállnak.
map.slaves,Szökevény foglyok
map.slaves.short,Egy csapat {city_name} városából szökött foglyot láttak a városod közelében.
map.fanatics,Flagellánsok csoportja
map.fanatics.short,Flagelláns zarándokok egy kisebb csoportja élelmet kér.
map.theif,Menekülő tolvaj
map.theif.short,"Egy tolvajt láttak a közelben, aki nemrég még {city_name} városában tevékenykedett."
map.lord_in_run,Menekülő nemes
map.lord_in_run.short,A(z) {house_name_1} ház egyik nemese megszökött a(z) {house_name_2} ház fogságából. Az üldözők közel járnak.
map.lord_in_run_2,Menekülő nemes
maplord_in_run_2.short,A(z) {house_name_1} ház egyik nemesét banditák üldözik. A seregei megcsappantak.
map.lord_in_run_3,Menekülő nemes
map.lord_in_run_3.short,{house_name_1} város egyik nemese elhagyta az otthonát és menedéket keres.
map.lovers_in_run,
map.lovers_in_run.short,"Két különböző házból két fiatal egymásba szeretett, és elszöktek."
map.caravan,Védett karaván
map.caravan.short,A(z) {house_name_1} ház karavánja foglyokkal és árukkal megrakodva úton van {city_name_2} városába.
map.dispute,
map.dispute.short,Két nemesi ház vitázik a falu tulajdonjogán. Támogathatod valamelyiküket.
map.bride,Egy ara a párját keresi.
map.bride.short,"{soul_uuid_bride} házasulandó korba lépett, és az uralkodó megfelelő partnert keres neki."
map.groom,Egy vő a párját keresi.
map.groom.short,"{soul_uuid_groom} házasulandó korba lépett, és az uralkodó megfelelő partnert keres neki."
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,LEÍRÁS
map.menu.quest.details,Részletek
map.menu.quest.consequences,Lehetséges következmények
map.menu.quest.reward,LEHETSÉGES JUTALOM
map.menu.quest.reward_or,vagy
map.menu.status.days_left,{remain_days} nap maradt
map.menu.modal.result.success,Siker!
map.menu.modal.result.fail,Kudarc!
map.menu.modal.ok,Oké
map.menu.status.timeless,Meghatározatlan
map.menu.status.go_home,Úton haza
map.menu.quest.ignore,Figyelmen kívül hagyva
map.menu.quest.waiting,Várakozás
map.menu.quest.time_over,Az egyezség lejárt
map.menu.quest.tragic,Tragikus baleset
map.menu.quest.bad_opinion,Rossz kapcsolat
map.menu.quest.hostage_rescue,Túszmentés
map.menu.button.create_army,Új osztag létrehozása
map.menu.button.send_army,Küldés
map.menu.prepare_to_battle.header,Csata {place}
map.menu.prepare_to_battle.in_town,{town_name} kapuinál
map.menu.prepare_to_battle.near_town,{town_name} közelében
map.menu.prepare_to_battle.battle_begin,A csata megkezdődött
map.menu.town.guest_lords,Nemesi vendégek
map.menu.town.information,Információ
map.menu.town.economic,Gazdaság
map.menu.town.army,Hadsereg
map.menu.army_composition,A hadsereg összetétele
map.menu.town.local_lords,Nemesek
map.menu.town.ruling_family,Uralkodói család
map.menu.town.status.hostile,Ellenséges
map.menu.town.status.friendly,Barátságos
map.menu.town.status.neutral,Semleges
map.menu.town.status.independent,Független
map.menu.town.status.vassal,Vazallus
map.menu.town.status.suzerain,Hűbérúr
map.menu.town.relations,Kapcsolatok
map.menu.messenger,Hírnök
map.army,Hadsereg
map.declared_trade_agreement,Kereskedelmi megállapodás
map.forcing_neutrality,Semlegesség kikényszerítése
map.personal_conflict,Viszály a szomszédok közt
map.help_against_bandits,Segítség a banditák ellen
map.help_against_mountains_bandits,Segítség a martalócok ellen
map.neutralization_order,Semlegesítési parancs
map.menu.town.status.ally,A szövetség tagja
map.menu.town.status.alliance_leader,Szövetség vezetője
map.stolen_rings_offer,Ellopott Szent Gyűrűk
map.holy_defence_was_removed,"<red>A Szerető Család védelme megszűnt!</red>

Az agresszív beavatkozás azt mutatja, hogy már nincs szükséged a <hint=hint_holy_protection>Szerető Család védelmére</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>A Szerető Család védelme megszűnik!</hint>
map.trade.offer.alias,A város elad: {resource_name}
map.trade.request.alias,A város vásárol: {resource_name}
map.menu.town.king_family,URALKODÓI CSALÁD
map.menu.town.guests,VENDÉGEK
map.menu.town.faction_lords,{town} NEMESEI
map.menu.town.vassal_of,Az ő vazallusa:
map.menu.town.ally_of,Az ő szövetségese:
map.player_vassal_rebellion,Lázadó vazallus
product_change_price.rats_invasion,A <hint=hint_prophecy_rats_invasion>patkányinvázió</hint> miatt az ár <red>{price_factor}%-kal</red> magasabb.
product_change_price.tree_bug,A <hint=hint_prophecy_tree_bug>fafurdancs</hint> miatt az ár <red>{price_factor}%-kal</red> magasabb.
product_change_price.fields_sick,A <hint=hint_prophecy_fields_sick_one>terményfertőzés</hint> miatt az ár <red>{price_factor}%-kal</red> magasabb.
map.universal_help.danger_army,<center>Az agresszor serege:</center>
map.appoint.estimated_time,A feladat végrehajtásának becsült ideje: {estimated_time}
map.appoint.estimated_time_army,Az út {estimated_time} ideig tart
map.appoint.tasks,Beavatkozások
map.category.improve_relations,Kapcsolatok javítása
map.guest.remain_stay_time,"<tight><center><b>A karakter nincs a városban</b></center>.

</tight>Ez a karakter jelenleg vendégségben van {faction_uuid} tartományban.

Vélhetően {remain_time} múlva lesz otthon."
map.your_province,A tartományod
map.burn_town_waiting,Felgyújtani készül a várost
map.last_female_in_faction,Nálad van az utolsó hajadon nő
map.defence_alliance_leaving_ai,Konfliktus egy szövetségeseddel
map.defence_alliance_leaving_player,Konfliktus a szövetség vezetőjével
product_change_price.temporary,Ideiglenes áremelkedés <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} megalázta {name_target} nemest
actor.deep_social_alias.abuse_2,{name_initiator} megsértette {name_target} nemest
actor.deep_social_alias.abuse_3,{name_initiator} lehordta {name_target} nemest
actor.deep_social_alias.abuse_4,{name_initiator} beletörölte a lábát {name_target} nemesbe
actor.deep_social_alias.abuse_5,{name_initiator} sárba taposta {name_target} nemest
actor.deep_social_alias.abuse_6,{name_initiator} érzelmileg megsemmisítette {name_target} nemest
actor.deep_social_alias.abuse_7,{name_initiator} elhallgattatta {name_target} nemest
actor.deep_social_alias.deep_talk_1,{name_initiator} felmagasztalta {name_target} nemest
actor.deep_social_alias.deep_talk_2,{name_initiator} szívbéli beszélgetést folytatott {name_target} nemessel
actor.deep_social_alias.deep_talk_3,{name_initiator} megvigasztalta {name_target} nemest
actor.deep_social_alias.deep_talk_4,{name_initiator} felvidította {name_target} nemest
actor.deep_social_alias.deep_talk_5,{name_initiator} köszönetet mondott {name_target} nemesnek
actor.deep_social_alias.deep_talk_6,{name_initiator} bókolt {name_target}nemesnek
actor.deep_social_alias.deep_talk_7,{name_initiator} elismerőleg szólt {name_target} nemesről
actor.deep_social_alias.evil_joke_1,{name_initiator} csúfolta {name_target} nemest
actor.deep_social_alias.evil_joke_2,{name_initiator} bolonddá tette {name_target} nemest
actor.deep_social_alias.evil_joke_3,{name_initiator} heccelte {name_target} nemest
actor.deep_social_alias.evil_joke_4,{name_initiator} nevetségessé tette {name_target} nemest
actor.deep_social_alias.evil_joke_5,{name_initiator} kifigurázta {name_target} nemest
actor.deep_social_alias.evil_joke_6,{name_initiator} kigúnyolta {name_target} nemest
actor.deep_social_alias.flattery_1,{name_initiator} bókolt {name_target} nemesnek
actor.deep_social_alias.flattery_2,{name_initiator} hízelgett {name_target} nemesnek
actor.deep_social_alias.flattery_3,{name_initiator} a kegyébe férkőzött {name_target} nemesnek
actor.deep_social_alias.flattery_4,{name_initiator} megalázkodott {name_target} nemes előtt
actor.deep_social_alias.flattery_5,{name_initiator} színlelten csodálta {name_target} nemest
actor.deep_social_alias.flattery_6,{name_initiator} dicsőítette {name_target} nemest
actor.deep_social_alias.flattery_7,{name_initiator} masszírozta {name_target} nemes egóját
actor.deep_social_alias.good_joke_1,{name_initiator} szellemeskedett {name_target} nemessel
actor.deep_social_alias.good_joke_2,{name_initiator} egy új viccet mesélt {name_target} nemesnek
actor.deep_social_alias.good_joke_3,{name_initiator} jót nevetett {name_target} nemessel
actor.deep_social_alias.good_joke_4,{name_initiator} elmondott egy anekdotát {name_target} nemesnek
actor.deep_social_alias.good_joke_5,{name_initiator} kifigurázott valakit {name_target} nemesnek
actor.deep_social_alias.intrigue_1,{name_initiator} elpletykázgatott {name_target} nemessel
actor.deep_social_alias.intrigue_2,{name_initiator} elmondta a teljes igazságot {name_target} nemesnek
actor.deep_social_alias.intrigue_3,{name_initiator} megerősítette {name_target} nemes félelmeit
actor.deep_social_alias.intrigue_4,{name_initiator} megosztott egy titkot {name_target} nemessel
actor.deep_social_alias.intrigue_5,{name_initiator} felnyitotta {name_target} nemes szemét
actor.deep_social_alias.intrigue_6,{name_initiator} feltárta {name_target} nemes indítékait
actor.deep_social_alias.intrigue_7,{name_initiator} finoman utalt {name_target} nemesre
actor.deep_social_alias.slight_1,{name_initiator} semmibe vette {name_target} nemest
actor.deep_social_alias.slight_2,{name_initiator} ignorálta {name_target} nemest
actor.deep_social_alias.slight_3,{name_initiator} a helyére tette {name_target} nemest
actor.deep_social_alias.slight_4,"{name_initiator} úgy tett, mintha nem hallaná {name_target} nemest"
actor.deep_social_alias.sorry_1,{name_initiator} elnézést kért {name_target} nemestől
actor.deep_social_alias.bye_1,"{name_initiator} indulás előtt elbúcsúzik {name_target} nemestől.
"
actor.deep_social_alias.bye_2,"{name_initiator} megígéri {name_target} nemesnek, hogy amint teheti, visszatér."
actor.deep_social_alias.bye_3,{name_target} biztonságos utat kíván {name_initiator} nemesnek.
actor.deep_social_alias.flirt_1,{name_initiator} próbálja elcsábítani {name_target} nemest.
actor.deep_social_alias.flirt_2,{name_initiator} találkára hívja {name_target} nemest.
actor.deep_social_alias.flirt_3,{name_initiator} veszélyesen flörtöl {name_target} nemessel.
actor.deep_social_alias.flirt_4,{name_initiator} egy forró éjszakára csábítja {name_target} nemest.
opinion_mind_interest.hint_title,Érdeklődés: {interest}
opinion_mind_interest.zodiak_signs,Szag
opinion_mind_interest.beauty,Kinézet
opinion_mind_interest.age,Fiatalos báj
opinion_mind_interest.drank,Alkoholos befolyásoltság
opinion_mind_interest.love,Szerelmes
opinion_mind_interest.religious_fan,Vallási nézeteltérések
opinion_mind_interest.scars,Hegek
opinion_mind_interest.ugly,Torz
opinion_mind_interest.romantic,Szex szükséglete
opinion_mind_interest.opinion,Kapcsolatok
opinion_mind_interest.manners,Eltérő viselkedés
opinion_mind_interest.guest,Vendég
opinion_mind_interest.has_paramour,Érzések a jelenlegi partner iránt
opinion_mind_rumor_prefix,Pletyka: {rumor}
opinion_mind.abuse,Megsértett
opinion_mind.abuse_paramour,Sértett partner
opinion_mind.adultery,Nem tud a hűtlenségemről
opinion_mind.blinded_relative,Megvakíttatta egy szerettemet
opinion_mind.bribe_me,Megvesztegetett
opinion_mind.chitchat,Könnyed csevej
opinion_mind.close_relative,Közeli rokon
opinion_mind.convicted_of_adultery,Hűtlen partner
opinion_mind.coward,Gyáva
opinion_mind.criminal,Bűncselekménybe keveredett
opinion_mind.deep_talk,Tartalmas beszélgetése volt
opinion_mind.drunk_fight,Részeg verekedés
opinion_mind.beat_me,Megvert
opinion_mind.envy_happy,Túl elégedett!
opinion_mind.envy_runes,Irigyli a Gyűrűket
opinion_mind.envy_for_babys,Irigyli az utódokat
opinion_mind.envy_for_victory,Irigyli a győzelmeket
opinion_mind.evil_joke,Kicsúfolt!
opinion_mind.ex_paramour,Volt partner
opinion_mind.executed_relative,Kivégeztette egy szerettemet
opinion_mind.punished_me,Megbüntetett!
opinion_mind.flattery,Bókolt nekem
opinion_mind.flirt,Közelgő randevú
opinion_mind.game_of_dice_loose,Kockán elnyerte a pénzem!
opinion_mind.gift,Ajándékot kaptam tőle
opinion_mind.good_commander,Sikeres parancsnok
opinion_mind.good_joke,Hatalmasat nevettünk együtt!
opinion_mind.king_gift,Királyi ajándékot kaptam tőle
opinion_mind.heir_envy,Trón utáni vágy
opinion_mind.hunt_together,Együtt vadásztak
opinion_mind.intrigue,Mocskos pletykák
opinion_mind.sorry,Elnézést kért
opinion_mind.jealousy,Vetélytárs!
opinion_mind.love,Megőrülök érte!
opinion_mind.negative_rumor_1,Éjszaka zabál
opinion_mind.negative_rumor_10,Örökre el akar menni
opinion_mind.negative_rumor_11,Nemibeteg
opinion_mind.negative_rumor_12,Ágyba vizel
opinion_mind.negative_rumor_13,Szemetet gyűjtöget
opinion_mind.negative_rumor_14,Titkos ateista
opinion_mind.negative_rumor_15,Az ajtó melletti szőnyegen alszik
opinion_mind.negative_rumor_16,Titkos piromániás
opinion_mind.negative_rumor_17,Ritkán fürdik
opinion_mind.negative_rumor_18,Mindig megeszi a maradékot
opinion_mind.negative_rumor_19,Éjszaka meztelenül sétál
opinion_mind.negative_rumor_2,Túrja az orrát
opinion_mind.negative_rumor_20,Gonosz szellem szállta meg
opinion_mind.negative_rumor_21,Egy farönköt imád
opinion_mind.negative_rumor_22,Képtelen szexelni
opinion_mind.negative_rumor_23,Vakarja a hónalját
opinion_mind.negative_rumor_24,Bogarakat eszik
opinion_mind.negative_rumor_25,Éjszaka sikoltozik
opinion_mind.negative_rumor_3,Lesi a szolgáját
opinion_mind.negative_rumor_4,Szellent
opinion_mind.negative_rumor_6,Sokat iszik
opinion_mind.negative_rumor_7,Rosszakat mond másokról a hátuk mögött
opinion_mind.negative_rumor_8,Evőeszközöket lop
opinion_mind.negative_rumor_9,Kopaszodik
opinion_mind.night_murder,Aljas gyilkos
opinion_mind.other_relatives,Egyéb rokonok
opinion_mind.paramour,Lelki társ
opinion_mind.paranoid_hate,Paranoiás gyűlölet
opinion_mind.personality_arrogant,Lenézi a szegényeket
opinion_mind.personality_contradictory_hate,Megmagyarázhatatlan gyűlölet
opinion_mind.personality_contradictory_love,Megmagyarázhatatlan szerelem
opinion_mind.personality_mismatch,Kellemetlen személyiség
opinion_mind.personality_mismatch_heavy,Rendkívül kellemetlen személyiség
opinion_mind.positive_rumor_1,Titokban verseket ír
opinion_mind.positive_rumor_10,Titokban romantikus
opinion_mind.positive_rumor_11,Bánja a múltat
opinion_mind.positive_rumor_12,Holtakat látja
opinion_mind.positive_rumor_13,Halálos beteg
opinion_mind.positive_rumor_15,Imádja a gyerekeket
opinion_mind.positive_rumor_16,Házipatkányt tart
opinion_mind.positive_rumor_17,Hipnotikus képességei vannak
opinion_mind.positive_rumor_18,Titokban szerelmes
opinion_mind.positive_rumor_2,Gyengéd szerető
opinion_mind.positive_rumor_3,"Nem látszik, de depressziós"
opinion_mind.positive_rumor_4,Marja a bűntudat
opinion_mind.positive_rumor_5,Virágokat ültet
opinion_mind.positive_rumor_6,A repülésről álmodozik
opinion_mind.positive_rumor_7,Övcsatokat gyűjt
opinion_mind.positive_rumor_8,Titokban betegeken segít
opinion_mind.positive_rumor_9,Ötször is megy neki egy este
opinion_mind.pretender_envy,Irigy az örökösre
opinion_mind.refuse_flirt,Nem jött el a randevúra
opinion_mind.refuse_flirt_full,Visszautasított! Hogy merészeli?
opinion_mind.reward_me,Megjutalmazott
opinion_mind.sex,Együtt töltöttük az éjszakát!
opinion_mind.shame_relative,Megszégyenítette egy szerettemet
opinion_mind.slight,Semmibe vett
opinion_mind.spouse,Házastárs
opinion_mind.suspicion_of_adultery,Házasságtörés gyanúja
opinion_mind.try_to_kill_me,Megpróbált megölni!
opinion_mind.manners_good,Jól nevelt
opinion_mind.manners_too_high,Túl jól nevelt
opinion_mind.manners_too_low,Faragatlan paraszt
opinion_mind.pregnancy_father,A gyermekem apja
opinion_mind.pregnancy_mother,A gyermekem anyja
opinion_mind.dummy_bastard,Paraszt fattya
opinion_mind.lord_bastard,Nemesi fattyú
opinion_mind.child,A gyermekem
opinion_mind.parent,A szülőm
opinion_mind.rescued_from_captivity,Kiszabadított a fogságból!
opinion_mind.speeping_with_my_partner,A párommal hál!
opinion_mind.uncle,Nagybácsi/nagynéni
opinion_mind.nephew,Unokaöcs/unokahúg
opinion_mind.brother,Fivér/nővér
opinion_mind.related_marriage,Házasság révén rokon
opinion_mind.returned_debt,Megadta az adósságát
opinion_mind.not_returned_debt,Elárulta a bizalmam
opinion_mind.not_returned_debt_neighbor,Nem adta meg az adósságát a szomszédnak
opinion_mind.player_paid_tribute,Hűbéradó fizetett nekem
opinion_mind.player_refuse_to_pay,Nem volt hajlandó fizetni
opinion_mind.king_demand_pay,Hűbéradó követelt tőlem
opinion_mind.attacked_me,Megtámadott
opinion_mind.attack_neighbors,Támadja a szomszédait
opinion_mind.attack_traity,Ellenem támadt
opinion_mind.attack_traity_neighbors,A szomszéd ellen támadt
opinion_mind.attack_coward,Nem jelent meg a párbajon
opinion_mind.vassal,A vazallusom
opinion_mind.senior,A feljebbvalóm
opinion_mind.vassal_duty_did,Teljesítette vazallusi kötelességeit
opinion_mind.betrayal,Elárult
opinion_mind.betray_vassal_oath,Megszegte vazallusi esküjét
opinion_mind.king_bastard,Fattyak ne viseljenek koronát!
opinion_mind.king_woman,Nők ne viseljenek koronát!
opinion_mind.greetings_me,Köszöntött
opinion_mind.loot_my_village,Kifosztotta a falumat
opinion_mind.friend_of_bandits,Lepaktál az erdei banditákkal
opinion_mind.enemy_of_bandits,Leveri az erdei banditákat
opinion_mind.killed_wolves,Leölt egy falkányi farkast
opinion_mind.kicked_out,Száműzött engem
opinion_mind.take_title,Megfosztottak a címemtől
opinion_mind.kicked_out_my_lord,Száműzte az egyik nemesem
opinion_mind.discharge,Megszakítom a kapcsolatot
opinion_mind.free_lord_terror,Egy szabad nemes életére tört
opinion_mind.my_teacher,A mentorom
opinion_mind.dictator_habits,Diktatórikus tendenciái vannak
opinion_mind.threatened_me,Megfenyegetett
opinion_mind.crime_criminal_not_punished,Nem büntetett meg egy bűnözőt
opinion_mind.friend_of_my_child,A gyermekem barátja
opinion_mind.best_friend_of_my_child,A gyermekem legjobb barátja
opinion_mind.enemy_of_my_child,A gyermekem ellensége
opinion_mind.worst_enemy_of_my_child,A gyermekem leghalálosabb ellensége
opinion_mind.friend_of_my_spouce,A házastársam barátja
opinion_mind.best_friend_of_my_spouce,A házastársam legjobb barátja
opinion_mind.enemy_of_my_spouce,A házastársam ellensége
opinion_mind.worst_enemy_of_my_spouce,A házastársam leghalálosabb ellensége
opinion_mind.sex_with_other,A szerelmem mással hált
opinion_mind.caring_parent,Gondoskodó szülő
opinion_mind.good_child,Engedelmes gyerek
opinion_mind.start_friend,Régi szövetséges
opinion_mind.start_sympathy,Rokonszenv
opinion_mind.start_dislike,Ellenszenv
opinion_mind.start_enemy,Esküdt ellenség
opinion_mind.too_smart,Túl eszes
opinion_mind.sinner,Bűnös (fanatizmus)
opinion_mind.was_punished,Megbüntették
