Key,Turkish
letter.post.enemy.battle_loose_enemy,Dipnot: Savaşı kaybettiğini duyunca ne güldüm ama! O gün tüm köylülerimin biraları bendendi. Yüce Sophia gerçekten adaletli.
letter.post.coward,Dipnot: Geri adım atıp benimle yüzleşmekten kaçındığını hatırlıyor musun? İnan bana tüm komşular duydu! Aramızda hiç bu kadar aptal ve korkak bir hükümdar olmamıştı.
letter.post.enemy.village_destroyed,Dipnot: Kendi köyünü bile savunamadığını duyduğumda nasıl güldüm ama! Köylülerin hükümdarlığın hakkında ne düşünüyor acaba?
letter.post.enemy.battle_loose,Dipnot: Böylesine utanç verici bir mağlubiyetten sonra sabaha kadar uyuyamamışsındır. Rakibinin hiçbir şansı olmadığını düşünmüştüm oysa ki. Sophia Ana'ya şükürler olsun ki yanılmışım!
letter.post.enemy.battle_win,Dipnot: Zaferinin haberini almak çok tuhaf. Sophia Ana'ya karşılığında ne verdin? Sana yardım ediyor olmalı.
letter.post.enemy.vassal,Dipnot: Daha önce vasal olmaman çok ilginç! Boş sandıklarında ve kışlalarda sadece sıçanlar dolaşıyor demek ki. İtaat etmek zayıflara özgüdür ne de olsa.
letter.post.enemy.low_prestige,Dipnot: Sana bölgemizdeki en değersiz asilzade diyorlarmış. Hiç şaşırmadım. Belki de gecelerini ahırda geçiriyorsundur.
letter.post.enemy.betrayal,Dipnot: Bana nasıl ihanet ettiğini unuttum mu sandın? İntikamımı alma şansına nail olmadan öleme diye Yüce Ana'ya dua ediyorum!
prophecy.letter_announce.wolf_attack,Kemikler bir felaketin haberini veriyor. Görünmez ay yükselecek ve etbörülerin açlık ulumaları kan donduracak! Vahşi yaratıklara karşı gözünü dört aç ve saldırılarına hazırlıklı ol. Çok uzakta değiller.
prophecy.letter_announce.bandits_capm,"Gurupta kızıl bir ışık gördüm. Kan rengi bu! Attığım kemikler bana ölümden korkanların, başka insanları senin evinde arayacağını söyledi."
prophecy.letter_announce.fields_sick_one,Dün gece gelecekten haber veren bir rüya gördüm. Rüyamda yeşil ekinlerin yerinde siyah kuzgunlar vardı. Kuzgunlar kıtlığın ve ölümün habercisidir. Haneni koru!
prophecy.letter_announce.cholera_epidemy,Geçen gün bir kurban kestik. Kurban ettiğimiz buzağıdan kızıl bir kan nehri yerine iğrenç kokulu siyah bir sıvı aktı. Yerleşken yakında hastalıktan kırılacak!
prophecy.letter_announce.xenophoby,"Kutsal metnin insanların birbirlerine vahşi yaratıklar gibi saldırdığını ve alevlerden çocukların çığlıklarının yükseldiğini tasvir eden bir sayfası açıldı. Bu, Yüce Sophia'dan bir uyarı!"
prophecy.letter_announce.crocks_wave,"Dün gece bir rüya gördüm. Elinde bir hançer olan kukuletalı bir gölge üzerime eğilmişti. Avarelerden sakın diyeyim, bunun yukarıdan gelen bir işaret olduğuna eminim."
prophecy.letter_announce.fanatics_wave,Kâhinler bulutlarda delilerin haçları yaktığını görmüş. Sayıları çok fazla ve kalpleri öfke dolu.
prophecy.letter_announce.fields_sick_all,Ay on gündür doğmuyor. Kadim kitaplar bunun mahsul kıtlığının ve açlığın habercisi olduğunu söylüyor. Yüce Sophia yardımcımız olsun!
prophecy.letter_announce.tree_bug,Bir kâbus gördüm. Ormanda yemyeşil ağaçlar yerine yapraksız ağaçların kara gövdeleri heykel gibi duruyordu. Umarım ne yapman gerektiğini biliyorsundur!
prophecy.letter_announce.rats_invasion,Nektar etkisi altındayken bir şey gördüm. Bir sıçan sunakta yeni doğmuş bir kuzuyu yiyordu. Krallığını saracak açlık ve belanın haberini veriyorum!
prophecy.letter.finish,"Kervancılarımız musibetin kara gölgesinin ortadan kalktığını söylüyor. Umarım sevdiklerin iyidir ve hayattadır fakat bunun, günahlarımız için Sophia Ana'nın bizi son sınayışı olduğunu sanmıyorum."
letter.sign.matriarch,"Kalbimdeki tüm şefkatle,
 Maderşah"
letter.post.diplomat_1,"Olumlu bir sonuç beklemediğimi itiraf etmeliyim ancak aramızdaki husumetin geçmişte kalmasından çok memnunum. Ne de olsa geçmişe mazi derler, değil mi?"
letter.post.diplomat_2,Doğrusu krallıklarımız arasındaki barışı yeniden sağlama çabalarına hayranım ancak yaptıklarının yüceliği ne yazık ki güvenimi sağlamıyor.
letter.post.vassal_out_1,Artık sana boyun eğmediğimi bilesin. İtaatsizliğimin nedenini ararsan aynaya bak. Sana ihtiyacım olduğunda yardımıma koşmadın. Bu yüzden krallığın benim için bitmiştir.
letter.post.vassal_out_2,Vasalın olmayı kabul ettiğimde bana askerî yardım temini vermiştin. Karşılığında ne aldın? İstediğin haracı zamanında ödedim ama zor zamanımda beni tek başıma bıraktın. Bu yüzden artık vasalın değilim.
letter.emperor,Gururuna yenik düşerek günahkârca Sophia Ana'nın bizzat kurduğu kutsal dünya düzenini yıkmaya karar vermiş olmandan dolayı hayal kırıklığına uğradık. Ne yazık ki bu durum sadece bir ihtarla geçiştirilemez. Otoriter Baba ve Engizisyon askerleri yola çıkmaya hazırlanıyor. Sophia seni affetsin!
letter.start.matriarch,Sevgili çocuğum!
letter.tax_increase,"Sevecen Aile olarak siyasi başarılarını takip ediyoruz ve yüreklerimiz sevinçle doluyor. Hanedanın daha dün şalgam toplayıcılığı yapıyordu, şimdi ise devletin başına geçtin ve komşularına iradeni kabul ettiriyorsun! Bu sebeple, savaşçılarının vergilerini bir miktar artırma kararımızın altından kalkamayacağın bir yük olmadığına eminim!"
letter.army_tax_increase_footer,"Daha geniş bir siyasi arenaya adım attığın ve nüfuzun arttığı için Sevecen Aile, yolların güvenliği konusunda daha fazla katkı sağlaman gerektiğine inanıyor.
 
 Kilise, savaşçılarının vergilerini artırdı ve artık her savaşçının her bir Dövüş becerisi için {new_tax} ödeyeceksin (eskiden {old_tax} ödüyordun)."
faction.player_village,Köylüler
faction.faceless,Habis Sürü
faction.forest_bandits,Orman haydutları
faction.mercenaries,Paralı Askerler
faction.wolves,Etbörüler
faction.inquisition,Engizisyon
faction.traders,Kutsal Kervan
faction.traders_slaves,Kutsal Kervan'ın köleleri
faction.free_lords,Özgür Asilzadeler
faction.holy_synod,Sevecen Aile
faction.rebellious_zealots,Asi fanatikler
faction.rebellious_slaves,Asi köleler
faction.rebellious_soldiers,Asi savaşçılar
faction.rebellious_heir,Bölücüler
faction.mountain_bandits,Yağmacılar
faction.hired_bandits,Kiralık haydutlar
faction.abandoned,Terk Edilmiş Yerleşke
faction.low_loyalty,Hainler
faction.name.0,Gümüşliman
faction.name.1,Toz Vadisi
faction.name.2,Rüzgâr Tepesi
faction.name.3,Yıldız Çayı
faction.name.4,Mehtap Gölü
faction.name.5,Kıvılcım Köyü
faction.name.6,Kristal Nuru
faction.name.7,Yıldız Vadisi
faction.name.8,Efsun
faction.name.9,Ağaçorman
faction.name.10,Ay Diyarı
faction.name.11,Yüce Sis
faction.name.12,Parlak Vadi
faction.name.13,Sis Cenneti
faction.name.14,Altın Tepesi
faction.name.15,Kıvılcım Yamacı
faction.name.16,Göl Kalesi
faction.name.17,Ejderha Kalesi
faction.name.18,Yeşil Kule
faction.name.19,Alaca Karanlık Şehri
faction.name.20,Kristal Şehir
faction.name.21,Mucizeler Şehri
faction.name.22,Buz Kapısı
faction.name.23,Canavar Ormanları
faction.name.24,Dalga Pazarı
faction.name.25,Bereket Şehri
faction.name.26,Masal Deresi
faction.name.27,Buz Geçidi
faction.name.28,Karaorman
faction.name.29,Ayna Gölü
faction.name.30,Alaca Karanlık Kalesi
faction.name.31,Rüya Tepesi
faction.name.32,Zümrüttepe
faction.name.33,Altın Cenneti
faction.name.34,Gümüş Nehir
faction.name.35,Kayıp Şehir
faction.name.36,Fırtına Tepesi
faction.name.37,Toz Kayası
faction.name.38,Yaşayan Vadi
faction.name.39,Kehribar Tepesi
faction.name.40,Kristal Mağarası
faction.name.41,Zümrüt Labirenti
faction.name.42,Yıldızkoru
faction.name.43,Ateş Tacı
faction.name.44,Altın Cenneti
faction.name.45,Berrak Ay
faction.name.46,Rüzgârlı Diyar
faction.name.47,Yıldız Evi
faction.name.48,Kuzgun Kasabası
faction.name.49,Gölge Çayı
faction.name.50,Kıvılcım Vadisi
faction.name.51,Ağaçorman
faction.name.52,Işık Vadisi
faction.name.53,Altkale
faction.name.54,Büyülü Yamaç
faction.name.55,Kristal Nuru
faction.name.56,Unutulmuş Ova
faction.name.57,Alev Yokuşu
faction.name.58,Rüya Tepesi
faction.name.59,Buz Tepesi
faction.name.60,Yüce Sis
faction.name.61,Canavar Cenneti
faction.name.62,Gizli Kule
faction.name.63,Büyük Kanyon
faction.name.64,Rüzgârlı Kır
faction.name.65,Karanlık Mağara
faction.name.66,Buzlu Şelale
faction.name.67,Gizemli Şehir
faction.name.68,Sessiz Sahil
faction.name.69,Sıkçalı
faction.name.70,Alevli Şafak
faction.name.71,Yaşayan Vaha
faction.name.72,Gün Işığı Vadisi
faction.name.73,Gizemli Dere
faction.name.74,Kayıp Korucu
faction.name.75,Altın Mızrak
faction.deserted_soldiers,Firariler
faction.player_untitled,Küçük asilzadeler
0map.appoint.sub_category.others,Diğer
9map.appoint.sub_category.expansion,Genişletme
8map.appoint.sub_category.others,Diğer
product_change_price.neighbore_town_attacked,{faction_uuid_town} kasabasına yapılan saldırıdan dolayı fiyatlar <red>%{price_factor}</red> yükseldi.
no_defence_allies,Müttefik yok
map.category.lords,Asilzadeler
map.hostage_player,Esir fidyesi
map.lord_low_loyalty,Asilzade gitmek için hazır
map.lord_rebellion.nobody_support,Hiç kimse
map.lord_rebellion_heir,Vâris isyanı
map.lord_rebellion_king,İsyana karşı koruma
map.hire_bandits,Haydut kiralama
map.solders_gift,Yardım teklif et
map.appoint.events,Olaylar
map.category.criminals,Karanlık işler
map.category.politics,Siyaset
map.category.attack,Saldırı
map.category.marriage,Evlilik
map.category.trade,Ticaret
map.abandoned_town,Terk edilmiş şehir
map.marriage_female,Evlenecek gelin
map.marriage_male,Evlenecek damat
map.loan,Borç para verme
map.king_tribute,Yağma tehdidi
map.king_tribute_light,Kibarca haraç talebi
map.demand_tribute,Kibarca haraç talebi
map.assault_fair,Şehri yağmala
map.assault_unfair,Şehri yağmala
map.city_burn_ai,Yıkım tehdidi
map.demand_peace,Barış antlaşması teklifi
map.declared_peace_broken,Barış antlaşması feshedildi
map.trade_agreement_broken,Ticaret sözleşmesi feshedildi
map.declared_peace,Barış antlaşması
map.demand_defence_alliance_to_player,İttifak teklifi
map.declared_defence_alliance,Özgür Şehirlerin İttifakı
map.demand_defence_ally_army,Yardım isteği
map.demand_vassal_waiting,Cevap bekliyor
map.demand_vassal_attack_waiting,Saldırmayı bekliyor
map.demand_vassal_light_player,Vasallık talep et
map.demand_vassal_player,Vasallık talep et
map.help_against_faceless,Habis Sürü'ye karşı yardım
map.demand_kill_own_bandits_camp,Haydutları haklamasını talep et
map.conquest,Vasallık tekrar sağlanıyor
map.king_attack,Kuşatma talep et
map.demand_attack,Kuşatma talep et
map.slaves_offer,Mahkûmların satışı
map.trade_offer,Ticaret teklifi
map.trade_request,Ticaret talebi
map.village,Köy
map.village_neighbore,Komşu hükümdarın köyü
map.village.short,"Ticarete, demire ve gelişmiş aletlere erişimi olmayan küçük bir yerleşke."
map.burned_village,Yanmış köy
map.burned_village.short,Yağmalanmış ve yanmış bir şehir. Bir süre sonra etraftaki ormanlara saklanan sakinler geri döner ve köyü yeniden inşa ederler ancak şimdilik burada kimse yok.
map.protect,Saldırı tehdidi
map.protect.short,Bir grup haydut köyün yakınında toplanıyor
map.tribute,Haraç
map.tribute.short,- Köy mahsullerini topladı ve haraç ödemeye hazır.
map.mill,Değirmeni iyileştirme
map.mill.short,Köy büyükleri değirmeni iyileştirmeyi planlıyor.
map.hungry,Kıtlık
map.hungry.short,Köyün hasadı kötü. Gıda gerekiyor.
map.sick,Veba
map.sick.short,Hastalık patlak verdi. Acil ilaç gerekiyor.
map.meat,Yeni domuz ağılı
map.meat.short,Sakinler domuz ağılı inşası için yardım istiyor.
map.bandits_camp,Orman haydutları kampı
map.bandits_camp.short,Burada orman haydutları yaşıyor. Ara sıra yerleşkene saldıracaklar.
map.bandits_hostage,Esir - {lord_name}
map.bandits_hostage.short,Bir asilzade esir tutuluyor ve fidye isteniyor.
map.wolfes,Yakındaki etbörüler
map.wolfes.short,Etbörü sürüsü yerleşkene giden yolu kapattı. Bir süre sonra çekilebilirler.
map.slaves,Kaçak mahkûmlar
map.slaves.short,{city_name} şehrinden bir grup kaçak mahkûm kasabanın yakınlarında görüldü.
map.fanatics,Cilysler grubu
map.fanatics.short,Küçük bir Cilys seyyah grubu yiyecek istiyor.
map.theif,Kaçan hırsız
map.theif.short,Bu civarlarda yakın zamanda {city_name} kasabasında faaliyet göstermiş bir hırsız görülmüş.
map.lord_in_run,Kaçan asilzade
map.lord_in_run.short,"{house_name_1} hanesinden bir asilzade, {house_name_2} hanesinin esaretinden kaçtı. Peşindekiler yakın."
map.lord_in_run_2,Kaçan asilzade
maplord_in_run_2.short,{house_name_1} hanesi asilzadesini haydutlar kovalıyor. Birlikleri gittikçe azalıyor.
map.lord_in_run_3,Kaçan asilzade
map.lord_in_run_3.short,{house_name_1} hanesi asilzadesi evden ayrıldı ve sığınacak bir yer arıyor.
map.lovers_in_run,
map.lovers_in_run.short,Farklı hanelerden iki genç adam birbirine âşık oldu ve beraber kaçtı.
map.caravan,Korunan kervan
map.caravan.short,Mahkûm ve ürün dolu {house_name_1} kervanı {city_name_2} şehrine geliyor.
map.dispute,
map.dispute.short,İki hane bu köyün mülkiyeti üzerine tartışıyor. Birini destekleyebilirsin.
map.bride,Bir gelin kendine eş arıyor.
map.bride.short,"{soul_uuid_bride} evlilik yaşına geldi ve hükümdar, ona uygun bir eş arıyor."
map.groom,Bir damat kendine eş arıyor.
map.groom.short,"{soul_uuid_groom} evlilik yaşına geldi ve hükümdar, ona uygun bir eş arıyor."
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,AÇIKLAMA
map.menu.quest.details,Detaylar
map.menu.quest.consequences,Olası sonuçlar
map.menu.quest.reward,OLASI ÖDÜL
map.menu.quest.reward_or,veya
map.menu.status.days_left,{remain_days} gün kaldı
map.menu.modal.result.success,Başarılı!
map.menu.modal.result.fail,Başarısız!
map.menu.modal.ok,Tamam
map.menu.status.timeless,Belirsiz
map.menu.status.go_home,Eve dönüyor
map.menu.quest.ignore,Görmezden geliyor
map.menu.quest.waiting,Bekliyor
map.menu.quest.time_over,Sözleşmenin süresi doldu.
map.menu.quest.tragic,Talihsiz kaza
map.menu.quest.bad_opinion,Kötü ilişkiler
map.menu.quest.hostage_rescue,Bir esiri kurtarma
map.menu.button.create_army,Yeni bölük oluştur
map.menu.button.send_army,Gönder
map.menu.prepare_to_battle.header,{place} savaşı
map.menu.prepare_to_battle.in_town,{town_name} kasabasının kapısında
map.menu.prepare_to_battle.near_town,{town_name} yakınlarında
map.menu.prepare_to_battle.battle_begin,Savaş başladı.
map.menu.town.guest_lords,Misafir asilzadeler
map.menu.town.information,Bilgi
map.menu.town.economic,Ekonomi
map.menu.town.army,Ordu
map.menu.army_composition,Ordu düzeni
map.menu.town.local_lords,Asilzadeler
map.menu.town.ruling_family,Hükümdar aile
map.menu.town.status.hostile,Düşman
map.menu.town.status.friendly,Arkadaş canlısı
map.menu.town.status.neutral,Nötr
map.menu.town.status.independent,Bağımsız
map.menu.town.status.vassal,Vasal
map.menu.town.status.suzerain,Süzeren
map.menu.town.relations,İlişkiler
map.menu.messenger,Elçi
map.army,Ordu
map.declared_trade_agreement,Ticaret sözleşmesi
map.forcing_neutrality,Tarafsız olmaya zorlama
map.personal_conflict,Komşular arası anlaşmazlık
map.help_against_bandits,Haydutlara karşı yardım
map.help_against_mountains_bandits,Yağmacılara karşı yardım
map.neutralization_order,Tarafsızlaştırma emri
map.menu.town.status.ally,İttifakta
map.menu.town.status.alliance_leader,İttifak lideri
map.stolen_rings_offer,Çalıntı kutsal yüzükler
map.holy_defence_was_removed,"<red>Sevecen Aile Koruması kalktı!</red>
 
 Agresif eylemler, artık <hint=hint_holy_protection>Sevecen Aile Korumasına</hint> ihtiyaç duymadığını gösterir."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>Sevecen Aile Koruması</hint> kalkacak!
map.trade.offer.alias,Şehirde satılanlar: {resource_name}
map.trade.request.alias,Şehirde satın alınanlar: {resource_name}
map.menu.town.king_family,HÜKÜMDARIN AİLESİ
map.menu.town.guests,MİSAFİRLER
map.menu.town.faction_lords,{town} ASİLZADELERİ
map.menu.town.vassal_of,Vasal:
map.menu.town.ally_of,Müttefik:
map.player_vassal_rebellion,İsyancı vasal
product_change_price.rats_invasion,<hint=hint_prophecy_rats_invasion>Fare istilası</hint> nedeniyle fiyatlar <red>%{price_factor}</red> yükseldi.
product_change_price.tree_bug,<hint=hint_prophecy_tree_bug>Ağaç kurtları</hint> nedeniyle fiyatlar <red>%{price_factor}</red> yükseldi.
product_change_price.fields_sick,<hint=hint_prophecy_fields_sick_one>Ekin hastalığı</hint> nedeniyle fiyatlar <red>%{price_factor}</red> yükseldi.
map.universal_help.danger_army,<center>Saldırgan tarafın ordusu:</center>
map.appoint.estimated_time,Görevi tamamlamak için tahminî süre: {estimated_time}
map.appoint.estimated_time_army,Yolun alacağı toplam süre: {estimated_time}
map.appoint.tasks,Eylemler
map.category.improve_relations,İlişkiyi iyileştirme
map.guest.remain_stay_time,"<tight><center><b>Karakter kasaba dışında</b></center>.
 
 </tight>Bu karakter şu anda {faction_uuid} şehrinin bir misafiri.
 
 Tahminî eve dönüş süresi: {remain_time}"
map.your_province,Vilayetin
map.burn_town_waiting,Şehri yakmaya hazırlanıyor
map.last_female_in_faction,Evlenmemiş tek bir kadın kaldı
map.defence_alliance_leaving_ai,Bir müttefik ile çekişme
map.defence_alliance_leaving_player,İttifak Lideri ile çekişme
product_change_price.temporary,<red>%{price_factor}</red> geçici fiyat artışı
actor.deep_social_alias.abuse_1,"{name_initiator}, {name_target} ile dalga geçti."
actor.deep_social_alias.abuse_2,"{name_target}, {name_initiator} tarafından hakarete maruz kaldı."
actor.deep_social_alias.abuse_3,"{name_target}, {name_initiator} tarafından azarlandı."
actor.deep_social_alias.abuse_4,{name_initiator} ayağını {name_target} ile sildi.
actor.deep_social_alias.abuse_5,"{name_target}, {name_initiator} tarafından çamura batırıldı."
actor.deep_social_alias.abuse_6,"{name_target}, {name_initiator} tarafından duygusal olarak mahvedildi."
actor.deep_social_alias.abuse_7,"{name_target}, {name_initiator} tarafından susturuldu."
actor.deep_social_alias.deep_talk_1,"{name_target}, {name_initiator} tarafından övüldü."
actor.deep_social_alias.deep_talk_2,"{name_initiator}, {name_target} ile samimi bir konuşma yaptı."
actor.deep_social_alias.deep_talk_3,"{name_target}, {name_initiator} tarafından teselli edildi."
actor.deep_social_alias.deep_talk_4,"{name_target}, {name_initiator} tarafından neşelendirildi."
actor.deep_social_alias.deep_talk_5,"{name_initiator}, {name_target} tarafından teşekkür edildi."
actor.deep_social_alias.deep_talk_6,"{name_target}, {name_initiator} tarafından övüldü."
actor.deep_social_alias.deep_talk_7,"{name_target}, {name_initiator} tarafından övüldü."
actor.deep_social_alias.evil_joke_1,"{name_initiator}, {name_target} ile dalga geçti."
actor.deep_social_alias.evil_joke_2,"{name_target}, {name_initiator} tarafından aptal yerine kondu."
actor.deep_social_alias.evil_joke_3,"{name_initiator}, {name_target} ile alay etti."
actor.deep_social_alias.evil_joke_4,"{name_initiator}, {name_target} ile dalga geçti."
actor.deep_social_alias.evil_joke_5,"{name_initiator}, {name_target} taklidi yaptı."
actor.deep_social_alias.evil_joke_6,"{name_initiator}, {name_target} ile dalga geçti."
actor.deep_social_alias.flattery_1,"{name_target}, {name_initiator} tarafından pohpohlandı."
actor.deep_social_alias.flattery_2,"{name_target}, {name_initiator} tarafından şımartıldı."
actor.deep_social_alias.flattery_3,"{name_initiator}, {name_target} için artık daha değerli."
actor.deep_social_alias.flattery_4,"{name_initiator}, {name_target} önünde yaltaklandı."
actor.deep_social_alias.flattery_5,"{name_target}, {name_initiator} tarafından takdir edildi."
actor.deep_social_alias.flattery_6,"{name_target}, {name_initiator} tarafından methedildi."
actor.deep_social_alias.flattery_7,"{name_target}, {name_initiator} tarafından egosu okşandı."
actor.deep_social_alias.good_joke_1,{name_initiator} ile {name_target} birbirine nükteli sözler söyledi.
actor.deep_social_alias.good_joke_2,"{name_target}, {name_initiator} tarafından yapılan bir şakayı dinledi."
actor.deep_social_alias.good_joke_3,"{name_initiator}, {name_target} ile güldü."
actor.deep_social_alias.good_joke_4,"{name_initiator}, {name_target} ile bir anekdot paylaştı."
actor.deep_social_alias.good_joke_5,"{name_initiator}, {name_target} için bir taklit yaptı."
actor.deep_social_alias.intrigue_1,"{name_initiator}, {name_target} ile dedikodu yaptı."
actor.deep_social_alias.intrigue_2,"{name_initiator}, tüm gerçekleri {name_target} ile paylaştı."
actor.deep_social_alias.intrigue_3,"{name_target}, korkularını {name_initiator} ile teyit etti."
actor.deep_social_alias.intrigue_4,"{name_initiator}, {name_target} ile bir sır paylaştı."
actor.deep_social_alias.intrigue_5,"{name_target}, gözlerini {name_initiator} sayesinde açtı."
actor.deep_social_alias.intrigue_6,"{name_target}, {name_initiator} tarafından ortaya çıkarıldı."
actor.deep_social_alias.intrigue_7,"{name_initiator}, {name_target} karşısında üstü kapalı laflar söyledi."
actor.deep_social_alias.slight_1,"{name_target}, {name_initiator} tarafından umursanmadı."
actor.deep_social_alias.slight_2,"{name_target}, {name_initiator} tarafından görmezden gelindi."
actor.deep_social_alias.slight_3,"{name_initiator}, {name_target} oradayken ona haddini bildirdi."
actor.deep_social_alias.slight_4,"{name_target}, {name_initiator} tarafından duymazdan gelindi."
actor.deep_social_alias.sorry_1,"{name_target}, {name_initiator} tarafından edilen özrü dinledi."
actor.deep_social_alias.bye_1,"{name_initiator}, gitmeden {name_target} ile vedalaştı."
actor.deep_social_alias.bye_2,"{name_target}, {name_initiator} tarafından en kısa sürede dönme sözü aldı."
actor.deep_social_alias.bye_3,"{name_target}, yolculuğunda {name_initiator} için iyi dileklerde bulundu."
actor.deep_social_alias.flirt_1,"{name_target}, {name_initiator} tarafından ayartılmaya çalışılıyor"
actor.deep_social_alias.flirt_2,"{name_target}, {name_initiator} tarafından randevuya davet ediliyor"
actor.deep_social_alias.flirt_3,"{name_initiator}, {name_target} ile tehlikeli şekilde flörtleşiyor"
actor.deep_social_alias.flirt_4,"{name_target}, {name_initiator} tarafından ateşli bir geceye davet ediliyor"
opinion_mind_interest.hint_title,İlgi: {interest}
opinion_mind_interest.zodiak_signs,Koku
opinion_mind_interest.beauty,Görünüş
opinion_mind_interest.age,Gençlik cazibesi
opinion_mind_interest.drank,Alkol etkisi
opinion_mind_interest.love,Âşık
opinion_mind_interest.religious_fan,Dinî anlaşmazlık
opinion_mind_interest.scars,Yara izleri
opinion_mind_interest.ugly,Görünümünü etkileyen yara izleri
opinion_mind_interest.romantic,Cinsel ihtiyaç
opinion_mind_interest.opinion,İlişkiler
opinion_mind_interest.manners,Terbiye farkı
opinion_mind_interest.guest,Misafir
opinion_mind_interest.has_paramour,Mevcut partnerine olan hisleri
opinion_mind_rumor_prefix,Dedikodu: {rumor}
opinion_mind.abuse,Bana hakaret etti
opinion_mind.abuse_paramour,Hakaret edilen partner
opinion_mind.adultery,Aldattığımı bilmiyor
opinion_mind.blinded_relative,Sevdiği birini kör etti
opinion_mind.bribe_me,Bana rüşvet verdi
opinion_mind.chitchat,Muhabbet
opinion_mind.close_relative,Yakın akraba
opinion_mind.convicted_of_adultery,Partnerin ihaneti
opinion_mind.coward,Korkak
opinion_mind.criminal,Suça karıştı
opinion_mind.deep_talk,Anlamlı bir sohbet gerçekleştirdi
opinion_mind.drunk_fight,Sarhoş kavgası
opinion_mind.beat_me,Beni dövdü
opinion_mind.envy_happy,Çok mutlu!
opinion_mind.envy_runes,Yüzükleri kıskanıyor
opinion_mind.envy_for_babys,Ailenin ferdini kıskanıyor
opinion_mind.envy_for_victory,Zaferleri kıskanıyor
opinion_mind.evil_joke,Benimle dalga geçti!
opinion_mind.ex_paramour,Eski partner
opinion_mind.executed_relative,Sevdiği birini idam etti
opinion_mind.punished_me,Beni cezalandırdı!
opinion_mind.flattery,Beni pohpohladı
opinion_mind.flirt,Gelecek randevu
opinion_mind.game_of_dice_loose,Zarda bana karşı kazandı!
opinion_mind.gift,Bana hediye verdi
opinion_mind.good_commander,Başarılı kumandan
opinion_mind.good_joke,Beraber iyi eğlendik!
opinion_mind.king_gift,Bana asil bir hediye verdi
opinion_mind.heir_envy,Taht arzusu
opinion_mind.hunt_together,Beraber avlandılar
opinion_mind.intrigue,Çirkin dedikodular
opinion_mind.sorry,Özür diledi
opinion_mind.jealousy,Rakip!
opinion_mind.love,Onun için ölüyorum!
opinion_mind.negative_rumor_1,Gece yiyor
opinion_mind.negative_rumor_10,Buralardan çekip gitmeyi planlıyor
opinion_mind.negative_rumor_11,Zührevi hastalık taşıyor
opinion_mind.negative_rumor_12,Yatağa işiyor
opinion_mind.negative_rumor_13,Çöp toplamayı seviyor
opinion_mind.negative_rumor_14,Gizli ateist
opinion_mind.negative_rumor_15,Kapı paspasında yatıyor
opinion_mind.negative_rumor_16,Gizli kundakçı
opinion_mind.negative_rumor_17,Nadiren yıkanıyor
opinion_mind.negative_rumor_18,Arta kalan yemekleri hep yiyor
opinion_mind.negative_rumor_19,Gece çıplak geziyor
opinion_mind.negative_rumor_2,Burnunu karıştırıyor
opinion_mind.negative_rumor_20,Kötü bir ruh ona musallat olmuş
opinion_mind.negative_rumor_21,Bir kütüğe tapıyor
opinion_mind.negative_rumor_22,Sevişemiyor
opinion_mind.negative_rumor_23,Koltuk altını kaşıyor
opinion_mind.negative_rumor_24,Böcek yiyor
opinion_mind.negative_rumor_25,Gece çığlık atıyor
opinion_mind.negative_rumor_3,Hizmetçiye bakıyor
opinion_mind.negative_rumor_4,Gaz çıkarıyor
opinion_mind.negative_rumor_6,Çok içiyor
opinion_mind.negative_rumor_7,İnsanların arkasından konuşuyor
opinion_mind.negative_rumor_8,Tabak çanak çalıyor
opinion_mind.negative_rumor_9,Kelleşiyor
opinion_mind.night_murder,Korkunç bir katil
opinion_mind.other_relatives,Diğer akrabalar
opinion_mind.paramour,Ruh eşi
opinion_mind.paranoid_hate,Paranoyak nefret
opinion_mind.personality_arrogant,Fakirleri hor görüyor
opinion_mind.personality_contradictory_hate,Açıklanamaz nefret
opinion_mind.personality_contradictory_love,Açıklanamaz aşk
opinion_mind.personality_mismatch,Sevimsiz bir kişiliği var
opinion_mind.personality_mismatch_heavy,Korkunç bir kişiliği var
opinion_mind.positive_rumor_1,Gizlice şiir yazıyor
opinion_mind.positive_rumor_10,Gizli romantik
opinion_mind.positive_rumor_11,Geçmişten pişmanlık duyuyor
opinion_mind.positive_rumor_12,Ölüleri görüyor
opinion_mind.positive_rumor_13,Ölümcül hasta
opinion_mind.positive_rumor_15,Çocukları çok seviyor
opinion_mind.positive_rumor_16,Evcil faresi var
opinion_mind.positive_rumor_17,Hipnoz yetenekleri var
opinion_mind.positive_rumor_18,Gizli âşık
opinion_mind.positive_rumor_2,Yatakta çok şefkatli
opinion_mind.positive_rumor_3,Gizli depresyon
opinion_mind.positive_rumor_4,Suçluluk onu yiyip bitiriyor
opinion_mind.positive_rumor_5,Çiçek ekiyor
opinion_mind.positive_rumor_6,Uçmayı öğrenmeyi hayal ediyor
opinion_mind.positive_rumor_7,Kemer tokası topluyor
opinion_mind.positive_rumor_8,Gizlice hastalara yardım ediyor
opinion_mind.positive_rumor_9,Bir gecede beş posta atabiliyor
opinion_mind.pretender_envy,Vârisi kıskanıyor
opinion_mind.refuse_flirt,Randevuyu reddetti
