Key,Russian
actor.deep_social_alias.deep_talk_4,{name_initiator} приободрил {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} поблагодарил {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} сказал комплимент {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} воздал должное {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} издевался над {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} выставил дураком {name_target}
actor.deep_social_alias.evil_joke_3,{name_initiator} дразнил {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} насмехался над {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} пародировал {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} иронизировал над {name_target}
actor.deep_social_alias.flattery_1,{name_initiator} польстил {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} задобрил {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} подмазал {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} расстелился перед {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} неискренне восхищался {name_target}
actor.deep_social_alias.flattery_6,{name_initiator} превозносил {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} массировал эго {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} обменялся остротами с {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} рассказал новую шутку {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} весело посмеялся с {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} рассказал анекдот {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} показал пародию {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} рассказал слухи {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} рассказал всю правду {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} подтвердил опасения {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} поделился секретом с {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} раскрыл глаза {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} раскрыл сущность {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} тонко намекнул {name_target}
actor.deep_social_alias.slight_1,{name_initiator} пренебрег {name_target}
actor.deep_social_alias.slight_2,{name_initiator} проигнорировал {name_target}
actor.deep_social_alias.slight_3,{name_initiator} поставил на место {name_target}
actor.deep_social_alias.slight_4,"{name_initiator} сделал вид, что не расслышал {name_target}"
actor.deep_social_alias.sorry_1,{name_initiator} попросил прощения у {name_target}
actor.deep_social_alias.bye_1,{name_initiator} -> {name_target} прощается перед уходом.
actor.deep_social_alias.bye_2,{name_initiator} -> {name_target} обещает вернуться поскорее 
actor.deep_social_alias.bye_3,{name_target} -> {name_initiator} желает счастливой дороги
actor.deep_social_alias.flirt_1,{name_initiator} пытается соблазнить {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} приглашает на свидание {name_target} 
actor.deep_social_alias.flirt_3,{name_initiator} опасно кокетничает с {name_target} 
actor.deep_social_alias.flirt_4,{name_initiator} обещает жаркую ночь {name_target}
opinion_mind_interest.hint_title,Интерес: {interest}
opinion_mind_interest.zodiak_signs,Запах
opinion_mind_interest.beauty,Внешность
opinion_mind_interest.age,Очарование юности
opinion_mind_interest.drank,Влияние алкоголя
opinion_mind_interest.love,Влюблён
opinion_mind_interest.religious_fan,Религиозные разногласия
opinion_mind_interest.scars,Шрамы
opinion_mind_interest.ugly,Изуродованный
opinion_mind_interest.romantic,Потребность в сексе
opinion_mind_interest.opinion,Отношения
opinion_mind_interest.manners,Разница в манерах
opinion_mind_interest.guest,Гость
opinion_mind_interest.has_paramour,Чувства к текущему партнеру
opinion_mind_rumor_prefix,Слух: {rumor}
opinion_mind.abuse,Оскорбил меня
opinion_mind.abuse_paramour,Оскорбил партнера
opinion_mind.adultery,Не знает о моей измене
opinion_mind.blinded_relative,Ослепил близкого
opinion_mind.bribe_me,Подкупил меня
opinion_mind.chitchat,Болтовня
opinion_mind.close_relative,Близкий родственник
opinion_mind.convicted_of_adultery,Измена партнера
opinion_mind.coward,Трус
opinion_mind.criminal,Замешан в преступлениях
opinion_mind.deep_talk,Был глубокий разговор
opinion_mind.drunk_fight,Пьяная драка
opinion_mind.beat_me,Побил меня
opinion_mind.envy_happy,Слишком счастливый!
opinion_mind.envy_runes,Зависть к количеству колец
opinion_mind.envy_for_babys,Зависть к количеству детей
opinion_mind.envy_for_victory,Зависть к победам
opinion_mind.evil_joke,Он издевался надо мной!
opinion_mind.ex_paramour,Бывший партнер
opinion_mind.executed_relative,Казнил близкого
opinion_mind.punished_me,Наказал меня!
opinion_mind.flattery,Польстил мне
opinion_mind.flirt,Предстоит свидание
opinion_mind.game_of_dice_loose,Выиграл у меня в кости!
opinion_mind.gift,Подарил подарок
opinion_mind.good_commander,Успешный командир
opinion_mind.good_joke,Здорово посмеялись вместе!
opinion_mind.king_gift,Королевский подарок
opinion_mind.heir_envy,Желание трона
opinion_mind.hunt_together,Охотились вместе
opinion_mind.intrigue,Грязные слухи
opinion_mind.sorry,Попросил прощения
opinion_mind.jealousy,Соперник!
opinion_mind.love,Я без ума от него!
opinion_mind.negative_rumor_1,Ест по ночам
opinion_mind.negative_rumor_10,Собирается уйти навсегда
opinion_mind.negative_rumor_11,Болен венерической болезнь
opinion_mind.negative_rumor_12,Мочится в постель
opinion_mind.negative_rumor_13,Копит мусор
opinion_mind.negative_rumor_14,Тайный атеист
opinion_mind.negative_rumor_15,Спит на коврике у двери
opinion_mind.negative_rumor_16,Тайный пироман
opinion_mind.negative_rumor_17,Редко моется
opinion_mind.negative_rumor_18,Всегда доедает объедки
opinion_mind.negative_rumor_19,Гуляет голым по ночам
opinion_mind.negative_rumor_2,Ковыряет в носу
opinion_mind.negative_rumor_20,Одержим злым духом
opinion_mind.negative_rumor_21,Поклоняется пню
opinion_mind.negative_rumor_22,Не может заниматься сексом
opinion_mind.negative_rumor_23,Чешет подмышки
opinion_mind.negative_rumor_24,Ест насекомых
opinion_mind.negative_rumor_25,Кричит по ночам
opinion_mind.negative_rumor_3,Заглядывается на слугу
opinion_mind.negative_rumor_4,Пускает газы
opinion_mind.negative_rumor_6,Много пьет
opinion_mind.negative_rumor_7,Злословит за спиной
opinion_mind.negative_rumor_8,Ворует посуду
opinion_mind.negative_rumor_9,Выпадают волосы
opinion_mind.night_murder,Подлый убийца
opinion_mind.other_relatives,Прочие родственники
opinion_mind.paramour,Вторая половина
opinion_mind.paranoid_hate,Параноидальная ненависть
opinion_mind.personality_arrogant,Презирает за бедность
opinion_mind.personality_contradictory_hate,Необъяснимая ненависть
opinion_mind.personality_contradictory_love,Необъяснимая любовь
opinion_mind.personality_mismatch,Неприятная личность
opinion_mind.personality_mismatch_heavy,Крайне неприятная личность
opinion_mind.positive_rumor_1,Тайно пишет стихи
opinion_mind.positive_rumor_10,Тайный романтик
opinion_mind.positive_rumor_11,Жалеет о прошлом
opinion_mind.positive_rumor_12,Видит умерших
opinion_mind.positive_rumor_13,Смертельно болен
opinion_mind.positive_rumor_15,Обожает детей
opinion_mind.positive_rumor_16,Держит домашнюю крысу
opinion_mind.positive_rumor_17,Владеет гипнозом
opinion_mind.positive_rumor_18,Тайно влюблен
opinion_mind.positive_rumor_2,Нежен в постели
opinion_mind.positive_rumor_3,Тайная депрессия
opinion_mind.positive_rumor_4,Мучается чувством вины
opinion_mind.positive_rumor_5,Сажает цветы
opinion_mind.positive_rumor_6,Мечтает научиться летать
opinion_mind.positive_rumor_7,Коллекционирует пряжки ремней
opinion_mind.positive_rumor_8,Тайно помогает больным
opinion_mind.positive_rumor_9,Может 5 раз за ночь
opinion_mind.pretender_envy,Зависть к наследнику
opinion_mind.refuse_flirt,Не согласился на свидание
opinion_mind.refuse_flirt_full,Отверг меня! Да как он смеет!
opinion_mind.reward_me,Наградил меня
opinion_mind.sex,Провели ночь вместе!
opinion_mind.shame_relative,Обесчестил близкого
opinion_mind.slight,Пренебрег мной
opinion_mind.spouse,Супруг
opinion_mind.suspicion_of_adultery,"Мне кажется, он мне изменяет..."
opinion_mind.try_to_kill_me,Пытался меня убить
opinion_mind.manners_good,Манерный
opinion_mind.manners_too_high,Слишком манерный
opinion_mind.manners_too_low,Неотёсанная деревенщина
opinion_mind.pregnancy_father,Отец моего ребенка
opinion_mind.pregnancy_mother,Мать моего ребенка
opinion_mind.dummy_bastard,Бастард от крестьянина
opinion_mind.lord_bastard,Бастард от лорда
opinion_mind.child,Мое дитя
opinion_mind.parent,Мой родитель
opinion_mind.rescued_from_captivity,Спас меня из плена!
opinion_mind.speeping_with_my_partner,Спал с моим партнером!
opinion_mind.uncle,Дядя/Тетя
opinion_mind.nephew,Племянник/Племянница
opinion_mind.brother,Брат/Сестра
opinion_mind.related_marriage,Породнились через брак
opinion_mind.returned_debt,Вернул долг
opinion_mind.not_returned_debt,Обманул мое доверие
opinion_mind.not_returned_debt_neighbor,Не отдал долг соседу
opinion_mind.player_paid_tribute,Заплатил мне дань
opinion_mind.player_refuse_to_pay,Отказался платить
opinion_mind.king_demand_pay,Вымогал у меня дань
opinion_mind.attacked_me,Напал на меня
opinion_mind.attack_neighbors,Нападает на соседей
opinion_mind.attack_traity,Агрессия против меня
opinion_mind.attack_traity_neighbors,Агрессия против соседа
opinion_mind.attack_coward,Не явился на бой
opinion_mind.vassal,Мой вассал
opinion_mind.senior,Мой сеньор
opinion_mind.vassal_duty_did,Исполнил долг вассала
opinion_mind.betrayal,Предал меня
opinion_mind.betray_vassal_oath,Нарушил клятву вассала
opinion_mind.king_bastard,Бастард не должен носить корону
opinion_mind.king_woman,Женщина не должна носить корону
opinion_mind.greetings_me,Поприветствовал меня
opinion_mind.loot_my_village,Разграбил мою деревню
opinion_mind.friend_of_bandits,Связался с лесными бандитами
opinion_mind.enemy_of_bandits,Уничтожает лесных бандитов
opinion_mind.killed_wolves,Уничтожил стаю волков
opinion_mind.kicked_out,Выгнал меня
opinion_mind.take_title,Лишил меня титула
opinion_mind.kicked_out_my_lord,Выгнал моего лорда
opinion_mind.discharge,Разрядка отношений
opinion_mind.free_lord_terror,Покушение на свободного лорда
opinion_mind.my_teacher,Мой учитель
opinion_mind.dictator_habits,Диктаторские замашки
opinion_mind.threatened_me,Угрожал мне
opinion_mind.crime_criminal_not_punished,Преступник не наказан
opinion_mind.friend_of_my_child,Друг ребенка
opinion_mind.best_friend_of_my_child,Лучший друг ребенка
opinion_mind.enemy_of_my_child,Враг ребенка
opinion_mind.worst_enemy_of_my_child,Злейший враг ребенка
opinion_mind.friend_of_my_spouce,Друг супруга
opinion_mind.best_friend_of_my_spouce,Лучший друг супруга
opinion_mind.enemy_of_my_spouce,Враг супруга
opinion_mind.worst_enemy_of_my_spouce,Злейший враг супруга
opinion_mind.sex_with_other,Моя любовь переспала с другим
opinion_mind.caring_parent,Заботливый родитель
opinion_mind.good_child,Послушный отпрыск
opinion_mind.start_friend,Старый союзник
opinion_mind.start_sympathy,Симпатия
opinion_mind.start_dislike,Неприязнь
opinion_mind.start_enemy,Заклятый враг
opinion_mind.too_smart,Слишком умный
opinion_mind.sinner,Грешник (Фанатизм)
opinion_mind.was_punished,Был наказан
opinion_mind.trade_with_enemy,Торговал с моим врагом
opinion_mind.dont_kill_bandits,Не уничтожил бандитов
opinion_mind.kill_not_own_bandits,Лезет не в свое дело
opinion_mind.killed_my_friend,Убил моего друга
opinion_mind.killed_my_enemy,Убил моего врага
opinion_mind.first_night_together,Первая ночь вместе
opinion_mind.loot_vassal_village,Разграбил деревню вассала
opinion_mind.trade_with_me,Успешная сделка
opinion_mind.victorious_generosity,Великодушие победителя
opinion_mind.knocked_up_my_daughter,Обрюхатил мою дочь
opinion_mind.rebelled_against_kin,Восстал против своего короля
opinion_mind.traitors_slander,Клевета перебежчиков
opinion_mind.not_control_own_bandits,Не контролирует своих бандитов
opinion_mind.unholly_hospitality,Нарушил святость гостеприимства
opinion_mind.demand_vassalage_to_me,Пытался меня подчинить
opinion_mind.mind_kidnaper,Похититель
opinion_mind.mind_kidnaper_neighbore,Похитил лорда соседа
opinion_mind.mind_assassinate,Подослал убийц
opinion_mind.mind_assassinate_neighbore,Подослал убийц к соседу
opinion_mind.dead_captive,Погиб пленник
opinion_mind.captive_hold,Удерживает заложника
opinion_mind.release_captive,Отпустил пленника
opinion_mind.captive_terror,Пытает заложника
opinion_mind.lord_rebellion_support_heir_to_heir,Поддержал восстание
opinion_mind.lord_rebellion_support_king_to_heir,Не поддержал восстание
opinion_mind.lord_rebellion_support_heir_to_king,Не поддержал законную власть
opinion_mind.lord_rebellion_support_king_to_king,Поддержал законную власть
opinion_mind.poaching_my_lords,Переманивает моих лордов
opinion_mind.betrayed_home,Предал родной дом
opinion_mind.book_stealer,Похитил книги
opinion_mind.gold_stealer,Устроил ограбление
opinion_mind.refuse_light_vassals,Отказался от вассалитета
opinion_mind.showed_weakness,Показал слабость
opinion_mind.guest_death_for_owners,Подозрительная смерть члена семьи
opinion_mind.guest_death_for_opponents,Подозрительная смерть гостя
opinion_mind.faceless,Нечестивая Орда
opinion_mind.not_faceless,Не Нечестивая Орда
opinion_mind.hate_males,Ненавижу мужчин
opinion_mind.hate_females,Ненавижу женщин
opinion_mind.blissful,Блаженный
opinion_mind.saint,Святой
opinion_mind.drug_addict,Зависимый
opinion_mind.coward,Трус
opinion_mind.help_against_facelesse,Помог против Нечестивой Орды
opinion_mind.tried_to_poison,Пытался отравить
opinion_mind.tried_to_poison_my_member,Пытался отправить подданого
opinion_mind.greedy,Жадный
opinion_mind.king_role_weaker_than_me,Слабее меня (Кайден)
opinion_mind.king_role_stronger_than_me,Сильнее меня (Кайден)
opinion_mind.king_role_poorer_than_me,Беднее меня (Махка)
opinion_mind.king_role_reacher_than_me,Богаче меня (Макха)
opinion_mind.king_role_agnostic,Агностик (Танайя)
opinion_mind.king_role_fanatic,Фанатик (Танайя)
opinion_mind.king_role_bandit_torelate,Терпит Бандитов (Кайден)
opinion_mind.king_role_fight_with_bandit,Сражается с бандитами (Кайден)
opinion_mind.king_role_many_slaves,Много пленников (Варн)
opinion_mind.king_role_no_slaves,Нет пленников (Варн)
opinion_mind.king_role_vassal,Вассал (Варн)
opinion_mind.king_role_suzerain,Сюзерен (Варн)
opinion_mind.king_role_dumber_than_me,Глупее меня (Макха)
opinion_mind.king_role_smarter_than_me,Умнее меня (Макха)
opinion_mind.women_king,Женщина на троне
opinion_mind.disinherited_me,Лишил меня наследства
opinion_mind.illigal_heir,Незаконный наследник
opinion_mind.few_fanatics,Мало фанатиков
opinion_mind.few_churchs,Не хватает храмов
opinion_mind.enough_fanatics,В городе много фанатиков
opinion_mind.enough_churchs,Достаточно храмов
opinion_mind.blissful,Блаженный
opinion_mind.provoke_duel,Спровоцировал дуэль
opinion_mind.provoke_duel_neighbore,Спровоцировал дуэль у соседа
opinion_mind.declare_peace,Мирный договор
opinion_mind.trade_agreement,Торговое соглашение
opinion_mind.cruel_ruler,Вероломный правитель
opinion_mind.bishop_frogivness,Был прощен... Все в прошлом.
opinion_mind.enemy_of_bandits_bishop,Уничтожил лагерь бандитов
opinion_mind.pitty,Жалость
opinion_mind.help_in_rescue,Помощь в освобождении
opinion_mind.lord_lowborn,Низкородный
opinion_mind.matriarch_fanatic_mind,Количество <hint=hint_persons_fanatic>фанатиков</hint> в городе ({percent})
opinion_mind.friend_lost_title,Лишил моего друга титула
opinion_mind.bishop_opinion,Мнение епископа
opinion_mind.defence_alliance_lost_soldier,Потери среди подкрепления
opinion_mind.defence_alliance_lost_lord,Командующий подкрепления был потерян
opinion_mind.defence_alliance_broken,Союз разорван
opinion_mind.defence_alliance,Состоит в одном союзе со мной
opinion_mind.defence_alliance_send_army,Чтит союз
opinion_mind.defence_alliance_broken_neighbore,Предал союзника
opinion_mind.new_bishop,Новый епископат
opinion_mind.enemy_of_my_ally,Враг моего союзника
opinion_mind.ally_of_my_enemy,Союзник моего врага
opinion_mind.same_culture,Одинаковая культура
opinion_mind.xenophobic_culture,Ненавистная культура
opinion_mind.slander_to_other_king,Злословил на другого короля
opinion_mind.slander_from_other_king,Оклеветали
opinion_mind.help_in_vassal_riot_to_vassal,Помогал в борьбе за независимость
opinion_mind.help_in_vassal_riot_to_sir,Помогал восставшему вассалу
opinion_mind.help_in_lords_family_attack_to_victim,Помогал в обороне города
opinion_mind.help_in_lords_family_attack_to_attacker,Помогал отбиться от нашей атаки
opinion_mind.help_in_lords_family_destroy_to_victim,Помогал спасти город от уничтожения
opinion_mind.help_in_lords_family_destroy_to_attacker,Помогал спасти город от уничтожения
opinion_mind.help_in_mountais_bandits_attack,Помогал уничтожать мародеров
opinion_mind.helped_tanaya_king,Помогает королям Таная
opinion_mind.helped_makha_king,Помогает королям Макха
opinion_mind.rival_for_power,Соперник за власть
opinion_mind.crown_desire,Желание короны
opinion_mind.bishop_to_fanatic,Фанатик
opinion_mind.bishop_to_agnostic,Агностик
opinion_mind.transfered_king,Отдал корону
opinion_mind.distrust,Недоверие
opinion_mind.try_to_vassal_my_vassal,Пытается завоевать моего вассала
opinion_mind.contempt_of_genius,Ничтожество!
opinion_mind.force_neutrality_my_ally,Принуждал к нейтралитету союзника
opinion_mind.force_neutrality_my_vassal,Принуждал к нейтралитету вассала
opinion_mind.force_neutrality_me,Принуждал к нейтралитету
opinion_mind.force_neutrality_to_leader,Нарушил договоренности
opinion_mind.competitor_for_influence,Конкурент за влияние
opinion_mind.ally_was_attacked,Атаковал моего союзника
opinion_mind.vassal_was_attacked,Атаковал моего вассала
opinion_mind.spouses_opinion_about_king,Мнение супруга
opinion_mind.sir_of_my_enemy,Сюзерен моего врага
opinion_mind.ally_of_my_enemy,Союзник моего врага
opinion_mind.bishop_is_dead,Подозрительная смерть Епископа
opinion_mind.purification_by_fire,Подвергли Очищению Огнем
opinion_mind.personal_conflict_ignore,Испугался участия в конфликте
opinion_mind.personal_conflict_support_me,Поддержал меня в конфликте
opinion_mind.personal_conflict_support_enemy,Поддержал моего врага в конфликте
opinion_mind.betray_sir_oath,Нарушил клятву сюзерена
opinion_mind.lord_neutralised,Помог избавиться от лорда
opinion_mind.apostate,Отступник
opinion_mind.purchase_stolen_rings,Купил украденные у меня кольца
opinion_mind.took_my_house,Занял мой дом!
opinion_mind.family_relative_strange_dead,Смерть родственника
opinion_mind.want_to_burn_my_town,Хочет предать огню мой город!
opinion_mind.want_to_burn_town_unfair_neighbores,Агрессия против соседа
opinion_mind.defence_alliance_not_help,Предал союзника
opinion_mind.praise_from_other_king,Похвала от соседа
opinion_mind.demand_tribute_neighbors,Требует дань с соседей
opinion_mind.king_diplomacy,Общение с посланником
opinion_mind.strong_sir_army,Мощь армии сюзерена
opinion_mind.allowed_death_of_close,Допустил смерть близкого
opinion_mind.crown_envy,Зависть к короне
opinion_mind.forced_marriage,Брак по принуждению
opinion_mind.ex_heir_enemy,Бывший соперник за трон
opinion_mind.king_defied_church,Бросил вызов Церкви
opinion_mind.agnostic_to_fanatic,Чертов фанатик (Агностицизм)
opinion_mind.fanatic_to_agnostic,Чертов агностик (Фанатизм)
opinion_mind.untitled_to_others,Зависть к титулу
opinion_mind.others_to_untitled,Презрение к младшему лорду
activity_state.ambush_panic.go_to,Убегает от опасности
activity_state.ambush_panic.waiting,Переживает приступ паники
activity_state.ambush_prepare,Готовится к атаке
activity_state.atm.go_to,Идет переносить тело
activity_state.atm.process,Несет тело
activity_state.battle_follow_enemy,Преследует противника
activity_state.battle_process,Сражается
activity_state.battle_squad_commander,Командует отрядом
activity_state.battle_squad_go_to_formation,Идет к командиру
activity_state.battle_squad_in_formation,Находится в отряде
activity_state.battle_win,Радуется победе
activity_state.book_reading.go_to,Идет читать стихи
activity_state.book_reading.process,Читает стихи
activity_state.burning.process,Горит в агонии
activity_state.caravaneer.trade.go_to,Идет торговать
activity_state.caravaneer.trade.process,Готов торговать
activity_state.slave.trade.go_to,Идет за торговцем
activity_state.free_lord.go_to,Ожидает найма
activity_state.slave.suicide,Убивает себя
activity_state.church.go_to,Идет в храм
activity_state.church.morning_service.process,Проповедь радости
activity_state.church.morning_service.waiting,Ждет начало проповеди
activity_state.church.pray,Молится
activity_state.conversation.go_to,Идет говорить с {name}
activity_state.criminal.burglary.go_to,Идет взламывать дом
activity_state.criminal.burglary.lockpicking,Взламывает замок
activity_state.criminal.burglary.process,Занимается грабежом
activity_state.criminal.burglary.waiting,Ждет подельника
activity_state.criminal.night_murder,Идет убивать врага
activity_state.criminal.robbery,Ищет жертву для грабежа
activity_state.criminal.storage_robbery.go_to,Идет грабить склад
activity_state.criminal.storage_robbery.process,Грабит склад
activity_state.dead,Мертвый
activity_state.deep_social.go_to,Идет общаться
activity_state.deep_social.process,Общается
activity_state.deep_social.waiting,Ждет собеседника
activity_state.dice_of_fate.go_to,Идет гадать на костях
activity_state.dice_of_fate.process,Гадает на костях
activity_state.dreaming.go_to,Идет мечтать
activity_state.dreaming.process,Мечтает
activity_state.drinking.go_to,Идет пить алкоголь
activity_state.drinking.process,Пьет алкоголь
activity_state.drinking_nectar.go_to,Идет пить нектар
activity_state.drinking_nectar.process,Пьет нектар
activity_state.eating.go_to,Идет есть
activity_state.eating.process,Ест
activity_state.fight_trainer.go_to,Идет управлять тренировкой
activity_state.fight_trainer.process,Управляет тренировкой
activity_state.fight_training.go_to,Идет тренироваться
activity_state.fight_training.waiting,Ждет спарринг партнера
activity_state.finish_off_enemy,Добивает противника
activity_state.firefight.go_to,Бежит тушить пожар
activity_state.firefight.process,Тушит пожар
activity_state.game_of_dice.go_to,Идет играть в кости
activity_state.game_of_dice.process,Играет в кости
activity_state.game_of_dice.waiting,Ждет оппонента
activity_state.home_pray.go_to,Идет молиться домой
activity_state.inspector.go_to,Идет на инспекцию
activity_state.inspector.process,Проводит инспекцию
activity_state.leaving_to_forest.go_to,Уходит из поселения
activity_state.music.listen.go_to,Идет слушать музыку
activity_state.music.listen.process,Слушает музыку
activity_state.music.play.go_to,Идет играть музыку
activity_state.music.play.process,Играет музыку
activity_state.nothing,Ничего не делает
activity_state.order.attack,Атакует {name}
activity_state.order.building_burning.go_to,Идет поджигать {building}
activity_state.order.building_burning.process,Поджигает {building}
activity_state.order.building_robbery.go_to,Идет грабить {building}
activity_state.order.building_robbery.process,Грабит {building}
activity_state.order.follow,Преследует {name}
activity_state.order.moving,Выдвигается
activity_state.order.travel_prepare.go_to,Выдвигается за провизией
activity_state.order.travel_prepare.process,Берет провизию
activity_state.pain_shock,Без сознания от болевого шока
activity_state.patrol,Патрулирует
activity_state.punish_watching.go_to,Идет смотреть на наказание
activity_state.punish_watching.process,Смотрит на наказание
activity_state.punish.go_to,Ведет преступника
activity_state.punish.process,Осуществляет наказание
activity_state.punish.search,Идет за преступником
activity_state.punish.target.go_to,Идет на эшафот
activity_state.punish.target.waiting,Ожидает наказание
activity_state.punish.witness.go_to,Идет опрашивать свидетеля
activity_state.punish.witness.process,Опрашивает свидетеля
activity_state.punish.witness.target.process,Дает показания
activity_state.punish.work_wait,Ждет работу
activity_state.punish.intimidate,Идет запугивать
activity_state.intimidate.process,Запугивает
activity_state.retreat,Спасается бегством
activity_state.rtm.go_to,Идет за ресурсами
activity_state.rtm.process,Переносит ресурсы
activity_state.salary.go_to,Идет за зарплатой
activity_state.sex.go_to,Идет заниматься сексом
activity_state.sex.process,Занимается сексом
activity_state.sex.waiting,Ждет партнера
activity_state.shopping.go_to,Идет на рынок
activity_state.shopping.process,Покупает товары
activity_state.sick_visit.go_to,Идет посещать больного
activity_state.sick_visit.process,Посещает больного
activity_state.sick_visit.target.process,Радуется посещению
activity_state.sick_visit.target.waiting,Ждет посещения
activity_state.skill_training.go_to,Идет тренировать навык {skill_name}
activity_state.skill_training.process,Тренирует навык {skill_name}
activity_state.sleeping.fatigue.process,Спит от измождения
activity_state.sleeping.go_to,Идет спать
activity_state.sleeping.on_ground.process,Спит на земле
activity_state.sleeping.process,Спит
activity_state.social_relaxation.go_to,Идет размышлять
activity_state.social_relaxation.process_1,Планирует будущее
activity_state.social_relaxation.process_2,Вспоминает прошлое
activity_state.social_relaxation.process_3,Радуется моменту
activity_state.social_relaxation.process_4,Мысли о смерти
activity_state.social_relaxation.process_5,Размышляет о предназначении
activity_state.social_relaxation.process_6,Думает о близких
activity_state.social_relaxation.process_7,Рефлексирует о поступках
activity_state.social_relaxation.process_8,Сомневается в существовании
activity_state.spend_time.drinking.go_to,Идет пить алкоголь в компании
activity_state.spend_time.drinking.process,Пьет алкоголь в компании
activity_state.spend_time.hunt.go_to,Идет охотится
activity_state.spend_time.hunt.waiting,Ждет напарника по охоте
activity_state.spend_time.music.go_to,Идет играть музыку в компании
activity_state.spend_time.music.process,Играет музыку в компании
activity_state.spend_time.pray.go_to,Идем молиться в компании
activity_state.spend_time.pray.process,Молится в компании
activity_state.spend_time.waiting,Ждет собеседника
activity_state.spend_time.walking.process,Гуляет в компании
activity_state.take_equipment.go_to,Идет за экипировкой
activity_state.tantrum.binge.go_to,Собирается уйти в запой
activity_state.tantrum.binge.process,В запое
activity_state.tantrum.crazy_pray.go_to,Погружается в религиозный транс
activity_state.tantrum.crazy_pray.process,В религиозном трансе
activity_state.tantrum.rage.process,"Ищет, кого бы избить"
activity_state.tantrum.self_immolation.go_to,Собирается очиститься огнем
activity_state.trade.go_to,Идет торговать с караванщиком
activity_state.unconscious,Без сознания
activity_state.use_bandage,Останавливает кровь
activity_state.use_medicine.go_to,Идет за лекарствами
activity_state.use_medicine.process,Принимает лекарства
activity_state.walking,Гуляет
activity_state.dancing,Танцует
activity_state.wolf_walking,Исследует лес
activity_state.work.go_to,Идет на рабочее место
activity_state.work.process,Работает
activity_state.chancellaty_interact.go_to,Идет работать над знаниями
activity_state.chancellaty_interact.interact,Изучает знание
activity_state.slave_free.go_to,Идет освобождать пленника
activity_state.slave_free.making_free,Освобождает пленника
activity_state.slave_free.wait,Ждет освобождения
activity_state.pig_slaughter.go_to,Идет забивать свиней
activity_state.tantrum.tantrum_insult,Идет ругаться
activity_state.tantrum.depression,В Депрессии
activity_state.tantrum.long_walk,Ходит в депрессии
activity_state.tantrum.self_harm.go_to,Идет нанести себе увечья
activity_state.tantrum.self_harm.process,Наносит себе увечья
activity_state.tantrum.tantrum_beating,Идет избить кое-кого
activity_state.clerk.wait_for_work,Ждет заданий
activity_state.clerk.talk_inspector,Получает задание
activity_state.clerk.give_order,Дает задание
activity_state.gallows_inspector.go_to,Идет управлять эшафотом
activity_state.gallows_inspector.process,Управляет эшафотом
activity_state.chancellry.go_to,Идет управлять канцелярией
activity_state.chancellry.process,Управляет канцелярией
activity_state.duel.go_to,Идет на дуэль
activity_state.duel.waiting,Ожидает начала дуэли
activity_state.duel_watch.go_to,Идет наблюдать дуэль
activity_state.duel_watch.process,Наблюдает дуэль
activity_state.bishop.transfer_runes,Отдает кольца каравану
activity_state.enslave,Связывает пленника
activity_state.awaiting_inspector,Ожидает инспектора
activity_state.awaiting_building_site,Ожидает объект для строительства
activity_state.criminal.kidnap.go_to,Идет похищать лорда
activity_state.criminal.lord_kill.go_to,Идет убивать лорда
activity_state.criminal.lord_kill.process,Убивает лорда
activity_state.criminal.kidnap.process,Связывает лорда
activity_state.criminal.captive.go_to,Идет пленять лорда
activity_state.criminal.captive.process,Пленяет лорда
activity_state.criminal.steal_library.go_to,Идет грабить библиотеку
activity_state.criminal.steal_library.process,Грабит библиотеку
activity_state.criminal.steal_hall.go_to,Идет грабить холл
activity_state.criminal.steal_hall.process,Грабит холл
activity_state.criminal.kidnap.go_to,Идет захватывать лорда
activity_state.criminal.captive.process,Захватывает лорда
activity_state.tantrum.ring_robbery.go_to,Идет грабить
activity_state.tantrum.ring_robbery.lockpicking,Взламывает замок
