Key,TraditionalChinese
faction.name.2,望風山
faction.name.3,星粼川
faction.name.4,碧月潭
faction.name.5,星苗鄉
faction.name.6,晶光城
faction.name.7,星珍谷
faction.name.8,迷人鄉
faction.name.9,樹伍德
faction.name.10,桂月郡
faction.name.11,霧都
faction.name.12,耀靈谷
faction.name.13,霧隱灣
faction.name.14,金郡
faction.name.15,花瀑塘
faction.name.16,萊克堡
faction.name.17,龍角郡
faction.name.18,翠峰村
faction.name.19,暮光鎮
faction.name.20,晶塔利亞
faction.name.21,奇譚郡
faction.name.22,弗斯特堡
faction.name.23,奇獸林
faction.name.24,灣濤市場
faction.name.25,蔓萊
faction.name.26,童話谷
faction.name.27,冰封峽谷
faction.name.28,玄木林
faction.name.29,鏡湖
faction.name.30,曙光堡
faction.name.31,幻夢泉
faction.name.32,翡翠丘
faction.name.33,黃金港
faction.name.34,銀川
faction.name.35,失落之城
faction.name.36,雷霆峰
faction.name.37,塵土巖
faction.name.38,活力谷
faction.name.39,拂曉村
faction.name.40,晶巖洞
faction.name.41,翡翠陣
faction.name.42,繁星園
faction.name.43,燄冠城
faction.name.44,黃金港
faction.name.45,明月鄉
faction.name.46,風捲城
faction.name.47,星之家
faction.name.48,烏鴉鎮
faction.name.49,騰影城
faction.name.50,星苗谷
faction.name.51,樹伍德
faction.name.52,微光谷
faction.name.53,盎德堡
faction.name.54,迷人崖
faction.name.55,晶光城
faction.name.56,忘卻岬
faction.name.57,熾光瀑
faction.name.58,夢之脊
faction.name.59,霜雪峰
faction.name.60,霧都
faction.name.61,獸窩村
faction.name.62,孤隱山
faction.name.63,坳福峽谷
faction.name.64,風茵原
faction.name.65,冥巖
faction.name.66,冰封瀑布
faction.name.67,玄奧城
faction.name.68,靜默灣
faction.name.69,密林
faction.name.70,拾光城
faction.name.71,利命綠洲
faction.name.72,晨吻巷
faction.name.73,霧溪城
faction.name.74,落失哨
faction.name.75,高燈嶺
faction.deserted_soldiers,逃兵流寇
faction.player_untitled,小貴族
0map.appoint.sub_category.others,其他
9map.appoint.sub_category.expansion,擴張
8map.appoint.sub_category.others,其他
product_change_price.neighbore_town_attacked,攻打{faction_uuid_town}讓價格增加了 <red>{price_factor}%</red>。
no_defence_allies,無盟友
map.category.lords,貴族
map.hostage_player,贖回人質
map.lord_low_loyalty,貴族即將離開
map.lord_rebellion.nobody_support,無
map.lord_rebellion_heir,王儲篡位
map.lord_rebellion_king,擁護王位
map.hire_bandits,僱用劫匪
map.solders_gift,提供協助
map.appoint.events,事件
map.category.criminals,不法勾當
map.category.politics,政治
map.category.attack,攻擊
map.category.marriage,婚姻
map.category.trade,貿易
map.abandoned_town,廢棄城鎮
map.marriage_female,待嫁的新娘
map.marriage_male,待娶的新郎
map.loan,貸款
map.king_tribute,威脅劫掠
map.king_tribute_light,禮貌索取貢金
map.demand_tribute,禮貌索取貢金
map.assault_fair,掠奪城邦
map.assault_unfair,掠奪城邦
map.city_burn_ai,威脅滅國
map.demand_peace,提議簽署和平條約
map.declared_peace_broken,和平條約瓦解了
map.trade_agreement_broken,貿易協議中止了
map.declared_peace,和平協議
map.demand_defence_alliance_to_player,提議結盟
map.declared_defence_alliance,自由城邦聯盟
map.demand_defence_ally_army,索求協助
map.demand_vassal_waiting,等候回覆
map.demand_vassal_attack_waiting,等候攻擊
map.demand_vassal_light_player,要求成為附庸
map.demand_vassal_player,要求成為附庸
map.help_against_faceless,馳援抵抗孽惡部族
map.demand_kill_own_bandits_camp,要求剿滅劫匪
map.conquest,恢復附庸關係
map.king_attack,威脅圍城
map.demand_attack,威脅圍城
map.slaves_offer,販售囚犯
map.trade_offer,貿易提案
map.trade_request,貿易請求
map.village,村莊
map.village_neighbore,鄰邦君王的村莊
map.village.short,小型聚落，無法交易，也沒有鐵或高級工具。
map.burned_village,燒毀的村莊
map.burned_village.short,遭到掠奪，只剩一片廢墟的村莊。過陣子後，逃進附近森林的原居民會回來重建村莊，但目前這裡一個人都沒有。
map.protect,侵襲威脅
map.protect.short,有劫匪在村莊附近集結。
map.tribute,貢品
map.tribute.short,- 該村莊已經打包好作物，準備進貢給你了。
map.mill,磨坊改良
map.mill.short,村長打算改良村裡的磨坊。
map.hungry,飢荒
map.hungry.short,村莊今年農稼歉收，極需糧食。
map.sick,瘟疫肆虐
map.sick.short,傳染病爆發，極需藥品。
map.meat,新豬圈
map.meat.short,村民想請你幫忙蓋個新豬圈。
map.bandits_camp,林中劫匪營地
map.bandits_camp.short,由林中劫匪所盤踞，偶爾會騷擾你的領地。
map.bandits_hostage,俘虜：{lord_name}
map.bandits_hostage.short,有貴族遭到俘虜，勒索你付贖金。
map.wolfes,附近有食肉狼
map.wolfes.short,有一群食肉狼盤踞在通往你領地的路上。不過，牠們可能很快就會自己離開。
map.slaves,逃亡囚犯群
map.slaves.short,你的城鎮附近有一群從{city_name}出逃的囚犯。
map.fanatics,朝聖團
map.fanatics.short,有一群苦行朝聖者想索討糧食。
map.theif,在逃竊賊
map.theif.short,附近有一名曾在{city_name}鎮犯案的竊賊出沒。
map.lord_in_run,在逃貴族
map.lord_in_run.short,一名來自{house_name_1}的貴族逃離了{house_name_2}的囚禁。追兵即將抵達。
map.lord_in_run_2,在逃貴族
maplord_in_run_2.short,一名來自{house_name_1}的貴族正遭到劫匪追捕。其護衛已所剩無幾。
map.lord_in_run_3,在逃貴族
map.lord_in_run_3.short,一名來自{house_name_1}的貴族決定離開家鄉，尋求庇護。
map.lovers_in_run,
map.lovers_in_run.short,兩位出身自不同王室的少年陷入熱戀後私奔了。
map.caravan,受保護的商隊
map.caravan.short,一支{house_name_1}的商隊正帶著囚犯和商品前往{city_name_2}。
map.dispute,
map.dispute.short,兩支王室正為一座村莊的歸屬權吵得不可開交。你可以自行選邊站。
map.bride,有新娘正在等待提親。
map.bride.short,{soul_uuid_bride}已達適婚年齡，君王正在替她物色適合的丈夫。
map.groom,有新郎正在等待提親。
map.groom.short,{soul_uuid_groom}已達適婚年齡，君王正在替他物色適合的妻子。
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,描述
map.menu.quest.details,詳情
map.menu.quest.consequences,可能的結果
map.menu.quest.reward,可能的獎勵
map.menu.quest.reward_or,或
map.menu.status.days_left,剩餘 {remain_days} 天
map.menu.modal.result.success,成功！
map.menu.modal.result.fail,失敗！
map.menu.modal.ok,確定
map.menu.status.timeless,無限期
map.menu.status.go_home,返家中
map.menu.quest.ignore,忽視中
map.menu.quest.waiting,等待中
map.menu.quest.time_over,合約已到期
map.menu.quest.tragic,悲劇事故
map.menu.quest.bad_opinion,關係不佳
map.menu.quest.hostage_rescue,拯救俘虜
map.menu.button.create_army,新建軍隊
map.menu.button.send_army,派遣軍隊
map.menu.prepare_to_battle.header,於{place}開戰
map.menu.prepare_to_battle.in_town,{town_name}的城門
map.menu.prepare_to_battle.near_town,{town_name}附近
map.menu.prepare_to_battle.battle_begin,開戰了！
map.menu.town.guest_lords,貴族賓客
map.menu.town.information,詳情
map.menu.town.economic,經濟
map.menu.town.army,軍事
map.menu.army_composition,軍隊組成
map.menu.town.local_lords,貴族
map.menu.town.ruling_family,當權王室
map.menu.town.status.hostile,敵對
map.menu.town.status.friendly,友善
map.menu.town.status.neutral,中立
map.menu.town.status.independent,獨立
map.menu.town.status.vassal,附庸
map.menu.town.status.suzerain,宗主
map.menu.town.relations,關係
map.menu.messenger,信使
map.army,軍事
map.declared_trade_agreement,貿易協議
map.forcing_neutrality,脅迫中立
map.personal_conflict,鄰邦衝突
map.help_against_bandits,馳援抵抗林中劫匪
map.help_against_mountains_bandits,馳援抵抗盜匪團
map.neutralization_order,鎮壓命令
map.menu.town.status.ally,同盟
map.menu.town.status.alliance_leader,同盟領袖
map.stolen_rings_offer,失竊的聖戒
map.holy_defence_was_removed,"<red>神愛之家撤回了庇佑！</red>
 
 既然你如此喜歡逞凶鬥狠，想來並不需要<hint=hint_holy_protection>神愛之家的庇佑</hint>。"
map.holy_defence_will_be_removed,<hint=hint_holy_protection>神愛之家的庇佑</hint>即將被撤回！
map.trade.offer.alias,城鎮販售：{resource_name}
map.trade.request.alias,城鎮購買：{resource_name}
map.menu.town.king_family,王室家族
map.menu.town.guests,賓客
map.menu.town.faction_lords,{town}的貴族
map.menu.town.vassal_of,宗主：
map.menu.town.ally_of,盟友：
map.player_vassal_rebellion,叛亂附庸
product_change_price.rats_invasion,<hint=hint_prophecy_rats_invasion>鼠患</hint>使價格上漲了 <red>{price_factor}%</red>。
product_change_price.tree_bug,<hint=hint_prophecy_tree_bug>蛀木蟲害</hint>使價格上漲了 <red>{price_factor}%</red>。
product_change_price.fields_sick,<hint=hint_prophecy_fields_sick_one>農作物病蟲害</hint>使價格上漲了 <red>{price_factor}%</red>。
map.universal_help.danger_army,<center>侵略方的軍隊：</center>
map.appoint.estimated_time,事項完成預估時間：{estimated_time}
map.appoint.estimated_time_army,這條道路需要 {estimated_time}
map.appoint.tasks,行動
map.category.improve_relations,正在改善關係
map.guest.remain_stay_time,"<tight><center><b>此人物已離開城鎮</b></center>。
 
 </tight>此人物目前為{faction_uuid}城鎮的賓客。
 
 預計於 {remain_time} 後返家"
map.your_province,你的省邦
map.burn_town_waiting,準備毀滅城鎮
map.last_female_in_faction,你只剩下最後一位未婚女性
map.defence_alliance_leaving_ai,與盟友發生衝突
map.defence_alliance_leaving_player,與聯盟領袖發生衝突
product_change_price.temporary,價格暫時增加 <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator}當眾讓{name_target}難堪
actor.deep_social_alias.abuse_2,{name_initiator}咒罵了{name_target}
actor.deep_social_alias.abuse_3,{name_initiator}數落了{name_target}一番
actor.deep_social_alias.abuse_4,{name_initiator}在{name_target}身上擦鞋
actor.deep_social_alias.abuse_5,{name_initiator}故意害{name_target}在泥濘裡跌了一跤
actor.deep_social_alias.abuse_6,{name_initiator}對{name_target}精神霸凌
actor.deep_social_alias.abuse_7,{name_initiator}叫{name_target}閉嘴
actor.deep_social_alias.deep_talk_1,{name_initiator}恭維了{name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator}與{name_target}談了心
actor.deep_social_alias.deep_talk_3,{name_initiator}撫慰了{name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator}對{name_target}加油打氣
actor.deep_social_alias.deep_talk_5,{name_initiator}向{name_target}表示謝意
actor.deep_social_alias.deep_talk_6,{name_initiator}由衷稱讚{name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator}對{name_target}的貢獻致謝
actor.deep_social_alias.evil_joke_1,{name_initiator}嘲笑了{name_target}一番
actor.deep_social_alias.evil_joke_2,{name_initiator}讓{name_target}當眾出糗
actor.deep_social_alias.evil_joke_3,{name_initiator}調侃了{name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator}揶揄了{name_target}一番
actor.deep_social_alias.evil_joke_5,{name_initiator}故意模仿{name_target}的蠢樣
actor.deep_social_alias.evil_joke_6,{name_initiator}酸溜溜地挖苦{name_target}
actor.deep_social_alias.flattery_1,{name_initiator}出言討好{name_target}
actor.deep_social_alias.flattery_2,{name_initiator}拍了{name_target}的馬屁
actor.deep_social_alias.flattery_3,{name_initiator}努力巴結{name_target}
actor.deep_social_alias.flattery_4,{name_initiator}曲意逢迎了{name_target}
actor.deep_social_alias.flattery_5,{name_initiator}假惺惺地奉承{name_target}
actor.deep_social_alias.flattery_6,{name_initiator}出言奉承了{name_target}
actor.deep_social_alias.flattery_7,{name_initiator}吹捧得{name_target}飄飄然
actor.deep_social_alias.good_joke_1,{name_initiator}幽了{name_target}一默
actor.deep_social_alias.good_joke_2,{name_initiator}跟{name_target}講了一個新笑話
actor.deep_social_alias.good_joke_3,{name_initiator}和{name_target}一起捧腹大笑
actor.deep_social_alias.good_joke_4,{name_initiator}向{name_target}分享了一件趣事
actor.deep_social_alias.good_joke_5,{name_initiator}表演搞笑逗樂{name_target}
actor.deep_social_alias.intrigue_1,{name_initiator}跟{name_target}說了個八卦
actor.deep_social_alias.intrigue_2,{name_initiator}向{name_target}拆穿了真相
actor.deep_social_alias.intrigue_3,{name_initiator}說{name_target}擔心的事都是真的
actor.deep_social_alias.intrigue_4,{name_initiator}跟{name_target}說了一個祕聞
actor.deep_social_alias.intrigue_5,{name_initiator}讓{name_target}長了見識
actor.deep_social_alias.intrigue_6,{name_initiator}向{name_target}揭露了內幕
actor.deep_social_alias.intrigue_7,{name_initiator}向{name_target}暗示另有隱情
actor.deep_social_alias.slight_1,{name_initiator}毫不搭理{name_target}
actor.deep_social_alias.slight_2,{name_initiator}對{name_target}不理不睬
actor.deep_social_alias.slight_3,{name_initiator}讓{name_target}自討沒趣
actor.deep_social_alias.slight_4,{name_initiator}假裝沒聽見{name_target}說話
actor.deep_social_alias.sorry_1,{name_initiator}向{name_target}道了歉
actor.deep_social_alias.bye_1,{name_initiator}離去前向{name_target}說了再見
actor.deep_social_alias.bye_2,{name_initiator}向{name_target}保證自己很快會再來
actor.deep_social_alias.bye_3,{name_target}祝{name_initiator}旅途平安
actor.deep_social_alias.flirt_1,{name_initiator}企圖勾引{name_target}
actor.deep_social_alias.flirt_2,{name_initiator}正在邀請{name_target}約會
actor.deep_social_alias.flirt_3,{name_initiator}正在和{name_target}大搞曖昧
actor.deep_social_alias.flirt_4,{name_initiator}答應要和{name_target}共度良宵
opinion_mind_interest.hint_title,興趣：{interest}
opinion_mind_interest.zodiak_signs,體味
opinion_mind_interest.beauty,外貌
opinion_mind_interest.age,青春魅力
opinion_mind_interest.drank,酒精影響
opinion_mind_interest.love,愛戀
opinion_mind_interest.religious_fan,信仰歧異
opinion_mind_interest.scars,疤痕
opinion_mind_interest.ugly,毀容
opinion_mind_interest.romantic,性慾高漲
opinion_mind_interest.opinion,關係
opinion_mind_interest.manners,禮儀差異
opinion_mind_interest.guest,賓客
opinion_mind_interest.has_paramour,對伴侶的愛戀
opinion_mind_rumor_prefix,傳言：{rumor}
opinion_mind.abuse,侮辱我
opinion_mind.abuse_paramour,辱罵了伴侶
opinion_mind.adultery,不知道我出軌了
opinion_mind.blinded_relative,弄瞎了我的至親
opinion_mind.bribe_me,賄賂了我
opinion_mind.chitchat,閒聊
opinion_mind.close_relative,親人
opinion_mind.convicted_of_adultery,伴侶不忠
opinion_mind.coward,懦夫
opinion_mind.criminal,涉嫌犯罪
opinion_mind.deep_talk,彼此深談
opinion_mind.drunk_fight,酒後鬥毆
opinion_mind.beat_me,對我動粗
opinion_mind.envy_happy,太得意了！
opinion_mind.envy_runes,嫉妒聖戒多
opinion_mind.envy_for_babys,嫉妒有兒女
opinion_mind.envy_for_victory,嫉妒勝利
opinion_mind.evil_joke,嘲笑了我
opinion_mind.ex_paramour,舊愛
opinion_mind.executed_relative,處死了我的至親
opinion_mind.punished_me,處罰了我
opinion_mind.flattery,出言討好我
opinion_mind.flirt,約會快到了
opinion_mind.game_of_dice_loose,賭骰子贏我！
opinion_mind.gift,送我禮物
opinion_mind.good_commander,傑出指揮官
opinion_mind.good_joke,一起捧腹大笑
opinion_mind.king_gift,賞賜了我
opinion_mind.heir_envy,渴望王位
opinion_mind.hunt_together,一起打獵
opinion_mind.intrigue,醜聞
opinion_mind.sorry,道了歉
opinion_mind.jealousy,死對頭！
opinion_mind.love,我滿腦子都是他！
opinion_mind.negative_rumor_1,半夜吃東西
opinion_mind.negative_rumor_10,打算遠走高飛
opinion_mind.negative_rumor_11,有性病
opinion_mind.negative_rumor_12,會尿床
opinion_mind.negative_rumor_13,愛囤垃圾
opinion_mind.negative_rumor_14,假信徒
opinion_mind.negative_rumor_15,喜歡睡在門墊上
opinion_mind.negative_rumor_16,有縱火癖
opinion_mind.negative_rumor_17,不愛洗澡
opinion_mind.negative_rumor_18,愛吃廚餘
opinion_mind.negative_rumor_19,半夜會裸奔
opinion_mind.negative_rumor_2,愛挖鼻孔
opinion_mind.negative_rumor_20,被惡靈附身
opinion_mind.negative_rumor_21,會膜拜樹樁
opinion_mind.negative_rumor_22,性無能
opinion_mind.negative_rumor_23,愛抓腋下
opinion_mind.negative_rumor_24,會吃昆蟲
opinion_mind.negative_rumor_25,半夜會尖叫
opinion_mind.negative_rumor_3,喜歡偷窺僕人
opinion_mind.negative_rumor_4,喜歡放屁
opinion_mind.negative_rumor_6,經常酗酒
opinion_mind.negative_rumor_7,愛說人壞話
opinion_mind.negative_rumor_8,會偷餐具
opinion_mind.negative_rumor_9,開始禿頭
opinion_mind.night_murder,殺人兇手
opinion_mind.other_relatives,其他親屬
opinion_mind.paramour,靈魂伴侶
opinion_mind.paranoid_hate,偏執仇恨
opinion_mind.personality_arrogant,鄙視窮人
opinion_mind.personality_contradictory_hate,莫名的仇恨
opinion_mind.personality_contradictory_love,莫名的愛戀
opinion_mind.personality_mismatch,個性不討喜
opinion_mind.personality_mismatch_heavy,個性極度不討喜
opinion_mind.positive_rumor_1,私底下會寫詩
opinion_mind.positive_rumor_10,私底下很浪漫
opinion_mind.positive_rumor_11,過往有遺憾
opinion_mind.positive_rumor_12,看得見亡靈
opinion_mind.positive_rumor_13,病入膏肓
opinion_mind.positive_rumor_15,喜歡小孩
opinion_mind.positive_rumor_16,有養寵物鼠
opinion_mind.positive_rumor_17,有催眠能力
opinion_mind.positive_rumor_18,有秘密戀情
opinion_mind.positive_rumor_2,做愛很溫柔
opinion_mind.positive_rumor_3,隱性憂鬱症
opinion_mind.positive_rumor_4,飽受內疚折磨
opinion_mind.positive_rumor_5,愛種花
opinion_mind.positive_rumor_6,夢想是飛上天
opinion_mind.positive_rumor_7,喜歡收集皮帶頭
opinion_mind.positive_rumor_8,私下會幫助生病的人
opinion_mind.positive_rumor_9,一夜七次郎
opinion_mind.pretender_envy,嫉妒王儲
opinion_mind.refuse_flirt,拒絕約會
opinion_mind.refuse_flirt_full,竟敢拒絕我！
opinion_mind.reward_me,賞賜了我
opinion_mind.sex,共度了良宵
opinion_mind.shame_relative,藐視我的至親
opinion_mind.slight,瞧不起我
opinion_mind.spouse,配偶
opinion_mind.suspicion_of_adultery,懷疑通姦
opinion_mind.try_to_kill_me,他想殺了我！
opinion_mind.manners_good,舉止得體
opinion_mind.manners_too_high,太過拘謹
opinion_mind.manners_too_low,舉止庸俗
opinion_mind.pregnancy_father,孩子的父親
opinion_mind.pregnancy_mother,孩子的母親
opinion_mind.dummy_bastard,庶民的私生子
opinion_mind.lord_bastard,貴族的私生子
opinion_mind.child,我的孩子
opinion_mind.parent,我的父母
opinion_mind.rescued_from_captivity,解救了被俘的我！
opinion_mind.speeping_with_my_partner,和我的伴侶有一腿！
opinion_mind.uncle,叔叔/阿姨
opinion_mind.nephew,姪甥/姪甥女
opinion_mind.brother,兄/弟/姊/妹
opinion_mind.related_marriage,姻親
opinion_mind.returned_debt,償還了債務
opinion_mind.not_returned_debt,辜負了我的信任
opinion_mind.not_returned_debt_neighbor,未償還債務給鄰邦
opinion_mind.player_paid_tribute,向我進貢了
opinion_mind.player_refuse_to_pay,拒絕進貢
opinion_mind.king_demand_pay,逼我進貢
opinion_mind.attacked_me,攻擊了我
opinion_mind.attack_neighbors,攻擊鄰邦
opinion_mind.attack_traity,侵略我
opinion_mind.attack_traity_neighbors,侵略鄰邦
opinion_mind.attack_coward,失約沒來決鬥
opinion_mind.vassal,我的附庸
opinion_mind.senior,我的宗主
opinion_mind.vassal_duty_did,履行了附庸義務
opinion_mind.betrayal,背叛了我
opinion_mind.betray_vassal_oath,違背了附庸的誓言
opinion_mind.king_bastard,私生子豈能稱王！
opinion_mind.king_woman,女人家豈能稱王！
opinion_mind.greetings_me,主動打了招呼
opinion_mind.loot_my_village,洗劫了我的村莊
opinion_mind.friend_of_bandits,和林中劫匪勾結
opinion_mind.enemy_of_bandits,擊潰了林中劫匪
opinion_mind.killed_wolves,宰了一群狼
opinion_mind.kicked_out,流放了我
opinion_mind.take_title,革除了我的爵位
opinion_mind.kicked_out_my_lord,流放了我的貴族
opinion_mind.discharge,關係和緩
opinion_mind.free_lord_terror,企圖殺害流浪貴族
opinion_mind.my_teacher,我的導師
opinion_mind.dictator_habits,有獨裁傾向
opinion_mind.threatened_me,威脅了我
opinion_mind.crime_criminal_not_punished,有罪犯逍遙法外
opinion_mind.friend_of_my_child,子女的朋友
opinion_mind.best_friend_of_my_child,子女最要好的朋友
opinion_mind.enemy_of_my_child,子女的敵人
opinion_mind.worst_enemy_of_my_child,子女的死敵
opinion_mind.friend_of_my_spouce,配偶的朋友
opinion_mind.best_friend_of_my_spouce,配偶最要好的朋友
opinion_mind.enemy_of_my_spouce,配偶的敵人
opinion_mind.worst_enemy_of_my_spouce,配偶的死敵
opinion_mind.sex_with_other,愛人和別人有一腿
opinion_mind.caring_parent,愛我的父母
opinion_mind.good_child,乖巧的子女
opinion_mind.start_friend,老朋友
opinion_mind.start_sympathy,志同道合
opinion_mind.start_dislike,看不順眼
opinion_mind.start_enemy,勢不兩立
opinion_mind.too_smart,太聰明
opinion_mind.sinner,罪人（狂熱主義）
opinion_mind.was_punished,受到責罰
opinion_mind.trade_with_enemy,與敵國貿易
opinion_mind.dont_kill_bandits,未剿滅劫匪
opinion_mind.kill_not_own_bandits,干涉他國內政
opinion_mind.killed_my_friend,殺了我的朋友
opinion_mind.killed_my_enemy,殺了我的敵人
opinion_mind.first_night_together,共度了初夜
opinion_mind.loot_vassal_village,洗劫了附庸的村莊
opinion_mind.trade_with_me,交易成功了
opinion_mind.victorious_generosity,勝者的寬容
opinion_mind.knocked_up_my_daughter,讓我女兒懷孕了
opinion_mind.rebelled_against_kin,起義反抗自己的君王
opinion_mind.traitors_slander,叛徒的誹謗
opinion_mind.not_control_own_bandits,未遏制自己的劫匪
opinion_mind.unholly_hospitality,違反崇高的待客之道
opinion_mind.demand_vassalage_to_me,要求我臣服於他
opinion_mind.mind_kidnaper,綁匪
opinion_mind.mind_kidnaper_neighbore,綁架了鄰邦的貴族
opinion_mind.mind_assassinate,派了刺客
opinion_mind.mind_assassinate_neighbore,派刺客前往鄰邦
opinion_mind.dead_captive,人質已死
opinion_mind.captive_hold,劫持了人質
opinion_mind.release_captive,釋放了人質
opinion_mind.captive_terror,虐待人質
opinion_mind.lord_rebellion_support_heir_to_heir,支持政變
opinion_mind.lord_rebellion_support_king_to_heir,不支持政變
opinion_mind.lord_rebellion_support_heir_to_king,不支持合法王權
opinion_mind.lord_rebellion_support_king_to_king,支持合法王權
opinion_mind.poaching_my_lords,挖走我的貴族
opinion_mind.betrayed_home,背叛自己的家園
opinion_mind.book_stealer,偷竊了書籍
opinion_mind.gold_stealer,犯了搶案
opinion_mind.refuse_light_vassals,拒絕成為附庸
opinion_mind.showed_weakness,表現軟弱
opinion_mind.guest_death_for_owners,家人身亡的嫌疑
opinion_mind.guest_death_for_opponents,外賓身亡的嫌疑
opinion_mind.faceless,孽惡部族
opinion_mind.not_faceless,不是孽惡部族
opinion_mind.hate_males,厭男
opinion_mind.hate_females,厭女
opinion_mind.blissful,備受寵愛
opinion_mind.saint,聖人
opinion_mind.drug_addict,成癮者
opinion_mind.coward,懦夫
opinion_mind.help_against_facelesse,共抗孽惡部族
opinion_mind.tried_to_poison,下毒未遂
opinion_mind.tried_to_poison_my_member,對我的貴族下毒未遂
opinion_mind.greedy,貪婪
opinion_mind.king_role_weaker_than_me,比我弱小（凱登族）
opinion_mind.king_role_stronger_than_me,比我強壯（凱登族）
opinion_mind.king_role_poorer_than_me,比我窮（瑪哈族）
opinion_mind.king_role_reacher_than_me,比我有錢（瑪哈族）
opinion_mind.king_role_agnostic,懷疑論者（塔納雅族）
opinion_mind.king_role_fanatic,狂熱信徒（塔納雅族）
opinion_mind.king_role_bandit_torelate,姑息劫匪（凱登族）
opinion_mind.king_role_fight_with_bandit,討伐劫匪（凱登族）
opinion_mind.king_role_many_slaves,囚犯眾多（瓦恩族）
opinion_mind.king_role_no_slaves,沒有囚犯（瓦恩族）
opinion_mind.king_role_vassal,附庸（瓦恩族）
opinion_mind.king_role_suzerain,宗主（瓦恩族）
opinion_mind.king_role_dumber_than_me,比我笨（瑪哈族）
opinion_mind.king_role_smarter_than_me,比我聰明（瑪哈族）
opinion_mind.women_king,女人當權
opinion_mind.disinherited_me,剝奪了我的繼承權
opinion_mind.illigal_heir,不合法統的繼承人
opinion_mind.few_fanatics,狂熱信徒太少
opinion_mind.few_churchs,教堂不足
opinion_mind.enough_fanatics,狂熱信徒眾多
opinion_mind.enough_churchs,教堂充足
opinion_mind.blissful,備受寵愛
opinion_mind.provoke_duel,挑釁決鬥
opinion_mind.provoke_duel_neighbore,挑釁鄰邦決鬥
opinion_mind.declare_peace,和平條約
opinion_mind.trade_agreement,貿易協議
opinion_mind.cruel_ruler,背信棄義的君王
opinion_mind.bishop_frogivness,獲得寬恕
opinion_mind.enemy_of_bandits_bishop,搗滅了劫匪營地
opinion_mind.pitty,憐憫
opinion_mind.help_in_rescue,伸出援手
opinion_mind.lord_lowborn,出身低微
opinion_mind.matriarch_fanatic_mind,狂熱信徒人數 ({percent})
opinion_mind.friend_lost_title,褫奪了我朋友的爵位
opinion_mind.bishop_opinion,主教的印象
opinion_mind.defence_alliance_lost_soldier,援軍士兵折損
opinion_mind.defence_alliance_lost_lord,援軍指揮官殉職
opinion_mind.defence_alliance_broken,聯盟破裂
opinion_mind.defence_alliance,與我同盟
opinion_mind.defence_alliance_send_army,信守盟約
opinion_mind.defence_alliance_broken_neighbore,背棄盟友
opinion_mind.new_bishop,新主教
opinion_mind.enemy_of_my_ally,盟友的敵人
opinion_mind.ally_of_my_enemy,敵人的盟友
opinion_mind.same_culture,相同文化
opinion_mind.xenophobic_culture,世仇文化
opinion_mind.slander_to_other_king,與另一位君王有過節
opinion_mind.slander_from_other_king,受到誹謗
opinion_mind.help_in_vassal_riot_to_vassal,協助爭取獨立
opinion_mind.help_in_vassal_riot_to_sir,協助附庸叛變
opinion_mind.help_in_lords_family_attack_to_victim,協助保衛城邦
opinion_mind.help_in_lords_family_attack_to_attacker,協助反抗我們的攻擊
opinion_mind.help_in_lords_family_destroy_to_victim,救助城鎮免遭摧毀
opinion_mind.help_in_lords_family_destroy_to_attacker,救助城鎮免遭摧毀
opinion_mind.help_in_mountais_bandits_attack,協助摧毀盜匪團
opinion_mind.helped_tanaya_king,協助了塔納雅君王
opinion_mind.helped_makha_king,協助了瑪哈君王
opinion_mind.rival_for_power,權力的競爭對手
opinion_mind.crown_desire,覬覦王位
opinion_mind.bishop_to_fanatic,狂熱信徒
opinion_mind.bishop_to_agnostic,懷疑論者
opinion_mind.transfered_king,讓出了王位
opinion_mind.distrust,不信任
opinion_mind.try_to_vassal_my_vassal,想征服我的附庸
opinion_mind.contempt_of_genius,任何君王都比不過我！
opinion_mind.force_neutrality_my_ally,強迫我與盟友斷絕關係
opinion_mind.force_neutrality_my_vassal,強迫我與附庸斷絕關係
opinion_mind.force_neutrality_me,強迫我保持中立
opinion_mind.force_neutrality_to_leader,違反了協約
opinion_mind.competitor_for_influence,權勢的競爭對手
opinion_mind.ally_was_attacked,攻擊了我的盟友
opinion_mind.vassal_was_attacked,攻擊了我的附庸
opinion_mind.spouses_opinion_about_king,配偶的印象
opinion_mind.sir_of_my_enemy,敵人的宗主
opinion_mind.ally_of_my_enemy,敵人的盟友
opinion_mind.bishop_is_dead,主教身亡的嫌疑
opinion_mind.purification_by_fire,受大火滌淨
opinion_mind.personal_conflict_ignore,害怕捲入衝突
opinion_mind.personal_conflict_support_me,在衝突中支持我
opinion_mind.personal_conflict_support_enemy,在衝突中支持我的敵人
opinion_mind.betray_sir_oath,違背了宗主的誓言
opinion_mind.lord_neutralised,幫忙擺脫了麻煩的貴族
opinion_mind.apostate,叛教
opinion_mind.purchase_stolen_rings,買下了我被偷的聖戒！
