Key,Polska
letter.emperor,"Z żalem przyjmujemy wiadomość o tym, iż zamierzasz zburzyć święty porządek świata ustanowiony przez samą Świętą Zofię. Twa duma sprowadziła Cię na manowce. Czas rozmów dobiegł końca. Surowy Ojciec i jego Inkwizytorzy przygotowują wyprawę na Twoje włości. Niech Święta Zofia Ci przebaczy!"
letter.start.matriarch,Drogie dziecko!
letter.tax_increase,"Serca całego Kochającego Rodu cieszą się na wieści o Twym sukcesie politycznym. Jeszcze niedawno Twa dynastia pieliła chwasty z pól brukwiowych, a teraz stoisz na czele własnego państwa i dyktujesz warunki swym sąsiadom! Z tego tytułu jesteśmy pewni, że nieznaczne zwiększenie podatku od Twoich wojowników nie będzie dla Ciebie wielkim ciężarem!"
letter.army_tax_increase_footer,"Kochający Ród uważa, że Twoje zapędy polityczne i coraz większe wpływy oznaczają, iż można od Ciebie wymagać większego zaangażowania w bezpieczeństwo traktów.

Kościół zwiększa podatek od wojowników, który teraz będzie wynosić {new_tax} za każdy punkt umiejętności bojowych każdego wojownika (poprzednio: {old_tax})."
faction.player_village,Chłopi
faction.faceless,Horda Przeklętych
faction.forest_bandits,Leśni bandyci
faction.mercenaries,Najemnicy
faction.wolves,Żerwilki
faction.inquisition,Inkwizycja
faction.traders,Święta Karawana
faction.traders_slaves,Jeńcy Świętej Karawany
faction.free_lords,Wolni lordowie
faction.holy_synod,Kochający Ród
faction.rebellious_zealots,Zbuntowani fanatycy
faction.rebellious_slaves,Zbuntowani jeńcy
faction.rebellious_soldiers,Zbuntowani wojownicy
faction.rebellious_heir,Separatyści
faction.mountain_bandits,Maruderzy
faction.hired_bandits,Najęci bandyci
faction.abandoned,Opuszczona osada
faction.low_loyalty,Renegaci
faction.name.0,Srebrna Przystań
faction.name.1,Dolina Pyłu
faction.name.2,Wichrogórze
faction.name.3,Gwiazdonurt
faction.name.4,Księżycowa Tafla
faction.name.5,Iskrograd
faction.name.6,Blaskryształ
faction.name.7,Gwiazdolesie
faction.name.8,Czarownia
faction.name.9,Drzewięcin
faction.name.10,Księżyców
faction.name.11,Wielkomgła
faction.name.12,Jasnostok
faction.name.13,Mgłowo
faction.name.14,Złotomir
faction.name.15,Iskierkin
faction.name.16,Jeziorograd
faction.name.17,Smokoróg
faction.name.18,Zielony Wierch
faction.name.19,Zmierzchowisko
faction.name.20,Krysztalia
faction.name.21,Cudowierze
faction.name.22,Mrozodwór
faction.name.23,Zwierzyniec
faction.name.24,Falotarg
faction.name.25,Gąszcze
faction.name.26,Bajkojar
faction.name.27,Lodowa Szczelina
faction.name.28,Mrokolas
faction.name.29,Lustrzany Staw
faction.name.30,Twierdza Mroku
faction.name.31,Wodospad Snów
faction.name.32,Szmaragdogóra
faction.name.33,Złoty Przestwór
faction.name.34,Srebrostruga
faction.name.35,Zaginione Miasto
faction.name.36,Grzmotoszczyt
faction.name.37,Kurzawka
faction.name.38,Żywa Dolina
faction.name.39,Bursztynowy Świt
faction.name.40,Kryształowa Jama
faction.name.41,Szmaragdzina
faction.name.42,Gwiezdny Gaj
faction.name.43,Blaskowisko
faction.name.44,Złoty Przestwór
faction.name.45,Jasnogród
faction.name.46,Wiatrogoń
faction.name.47,Gwiazdodom
faction.name.48,Łunogród
faction.name.49,Cieniowód
faction.name.50,Iskrocień
faction.name.51,Drzewięcin
faction.name.52,Lśniowądół
faction.name.53,Podziemie
faction.name.54,Czaroskraj
faction.name.55,Blaskryształ
faction.name.56,Dawnyfort
faction.name.57,Pylicz
faction.name.58,Marzeniec
faction.name.59,Mroziglica
faction.name.60,Wielkomgła
faction.name.61,Zwierzostoja
faction.name.62,Zapomnienie
faction.name.63,Zarwał
faction.name.64,Wietrzna Polana
faction.name.65,Czarna Pieczara
faction.name.66,Lodobystrze
faction.name.67,Urokogród
faction.name.68,Cichy Brzeg
faction.name.69,Gęstwina
faction.name.70,Lśniblask
faction.name.71,Żywa Oaza
faction.name.72,Słoneczny Zakątek
faction.name.73,Mglisty Ruczaj
faction.name.74,Zaginiona Straż
faction.name.75,Złotogrzbiet
faction.deserted_soldiers,Dezerterzy
faction.player_untitled,Lordowie szlachty niższej
0map.appoint.sub_category.others,Inne
9map.appoint.sub_category.expansion,Ekspansja
8map.appoint.sub_category.others,Inne
product_change_price.neighbore_town_attacked,Z powodu napaści na miasto {faction_uuid_town} cena wzrosła o <red>{price_factor}%</red>.
no_defence_allies,Brak sojuszników
map.category.lords,Lordowie
map.hostage_player,Wykup zakładnika
map.lord_low_loyalty,Lord jest gotowy do odejścia
map.lord_rebellion.nobody_support,Brak
map.lord_rebellion_heir,Bunt spadkobiercy
map.lord_rebellion_king,Ochrona przed buntem
map.hire_bandits,Najem bandytów
map.solders_gift,Oferta pomocy
map.appoint.events,Wydarzenia
map.category.criminals,Zbrodnie
map.category.politics,Polityka
map.category.attack,Atak
map.category.marriage,Małżeństwo
map.category.trade,Handel
map.abandoned_town,Opuszczone miasto
map.marriage_female,Panna na wydaniu
map.marriage_male,Kawaler na wydaniu
map.loan,Pożyczka
map.king_tribute,Zagrożenie grabieży
map.king_tribute_light,Uprzejme żądanie daniny
map.demand_tribute,Uprzejme żądanie daniny
map.assault_fair,Plądrowanie miasta
map.assault_unfair,Plądrowanie miasta
map.city_burn_ai,Zagrożenie zniszczeniem
map.demand_peace,Propozycja traktatu pokojowego
map.declared_peace_broken,Zerwany traktat pokojowy
map.trade_agreement_broken,Zerwana umowa handlowa
map.declared_peace,Porozumienie pokojowe
map.demand_defence_alliance_to_player,Propozycja sojuszu
map.declared_defence_alliance,Sojusz wolnych miast
map.demand_defence_ally_army,Prośba o pomoc
map.demand_vassal_waiting,Oczekiwanie na odpowiedź
map.demand_vassal_attack_waiting,Oczekiwanie na atak
map.demand_vassal_light_player,Żądanie hołdu lennego
map.demand_vassal_player,Żądanie hołdu lennego
map.help_against_faceless,Wsparcie przeciwko Hordzie Przeklętych
map.demand_kill_own_bandits_camp,Żądanie eliminacji bandytów
map.conquest,Przywrócenie lenna
map.king_attack,Żądanie ataku
map.demand_attack,Żądanie ataku
map.slaves_offer,Sprzedaż jeńców
map.trade_offer,Oferta handlowa
map.trade_request,Prośba handlowa
map.village,Wioska
map.village_neighbore,Wioska sąsiadującego króla
map.village.short,"Niewielka osada bez dostępu do szlaków handlowych, żelaza i zaawansowanych narzędzi."
map.burned_village,Spalona wioska
map.burned_village.short,"Splądrowana i spalona wioska. Po jakimś czasie mieszkańcy, którzy skryli się w lasach, wrócą i odbudują osadę. Na razie jednak nikt tu nie mieszka."
map.protect,Zagrożenie atakiem
map.protect.short,W pobliżu wioski zbiera się grupa bandytów.
map.tribute,Danina
map.tribute.short,Wioska zebrała plony i jest gotowa przekazać swoją daninę.
map.mill,Ulepszenie młyna
map.mill.short,Starszy wioski zamierza ulepszyć młyn w wiosce.
map.hungry,Głód
map.hungry.short,Wioska miała słabe plony i potrzebuje żywności.
map.sick,Zaraza
map.sick.short,Epidemia zarazy. Pilna potrzeba lekarstw.
map.meat,Nowy chlew
map.meat.short,Mieszkańcy proszą o pomoc z budową chlewu.
map.bandits_camp,Obóz leśnych bandytów
map.bandits_camp.short,"Mieszkają tutaj leśni bandyci, którzy czasem atakują twoją osadę."
map.bandits_hostage,Zakładnik – {lord_name}
map.bandits_hostage.short,"Lord jest zakładnikiem bandytów, którzy żądają okupu."
map.wolfes,Żerwilki
map.wolfes.short,"Wataha żerwilków blokuje drogi do twojego miasta. Jednak możliwe, że wkrótce odejdzie."
map.slaves,Zbiegli jeńcy
map.slaves.short,"W pobliżu znajduje się grupa jeńców, która uciekła z miasta {city_name}."
map.fanatics,Biczownicy
map.fanatics.short,Niewielka grupa pielgrzymów-biczowników prosi o żywność.
map.theif,Zbiegły złodziej
map.theif.short,"W pobliżu dostrzeżono złodzieja, który niedawno kradł w mieście {city_name}."
map.lord_in_run,Zbiegły lord
map.lord_in_run.short,Lord z rodu {house_name_1} uciekł z niewoli rodu {house_name_2}. Pościg depcze mu po piętach.
map.lord_in_run_2,Zbiegły lord
maplord_in_run_2.short,Lorda z rodu {house_name_1} ścigają bandyci. Jego eskorta słabnie.
map.lord_in_run_3,Zbiegły lord
map.lord_in_run_3.short,Lord z frakcji {house_name_1} postanowił opuścić rodzinny dom i prosi o schronienie.
map.lovers_in_run,
map.lovers_in_run.short,Dwoje młodych ludzi z różnych rodów zakochało się w sobie i uciekło.
map.caravan,Chroniona karawana
map.caravan.short,"Karawana rodu {house_name_1}, przewożąca jeńców i towary, zmierza do miasta {city_name_2}."
map.dispute,
map.dispute.short,Dwa rody prowadzą zatarg o wioskę. Możesz wesprzeć jedną ze stron.
map.bride,Panna szuka małżonka
map.bride.short,{soul_uuid_bride} osiągnęła wiek ślubny i król szuka dla niej odpowiedniego partnera.
map.groom,Kawaler szuka małżonki
map.groom.short,{soul_uuid_groom} osiągnął wiek ślubny i król szuka dla niego odpowiedniej partnerki.
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,OPIS
map.menu.quest.details,Szczegóły
map.menu.quest.consequences,Potencjalne konsekwencje
map.menu.quest.reward,POTENCJALNA NAGRODA
map.menu.quest.reward_or,lub
map.menu.status.days_left,Pozostałe dni: {remain_days}
map.menu.modal.result.success,Sukces!
map.menu.modal.result.fail,Porażka!
map.menu.modal.ok,OK
map.menu.status.timeless,Bezterminowe
map.menu.status.go_home,Wraca do domu
map.menu.quest.ignore,Ignorowanie
map.menu.quest.waiting,Oczekiwanie
map.menu.quest.time_over,Porozumienie wygasło
map.menu.quest.tragic,Tragiczny wypadek
map.menu.quest.bad_opinion,Złe stosunki
map.menu.quest.hostage_rescue,Ratunek zakładnika
map.menu.button.create_army,Utwórz nowy oddział
map.menu.button.send_army,Wyślij
map.menu.prepare_to_battle.header,Bitwa ({place})
map.menu.prepare_to_battle.in_town,u bram miasta {town_name}
map.menu.prepare_to_battle.near_town,nieopodal miasta {town_name}
map.menu.prepare_to_battle.battle_begin,Rozpoczęła się bitwa
map.menu.town.guest_lords,Lordowie w gościach
map.menu.town.information,Informacja
map.menu.town.economic,Gospodarka
map.menu.town.army,Armia
map.menu.army_composition,Skład armii
map.menu.town.local_lords,Lordowie
map.menu.town.ruling_family,Ród u władzy
map.menu.town.status.hostile,Wrogi
map.menu.town.status.friendly,Przyjazny
map.menu.town.status.neutral,Neutralny
map.menu.town.status.independent,Niezależny
map.menu.town.status.vassal,Wasal
map.menu.town.status.suzerain,Senior
map.menu.town.relations,Stosunki
map.menu.messenger,Posłaniec
map.army,Armia
map.declared_trade_agreement,Umowa handlowa
map.forcing_neutrality,Wymuszona neutralność
map.personal_conflict,Konflikt między sąsiadami
map.help_against_bandits,Pomoc z bandytami
map.help_against_mountains_bandits,Pomoc z maruderami
map.neutralization_order,Rozkaz neutralizacji
map.menu.town.status.ally,W sojuszu
map.menu.town.status.alliance_leader,Przywódca sojuszu
map.stolen_rings_offer,Skradziono święte pierścienie
map.holy_defence_was_removed,"<red>Tracisz ochronę Kochającego Rodu!</red>

Agresywne działania oznaczają, że nie potrzebujesz już <hint=hint_holy_protection>ochrony Kochającego Rodu</hint>."
map.holy_defence_will_be_removed,Tracisz <hint=hint_holy_protection>ochronę Kochającego Rodu</hint>!
map.trade.offer.alias,Miasto sprzedaje: {resource_name}
map.trade.request.alias,Miasto kupuje: {resource_name}
map.menu.town.king_family,RODZINA KRÓLA
map.menu.town.guests,GOŚCIE
map.menu.town.faction_lords,LORDOWIE MIASTA {town}
map.menu.town.vassal_of,Wasal
map.menu.town.ally_of,Członek sojuszu
map.player_vassal_rebellion,Zbuntowany wasal
product_change_price.rats_invasion,Z powodu <hint=hint_prophecy_rats_invasion>inwazji szczurów</hint> cena wzrosła o <red>{price_factor}%</red>.
product_change_price.tree_bug,Z powodu <hint=hint_prophecy_tree_bug>plagi owadów</hint> cena wzrosła o <red>{price_factor}%</red>.
product_change_price.fields_sick,Z powodu <hint=hint_prophecy_fields_sick_one>choroby plonów</hint> cena wzrosła o <red>{price_factor}%</red>.
map.universal_help.danger_army,<center>Armia agresora:</center>
map.appoint.estimated_time,Szacowany czas do ukończenia zadania: {estimated_time}
map.appoint.estimated_time_army,Podróż będzie trwać {estimated_time}
map.appoint.tasks,Działania
map.category.improve_relations,Poprawa stosunków
map.guest.remain_stay_time,"<tight><center><b>Postać znajduje się poza miastem</b></center>.

</tight>Ta osoba jest obecnie gościem miasta {faction_uuid}.

Planuje powrót do domu za {remain_time}"
map.your_province,Twoja prowincja
map.burn_town_waiting,Przygotowuje się do spalenia miasta
map.last_female_in_faction,Ostatnia kobieta jest niezamężna
map.defence_alliance_leaving_ai,Konflikt z sojusznikiem
map.defence_alliance_leaving_player,Konflikt z przywódcą sojuszu
product_change_price.temporary,Tymczasowe zwiększenie ceny: <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} poniża {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} obraża {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} beszta {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} wyciera stopy o {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} spycha w błoto {name_target}
actor.deep_social_alias.abuse_6,{name_initiator} niszczy emocjonalnie {name_target}
actor.deep_social_alias.abuse_7,{name_initiator} ucisza {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} chwali {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} odbywa serdeczną rozmowę z {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} pociesza {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} rozwesela {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} dziękuje {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} komplementuje {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} docenia {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} szydzi z {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} robi durnia z {name_target}
actor.deep_social_alias.evil_joke_3,{name_initiator} drażni {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} wyśmiewa {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} parodiuje {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} z ironią wyraża się o {name_target}
actor.deep_social_alias.flattery_1,{name_initiator} schlebia {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} podlizuje się {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} przymila się do {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} płaszczy się przed {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} nieszczerze podziwia {name_target}
actor.deep_social_alias.flattery_6,{name_initiator} wychwala {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} sławi przymioty {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} prowadzi szermierkę słowną z {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} opowiada nowy dowcip {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} śmieje się wraz z {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} raczy anegdotą {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} parodią rozbawia {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} dzieli się plotkami z {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} ujawnia prawdę {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} potwierdza obawy {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} ujawnia tajemnicę {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} otwiera oczy {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} ujawnia sytuację {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} robi subtelną aluzję {name_target}
actor.deep_social_alias.slight_1,{name_initiator} lekceważy {name_target}
actor.deep_social_alias.slight_2,{name_initiator} ignoruje {name_target}
actor.deep_social_alias.slight_3,{name_initiator} okazuje pogardę {name_target}
actor.deep_social_alias.slight_4,"{name_initiator} udaje, że nie słyszy {name_target}"
actor.deep_social_alias.sorry_1,{name_initiator} przeprasza {name_target}
actor.deep_social_alias.bye_1,"{name_initiator} żegna się z {name_target} przed podróżą
"
actor.deep_social_alias.bye_2,"{name_initiator} obiecuje {name_target}, że wróci jak najprędzej"
actor.deep_social_alias.bye_3,{name_target} życzy {name_initiator} bezpiecznej podróży
actor.deep_social_alias.flirt_1,{name_initiator} próbuje uwieść {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} zaprasza {name_target} na schadzkę
actor.deep_social_alias.flirt_3,{name_initiator} niebezpiecznie flirtuje z {name_target}
actor.deep_social_alias.flirt_4,{name_initiator} obiecuję {name_target} upojną noc
opinion_mind_interest.hint_title,Zainteresowanie: {interest}
opinion_mind_interest.zodiak_signs,Zapach
opinion_mind_interest.beauty,Wygląd
opinion_mind_interest.age,Urok młodości
opinion_mind_interest.drank,Wpływ alkoholu
opinion_mind_interest.love,Kocha
opinion_mind_interest.religious_fan,Nieporozumienia religijne
opinion_mind_interest.scars,Blizny
opinion_mind_interest.ugly,Oszpecenie
opinion_mind_interest.romantic,Potrzeba seksu
opinion_mind_interest.opinion,Stosunki
opinion_mind_interest.manners,Różnica manier
opinion_mind_interest.guest,Gość
opinion_mind_interest.has_paramour,Uczucia wobec obecnego partnera
opinion_mind_rumor_prefix,Plotka: {rumor}
opinion_mind.abuse,Obrażono mnie
opinion_mind.abuse_paramour,Obrażono partnera
opinion_mind.adultery,Nie wie o mojej niewierności
opinion_mind.blinded_relative,Oślepienie bliskiej osoby
opinion_mind.bribe_me,Przekupstwo
opinion_mind.chitchat,Pogawędka
opinion_mind.close_relative,Bliskie pokrewieństwo
opinion_mind.convicted_of_adultery,Zdrada partnera
opinion_mind.coward,Tchórzostwo
opinion_mind.criminal,Udział w przestępstwach
opinion_mind.deep_talk,Odbyto głęboką rozmowę
opinion_mind.drunk_fight,Bójka po pijaku
opinion_mind.beat_me,Pobicie
opinion_mind.envy_happy,Zbytnie szczęście!
opinion_mind.envy_runes,Zazdrości pierścieni
opinion_mind.envy_for_babys,Zazdrości potomstwa
opinion_mind.envy_for_victory,Zazdrości zwycięstw
opinion_mind.evil_joke,Szydzono ze mnie!
opinion_mind.ex_paramour,Dawny partner
opinion_mind.executed_relative,Stracono ukochaną osobę
opinion_mind.punished_me,Ukaranie
opinion_mind.flattery,Pochlebstwo
opinion_mind.flirt,Niedługo ma schadzkę
opinion_mind.game_of_dice_loose,Wygrana ze mną w kości!
opinion_mind.gift,Dano mi prezent
opinion_mind.good_commander,Skuteczny dowódca
opinion_mind.good_joke,Razem się z czegoś uśmialiśmy
opinion_mind.king_gift,Dano mi królewski prezent
opinion_mind.heir_envy,Pragnienie tronu
opinion_mind.hunt_together,Wspólne polowanie
opinion_mind.intrigue,Brudne plotki
opinion_mind.sorry,Przeprosiny
opinion_mind.jealousy,Rywal!
opinion_mind.love,Kocham tę osobę!
opinion_mind.negative_rumor_1,Nocą się obżera
opinion_mind.negative_rumor_10,Chce odejść na zawsze
opinion_mind.negative_rumor_11,Cierpi na chorobę weneryczną
opinion_mind.negative_rumor_12,Moczy się przez sen
opinion_mind.negative_rumor_13,Zbiera śmieci
opinion_mind.negative_rumor_14,Skrywany ateizm
opinion_mind.negative_rumor_15,Sypia na wycieraczce pod drzwiami
opinion_mind.negative_rumor_16,Skrywana piromania
opinion_mind.negative_rumor_17,Rzadko się kąpie
opinion_mind.negative_rumor_18,Zawsze dojada resztki
opinion_mind.negative_rumor_19,Nocą spaceruje nago
opinion_mind.negative_rumor_2,Dłubie w nosie
opinion_mind.negative_rumor_20,Opętanie przez ducha
opinion_mind.negative_rumor_21,Wielbi pień
opinion_mind.negative_rumor_22,Nie może uprawiać seksu
opinion_mind.negative_rumor_23,Drapie się pod pachami
opinion_mind.negative_rumor_24,Jada owady
opinion_mind.negative_rumor_25,Krzyczy w nocy
opinion_mind.negative_rumor_3,Podgląda służbę
opinion_mind.negative_rumor_4,Puszcza bąki
opinion_mind.negative_rumor_6,Dużo pije
opinion_mind.negative_rumor_7,Obgaduje ludzi
opinion_mind.negative_rumor_8,Kradnie sztućce
opinion_mind.negative_rumor_9,Łysieje
opinion_mind.night_murder,Podły morderca
opinion_mind.other_relatives,Inni krewni
opinion_mind.paramour,Druga połówka
opinion_mind.paranoid_hate,Paranoiczna nienawiść
opinion_mind.personality_arrogant,Szydzi z biedy
opinion_mind.personality_contradictory_hate,Niewytłumaczalna nienawiść
opinion_mind.personality_contradictory_love,Niewytłumaczalna miłość
opinion_mind.personality_mismatch,Nieprzyjemna osobowość
opinion_mind.personality_mismatch_heavy,Ekstremalnie nieprzyjemna osobowość
opinion_mind.positive_rumor_1,Potajemnie pisze poezję
opinion_mind.positive_rumor_10,Potajemny romantyk
opinion_mind.positive_rumor_11,Żałuje przeszłości
opinion_mind.positive_rumor_12,Widzi duchy
opinion_mind.positive_rumor_13,Śmiertelna choroba
opinion_mind.positive_rumor_15,Uwielbia dzieci
opinion_mind.positive_rumor_16,Posiada udomowionego szczura
opinion_mind.positive_rumor_17,Potrafi hipnotyzować
opinion_mind.positive_rumor_18,Potajemna miłość
opinion_mind.positive_rumor_2,Wrażliwość w łóżku
opinion_mind.positive_rumor_3,Ukrywa depresję
opinion_mind.positive_rumor_4,Wyrzuty sumienia
opinion_mind.positive_rumor_5,Sadzi kwiaty
opinion_mind.positive_rumor_6,"Marzy, by nauczyć się latać"
opinion_mind.positive_rumor_7,Zbiera sprzączki od pasów
opinion_mind.positive_rumor_8,Potajemnie pomaga chorym
opinion_mind.positive_rumor_9,Może pięć razy w ciągu jednej nocy
opinion_mind.pretender_envy,Zazdrości spadkobiercy
opinion_mind.refuse_flirt,Nie zgadza się na schadzkę
opinion_mind.refuse_flirt_full,Odrzucono mnie! Jak śmie!
opinion_mind.reward_me,Nagrodzono mnie
opinion_mind.sex,Spędziliśmy razem noc!
opinion_mind.shame_relative,Znieważono ukochaną osobę
opinion_mind.slight,Znieważono mnie
opinion_mind.spouse,Poślubieni
opinion_mind.suspicion_of_adultery,Podejrzenie o zdradę
opinion_mind.try_to_kill_me,Próba zabójstwa!
opinion_mind.manners_good,Dobre maniery
opinion_mind.manners_too_high,Zbyt dobre maniery
opinion_mind.manners_too_low,Nieokrzesanie
opinion_mind.pregnancy_father,Ojciec mego dziecka
opinion_mind.pregnancy_mother,Matka mego dziecka
opinion_mind.dummy_bastard,Bękart chłopa
opinion_mind.lord_bastard,Bękart lorda
opinion_mind.child,Moje dziecko
opinion_mind.parent,Mój rodzic
opinion_mind.rescued_from_captivity,Uratował mnie z niewoli!
opinion_mind.speeping_with_my_partner,Sypia z moim partnerem!
opinion_mind.uncle,Ciocia/wuj
opinion_mind.nephew,Kuzyn/kuzynka
opinion_mind.brother,Brat/siostra
opinion_mind.related_marriage,Powinowactwo
opinion_mind.returned_debt,Spłacono dług
opinion_mind.not_returned_debt,Złamano moje zaufanie
opinion_mind.not_returned_debt_neighbor,Nie spłacono długu sąsiadowi
opinion_mind.player_paid_tribute,Zapłacono mi daninę
opinion_mind.player_refuse_to_pay,Nie zgodzono się na zapłatę
opinion_mind.king_demand_pay,Wymuszono ode mnie daninę
opinion_mind.attacked_me,Zaatakowano mnie
opinion_mind.attack_neighbors,Atakuje sąsiadów
opinion_mind.attack_traity,Agresja wobec mnie
opinion_mind.attack_traity_neighbors,Agresja wobec sąsiada
opinion_mind.attack_coward,Nie stawiono się na pojedynek
opinion_mind.vassal,Mój wasal
opinion_mind.senior,Mój senior
opinion_mind.vassal_duty_did,Spełniono obowiązek lenny
opinion_mind.betrayal,Zdradzono mnie
opinion_mind.betray_vassal_oath,Złamano przysięgę lenną
opinion_mind.king_bastard,Bękarci nie zasługują na koronę!
opinion_mind.king_woman,Kobiety nie zasługują na koronę!
opinion_mind.greetings_me,Powitano mnie
opinion_mind.loot_my_village,Splądrowano moją wioskę
opinion_mind.friend_of_bandits,Dogaduje się z leśnymi bandytami
opinion_mind.enemy_of_bandits,Zwalcza leśnych bandytów
opinion_mind.killed_wolves,Zabito watahę żerwilków
opinion_mind.kicked_out,Wygnano mnie
opinion_mind.take_title,Pozbawiono mnie tytułu
opinion_mind.kicked_out_my_lord,Wygnano mego lorda
opinion_mind.discharge,Zepsucie stosunków
opinion_mind.free_lord_terror,Próba morderstwa wolnego lorda
opinion_mind.my_teacher,Naucza mnie
opinion_mind.dictator_habits,Zapędy dyktatorskie
opinion_mind.threatened_me,Grożono mi
opinion_mind.crime_criminal_not_punished,Przestępca jest bezkarny
opinion_mind.friend_of_my_child,Przyjaciel dziecka
opinion_mind.best_friend_of_my_child,Najlepszy przyjaciel dziecka
opinion_mind.enemy_of_my_child,Wróg dziecka
opinion_mind.worst_enemy_of_my_child,Największy wróg dziecka
opinion_mind.friend_of_my_spouce,Przyjaciel męża/żony
opinion_mind.best_friend_of_my_spouce,Najlepszy przyjaciel męża/żony
opinion_mind.enemy_of_my_spouce,Wróg męża/żony
opinion_mind.worst_enemy_of_my_spouce,Największy wróg męża/żony
opinion_mind.sex_with_other,Moja miłość spała z kimś innym
opinion_mind.caring_parent,Opiekuńczy rodzic
opinion_mind.good_child,Posłuszne dziecko
opinion_mind.start_friend,Stary sojusznik
opinion_mind.start_sympathy,Sympatia
opinion_mind.start_dislike,Antypatia
opinion_mind.start_enemy,Zaprzysiężony wróg
opinion_mind.too_smart,Zbyt duży spryt
opinion_mind.sinner,Grzechy (fanatyzm)
opinion_mind.was_punished,Ukarano
opinion_mind.trade_with_enemy,Handluje z wrogiem
opinion_mind.dont_kill_bandits,Odmówiono eliminacji bandytów
opinion_mind.kill_not_own_bandits,Wtyka nos w nie swoje sprawy
opinion_mind.killed_my_friend,Zabito przyjaciela
opinion_mind.killed_my_enemy,Zabito wroga
opinion_mind.first_night_together,Pierwsza wspólna noc
opinion_mind.loot_vassal_village,Splądrowano wioskę wasala
opinion_mind.trade_with_me,Udana umowa handlowa
opinion_mind.victorious_generosity,Wielkoduszność zwycięzcy
opinion_mind.knocked_up_my_daughter,Zapłodniono moją córkę
opinion_mind.rebelled_against_kin,Zbuntowano się wobec króla
opinion_mind.traitors_slander,Oszczerstwo zdrajców
opinion_mind.not_control_own_bandits,Nie panuje nad bandytami
opinion_mind.unholly_hospitality,Łamie święty obyczaj gościny
opinion_mind.demand_vassalage_to_me,Próbowano mnie ukorzyć
opinion_mind.mind_kidnaper,Porywa
opinion_mind.mind_kidnaper_neighbore,Porwano lorda sąsiadów
opinion_mind.mind_assassinate,Nasłano zabójców
opinion_mind.mind_assassinate_neighbore,Nasłano zabójców na sąsiada
opinion_mind.dead_captive,Zakładnik zmarł
opinion_mind.captive_hold,Przetrzymuje zakładnika
opinion_mind.release_captive,Uwolniono zakładnika
opinion_mind.captive_terror,Torturuje zakładnika
opinion_mind.lord_rebellion_support_heir_to_heir,Wsparto bunt
opinion_mind.lord_rebellion_support_king_to_heir,Nie wsparto buntu
opinion_mind.lord_rebellion_support_heir_to_king,Nie wsparto prawowitej władzy
opinion_mind.lord_rebellion_support_king_to_king,Wsparto prawowitą władzę
opinion_mind.poaching_my_lords,Zabiera mi lordów
opinion_mind.betrayed_home,Zdradzono dom rodzinny
opinion_mind.book_stealer,Skradziono księgi
opinion_mind.gold_stealer,Popełniono kradzież
opinion_mind.refuse_light_vassals,Odmówiono lenna
opinion_mind.showed_weakness,Okazano słabość
opinion_mind.guest_death_for_owners,Podejrzana śmierć członka rodziny
opinion_mind.guest_death_for_opponents,Podejrzana śmierć gościa
opinion_mind.faceless,Horda Przeklętych
opinion_mind.not_faceless,Spoza Hordy Przeklętych
opinion_mind.hate_males,Nienawidzi mężczyzn
opinion_mind.hate_females,Nienawidzi kobiet
opinion_mind.blissful,Błogość
