Key,PortugueseBrazilian
letter.conflict_2,"~
 Prefiro solucionar desavenças de forma pacífica, mas há quem escolha o caminho da discórdia. Preciso de sua ajuda em um conflito com nosso vizinho. Espero que possa contar com você."
letter.break_vassal_1,"~
 O seu vassalo, {soul_uuid_target}, é meu inimigo, e me abstenho de atacá-lo unicamente por sua causa. Espero que nossa relação valha mais do que as moedas que ele paga a você. Termine a relação de vassalagem com ele!"
letter.break_vassal_2,"~
 Termine a relação de vassalagem com {soul_uuid_target}. Ele acredita ser seu protegido, aproveitando-se de tal. As ações dele são muitas vezes injustificáveis. Não minto quando digo que valorizo nossa relação, mas não deixarei que ele saia impune!"
letter.post.dead,Pós-escrito: Estendo minhas condolências por sua perda.
letter.post.wedding,Pós-escrito: Parabéns pelo casamento! Espero que possamos brindar com cerveja quando nos encontrarmos!
letter.post.hunt,"Pós-escrito: Lembrei-me dos tempos em que caçávamos nos bosques. Era muito divertido! Em certo ponto, vi a vida passar diante de meus olhos!"
letter.post.hi_friend,"Pós-escrito: Por favor, transmita meus mais profundos cumprimentos a {soul_uuid_target}. Espero que ele não fique no exterior por muito tempo. Os entes queridos sentem muito a falta dele."
letter.post.battle_loose,"Pós-escrito: Soube da batalha. Sinto muito. Não desista, pois todos nós já sofremos derrotas alguma vez."
letter.post.dice_win,Pós-escrito: Você se lembra da vez em que esvaziei seus bolsos enquanto jogávamos dados? Talvez possamos ter outra partida quando surgir a oportunidade!
letter.post.battle_win_together,Pós-escrito: Nunca esquecerei como vencemos a batalha contra nosso vizinho! Aquilo foi o que eu chamo de vitória!
letter.post.nice_trade,"Pós-escrito: Aliás, os produtos que você me enviou estavam excelentes. Meus agradecimentos!"
letter.post.ex_player_lord,"Pós-escrito: Seu ex-senhor, {soul_uuid_target}, disse que está extremamente feliz por ter se livrado de você. O que fez para deixá-lo tão irritado?"
letter.post.new_kid,Pós-escrito: Soube que você teve uma criança. {soul_uuid_target} é um nome excelente! Que tenha muitas bênçãos de Santa Sofia!
letter.post.battle_win,Pós-escrito: Soube de sua vitória. Aceite meus parabéns! Ouvi falar que foi bastante impressionante.
letter.post.high_prestige,Pós-escrito: Nada me dá tanto orgulho quanto conhecer o rei de uma família tão prestigiada!
letter.post.drunk,Pós-escrito: Você se lembra da vez em que desmaiei no chão depois de nossa folia? Minha esposa não me deixa esquecer.
letter.post.thanks_for_help,Pós-escrito: Agradeço pela ajuda que me ofereceu! Veio na hora certa!
letter.post.ex_ai_lord,Pós-escrito: E diga a {soul_uuid_target} que eu me lembro de tudo! Uma traição nunca é esquecida!
letter.post.enemy.battle_with_me_loose,"Pós-escrito: Não há nada que aqueça mais meu coração do que a memória de sua derrota vergonhosa por minhas mãos. Sempre que me sinto para baixo, me lembro desse momento."
letter.post.enemy.battle_loose_enemy,"Pós-escrito: Eu morri de rir quando soube de que maneira você perdeu a batalha! Naquele dia, o campesinato inteiro bebeu cerveja de graça. Sofia é verdadeiramente justa."
letter.post.coward,"Pós-escrito: Você se lembra de como recuou e se recusou a me enfrentar? Acredite em mim, contei para todos os vizinhos! Nunca tivemos um rei tão tolo e covarde."
letter.post.enemy.village_destroyed,Pós-escrito: Você não faz ideia do quanto eu me diverti quando soube que não conseguiu nem defender sua própria vila! O que será que seus camponeses acham de seu governo?
letter.post.enemy.battle_loose,"Pós-escrito: Aposto que não consegue dormir depois da vergonha que foi aquela derrota! Eu genuinamente pensei que o seu adversário não tinha chance alguma. Mas graças à Mãe Sofia, não era verdade!"
letter.post.enemy.battle_win,Pós-escrito: É estranho saber que você venceu. Como você conseguiu subornar a Mãe Sofia? Ela deve estar te ajudando de alguma maneira.
letter.post.enemy.vassal,"Pós-escrito: Não sei como você não se tornou um vassalo antes! Será que seus cofres e casernas não têm nada além de ratos? Bem, a obediência é o destino dos fracos."
letter.post.enemy.low_prestige,"Pós-escrito: Ouvi falar que as pessoas te chamam de ""nobre mais inútil da região"". Não me surpreende. Talvez você passe as noites no celeiro?"
letter.post.enemy.betrayal,Pós-escrito: Acha que vou me esquecer de como você me traiu? Eu peço à Santa Mãe que você não morra antes que eu tenha a chance de me vingar.
prophecy.letter_announce.wolf_attack,"Os ossos previram um desastre. A lua invisível se erguerá e o sangue congelará pelo uivo faminto do lobo-sangrento! Cuidado com as feras selvagens e prepare-se, pois elas podem atacar a qualquer momento!"
prophecy.letter_announce.bandits_capm,Eu vi um brilho vermelho durante o pôr do sol. É a cor do sangue! Consultei os ossos e eles disseram que aqueles que têm medo da morte buscarão outros em sua casa.
prophecy.letter_announce.fields_sick_one,Tive um sonho profético na noite passada. Vi corvos negros em vez de plantações verdes. Eles são os arautos da fome e da morte. E estão vindo para sua casa!
prophecy.letter_announce.cholera_epidemy,"Certo dia, fizemos um sacrifício e o sangue do bezerro abatido não jorrou em um riacho carmesim; um líquido escuro de odor repugnante fluía dele. Suas cidades serão assoladas por doenças em breve!"
prophecy.letter_announce.xenophoby,O texto sagrado se abriu em uma página onde as pessoas se lançam umas contra as outras como bestas selvagens e os gritos das crianças são ouvidos das chamas do fogo. Santa Sofia lhe adverte!
prophecy.letter_announce.crocks_wave,Eu tive um sonho ontem à noite. Uma sombra com um capuz se inclinava sobre mim. Ela carregava um punhal reluzente. Cuidado com os vadios! Tenho certeza de que é um sinal vindo de cima!
prophecy.letter_announce.fanatics_wave,"Os videntes dizem que viram nas nuvens pessoas loucas em pé carregando cruzes em chamas. Há muitos deles, e a fúria enche seus corações!"
prophecy.letter_announce.fields_sick_all,Faz dez dias seguidos que a lua não aparece. Os livros antigos dizem que isso é um presságio de problemas com as colheitas e fome. Que Santa Sofia lhe ajude!
prophecy.letter_announce.tree_bug,"Tive um sonho ruim. Troncos escuros de árvores sem folhas, como estátuas imóveis, estavam no lugar das florestas verdes. Espero que você saiba o que fazer!"
prophecy.letter_announce.rats_invasion,"Na inconsciência do néctar, tive uma visão. No altar, vi um rato devorando a carne de um cordeiro recém-nascido. Eu profetizo fome e problemas em seu reino!"
prophecy.letter.finish,Nossos caravaneiros dizem que a sombra escura da calamidade se dissipou. Espero que todos aqueles que você ama estejam vivos e bem. Mas receio que esta não seja a última prova que Mãe Sofia nos envia por nossos pecados.
letter.sign.matriarch,"Com ternura em meu coração,
 Matriarca"
letter.post.diplomat_1,"Verdadeiramente, devo confessar que não antecipava um desfecho favorável. Ainda assim, estou extremamente feliz que nossa inimizade pertença ao passado. O que passou deve ser esquecido, não é verdade?"
letter.post.diplomat_2,"Eu estimo seus esforços para restaurar a paz entre nossos reinos, devo reconhecer. No entanto, a nobreza de sua ação não implica minha confiança doravante."
letter.post.vassal_out_1,"Saiba que já não tenho inclinação a me submeter a você. E se busca a razão da minha desobediência, olhe no espelho. Na minha hora de necessidade, você não me ajudou. Daqui para frente, seu reino está diminuído."
letter.post.vassal_out_2,"O juramento de assistência militar foi feito por você quando concordei em me tornar seu vassalo. O que recebi em troca? O tributo designado por você, eu paguei fielmente, mas em um momento de necessidade, você me abandonou. Daqui para frente, não sou mais seu vassalo."
letter.emperor,"Nós lamentamos que seu orgulho lhe tenha levado a cometer tal blasfêmia que você decidiu destruir a ordem divina do mundo estabelecida pela própria Mãe Sofia. Infelizmente, avisos serão inúteis. O Pai Rigoroso e os demais inquisidores estão se preparando para partir. Que Sofia lhe perdoe!"
letter.start.matriarch,Criança amada!
letter.tax_increase,"Nossos corações se enchem de alegria enquanto nós, a Família Amorosa, acompanhamos seus sucessos políticos. Parece que foi ontem que sua dinastia estava colhendo couves-nabos e agora aí você está, dando ordens aos seus vizinhos! Portanto, tenho certeza de que nossa iniciativa de impor um leve aumento sobre o imposto dos seus guerreiros não lhe será um fardo pesado demais para você!"
letter.army_tax_increase_footer,"Devido a sua entrada na arena política e maior influência, a Família Amorosa acredita que você deve contribuir mais para a segurança das estradas.
 
 A Igreja está aumentando o imposto sobre os guerreiros, que agora será de {new_tax} por unidade de habilidade de combate para cada guerreiro (valor anterior: {old_tax})."
faction.player_village,Camponeses
faction.faceless,Horda Profana
faction.forest_bandits,Bandidos da floresta
faction.mercenaries,Mercenários
faction.wolves,Lobos-Sangrentos
faction.inquisition,Inquisição
faction.traders,Caravana Sagrada
faction.traders_slaves,Escravos da Caravana Sagrada
faction.free_lords,Nobres livres
faction.holy_synod,Família Amorosa
faction.rebellious_zealots,Fanáticos rebeldes
faction.rebellious_slaves,Escravos rebeldes
faction.rebellious_soldiers,Soldados rebeldes
faction.rebellious_heir,Separatistas
faction.mountain_bandits,Salteadores
faction.hired_bandits,Bandidos contratados
faction.abandoned,Cidade abandonada
faction.low_loyalty,Renegados
faction.name.0,Refúgio Argento
faction.name.1,Vale da Poeira
faction.name.2,Ventamonte
faction.name.3,Riacho Estelar
faction.name.4,Lago Lunar
faction.name.5,Vila Centelha
faction.name.6,Luz Cristalina
faction.name.7,Vale Estelar
faction.name.8,Encanto
faction.name.9,Bosque Arbor
faction.name.10,Reino Lunar
faction.name.11,Nevoeiro
faction.name.12,Vale Brilhante
faction.name.13,Refúgio das Névoas
faction.name.14,Distrito Áureo
faction.name.15,Queda das Centelhas
faction.name.16,Domínio do Lago
faction.name.17,Chifre do Dragão
faction.name.18,Verdiral
faction.name.19,Crepuscúlia
faction.name.20,Cristália
faction.name.21,Zona Esplêndida
faction.name.22,Fortaleza Gelada
faction.name.23,Bosque das Feras
faction.name.24,Mercado das Ondas
faction.name.25,Grande Expansão
faction.name.26,Vale dos Conto de Fadas
faction.name.27,Desfiladeiro Glacial
faction.name.28,Bosque Sombrio
faction.name.29,Lago Espelhado
faction.name.30,Fortaleza Crepuscular
faction.name.31,Queda dos Sonhos
faction.name.32,Colina Esmeralda
faction.name.33,Refúgio Áureo
faction.name.34,Rio Argento
faction.name.35,Cidade Perdida
faction.name.36,Trovamonte
faction.name.37,Rocha da Poeira
faction.name.38,Vale Vivo
faction.name.39,Alvorada de Âmbar
faction.name.40,Caverna de Cristal
faction.name.41,Labirinto Esmeralda
faction.name.42,Alameda Estrelada
faction.name.43,Coroa das Chamas
faction.name.44,Refúgio Áureo
faction.name.45,Lua Clara
faction.name.46,Chama dos Ventos
faction.name.47,Lar Estelar
faction.name.48,Cidade do Corvo
faction.name.49,Deslize Sombrio
faction.name.50,Vale Centelha
faction.name.51,Bosque Arbor
faction.name.52,Vale Vislumbrante
faction.name.53,Subtérreo
faction.name.54,Beira Encantada
faction.name.55,Luz Cristalina
faction.name.56,Alcance Esquecido
faction.name.57,Queda das Chamas
faction.name.58,Cume dos Sonhos
faction.name.59,Geamonte
faction.name.60,Nevoeiro
faction.name.61,Refúgio das Feras
faction.name.62,Pinoculto
faction.name.63,Desfiladeiro Superior
faction.name.64,Prado Ventoso
faction.name.65,Caverna Sombria
faction.name.66,Cascata Glacial
faction.name.67,Cidade Mística
faction.name.68,Costa Silenciosa
faction.name.69,Matagal Espesso
faction.name.70,Alvorada Ardente
faction.name.71,Oásis Vivo
faction.name.72,Beco Iluminado
faction.name.73,Córrego Nebuloso
faction.name.74,Sentinela Perdido
faction.name.75,Ponta Áurea
faction.deserted_soldiers,Desertores
faction.player_untitled,Nobres baixos
0map.appoint.sub_category.others,Outros
9map.appoint.sub_category.expansion,Expansão
8map.appoint.sub_category.others,Outros
product_change_price.neighbore_town_attacked,"Após {faction_uuid_town} sofrer um ataque, houve um aumento de preço em <red>{price_factor}%</red>."
no_defence_allies,Sem aliados
map.category.lords,Nobres
map.hostage_player,Valor para resgatar um refém
map.lord_low_loyalty,O nobre está pronto para partir
map.lord_rebellion.nobody_support,Nenhum
map.lord_rebellion_heir,Rebelião do herdeiro
map.lord_rebellion_king,Defesas contra a rebelião
map.hire_bandits,Contratação de bandidos
map.solders_gift,Oferecer ajuda
map.appoint.events,Eventos
map.category.criminals,Ações sinistras
map.category.politics,Política
map.category.attack,Ataque
map.category.marriage,Casamento
map.category.trade,Comerciar
map.abandoned_town,Cidade abandonada
map.marriage_female,Noiva disponível para casar
map.marriage_male,Noivo disponível para casar
map.loan,Empréstimo de dinheiro
map.king_tribute,Ameaça de saque
map.king_tribute_light,Pedido educado de tributo
map.demand_tribute,Pedido educado de tributo
map.assault_fair,Saquear a cidade
map.assault_unfair,Saquear a cidade
map.city_burn_ai,Ameaça de destruição
map.demand_peace,Proposta de tratado de paz
map.declared_peace_broken,Tratado de paz dissolvido
map.trade_agreement_broken,Acordo comercial encerrado
map.declared_peace,Acordo de paz
map.demand_defence_alliance_to_player,Proposta de aliança
map.declared_defence_alliance,Aliança de Cidades Livres
map.demand_defence_ally_army,Pedido de ajuda
map.demand_vassal_waiting,Aguardando resposta
map.demand_vassal_attack_waiting,Aguardando ataque
map.demand_vassal_light_player,Exigir vassalagem
map.demand_vassal_player,Exigir vassalagem
map.help_against_faceless,Ajuda contra a Horda Profana
map.demand_kill_own_bandits_camp,Exigir a eliminação de bandidos
map.conquest,Restauração da vassalagem
map.king_attack,Exigência de um cerco
map.demand_attack,Exigência de um cerco
map.slaves_offer,Venda de prisioneiros
map.trade_offer,Oferta comercial
map.trade_request,Pedido comercial
map.village,Vila
map.village_neighbore,Vila de um reinado vizinho
map.village.short,"Um pequeno assentamento sem acesso ao comércio, ferro ou ferramentas avançadas."
map.burned_village,Vila queimada
map.burned_village.short,"Uma vila que foi saqueada e queimada. Depois de um tempo, os moradores que se esconderam nas florestas vizinhas voltarão para reconstruí-la, mas não há ninguém aqui no momento."
map.protect,Ameaça de ataque
map.protect.short,Um grupo de bandidos está se reunindo perto da vila.
map.tribute,Tributo
map.tribute.short,A vila fez a colheita e está pronta para lhe pagar o tributo.
map.mill,Melhoria do moinho
map.mill.short,O membro ancião da vila planeja melhorar o moinho.
map.hungry,Fome extrema
map.hungry.short,A colheita está fraca na vila. Eles precisam de comida.
map.sick,Peste
map.sick.short,Há um surto de doença. Eles precisam de medicamentos com urgência.
map.meat,Chiqueiro novo
map.meat.short,Os moradores estão pedindo ajuda para construir um chiqueiro.
map.bandits_camp,Campo de bandidos da floresta
map.bandits_camp.short,Habitado por bandidos da floresta. Eles podem ocasionalmente atacar o seu assentamento.
map.bandits_hostage,Refém - {lord_name}
map.bandits_hostage.short,Um nobre foi capturado como refém e um valor de resgate é exigido.
map.wolfes,Lobos-sangrentos próximos
map.wolfes.short,"Uma alcateia de lobos-sangrentos bloqueou os caminhos para sua cidade. Entretanto, talvez eles saiam em breve."
map.slaves,Prisioneiros fugitivos
map.slaves.short,Um grupo de prisioneiros fugitivos de {city_name} foi avistado perto de sua cidade.
map.fanatics,Grupo de flagelantes
map.fanatics.short,Um grupo pequeno de peregrinos flagelantes está pedindo comida.
map.theif,Ladrão em fuga
map.theif.short,"Um ladrão, que trabalhou recentemente na cidade de {city_name}, foi visto nas proximidades."
map.lord_in_run,Nobre em fuga
map.lord_in_run.short,Um membro da nobreza da casa {house_name_1} escapou do cativeiro da casa {house_name_2}. Os perseguidores estão próximos.
map.lord_in_run_2,Nobre em fuga
maplord_in_run_2.short,Bandidos estão perseguindo um membro da nobreza da casa {house_name_1}. Seu vigor está diminuindo.
map.lord_in_run_3,Nobre em fuga
map.lord_in_run_3.short,Um nobre da província de {house_name_1} decidiu deixar sua casa e busca refúgio.
map.lovers_in_run,
map.lovers_in_run.short,Dois rapazes de casas diferentes se apaixonaram e fugiram.
map.caravan,Caravana protegida
map.caravan.short,Uma caravana da província {house_name_1} com prisioneiros e produtos está a caminho de {city_name_2}.
map.dispute,
map.dispute.short,Duas casas discutem sobre o direito de posse da vila. Você pode apoiar uma delas.
map.bride,Uma noiva está à procura de um par.
map.bride.short,{soul_uuid_bride} está na idade de se casar. O rei está buscando alguém adequado para ela.
map.groom,Um noivo busca uma pretendente.
map.groom.short,{soul_uuid_groom} está na idade de se casar. O rei está buscando alguém adequado para ele.
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,DESCRIÇÃO
map.menu.quest.details,Detalhes
map.menu.quest.consequences,Consequências possíveis
map.menu.quest.reward,RECOMPENSA POSSÍVEL
map.menu.quest.reward_or,ou
map.menu.status.days_left,Faltam {remain_days} dias
map.menu.modal.result.success,Sucesso!
map.menu.modal.result.fail,Falha!
map.menu.modal.ok,Ok
map.menu.status.timeless,Indefinido
map.menu.status.go_home,Retornando para casa
map.menu.quest.ignore,Ignorando
map.menu.quest.waiting,Aguardando
map.menu.quest.time_over,O acordo expirou
map.menu.quest.tragic,Acidente trágico
map.menu.quest.bad_opinion,Relações ruins
map.menu.quest.hostage_rescue,Resgate de um refém
map.menu.button.create_army,Criar novo esquadrão
map.menu.button.send_army,Enviar
map.menu.prepare_to_battle.header,Batalha em {place}
map.menu.prepare_to_battle.in_town,nos portões de {town_name}
map.menu.prepare_to_battle.near_town,perto de {town_name}
map.menu.prepare_to_battle.battle_begin,A batalha começou
map.menu.town.guest_lords,Nobres convidados
map.menu.town.information,Informações
map.menu.town.economic,Economia
map.menu.town.army,Exército
map.menu.army_composition,Composição do exército
map.menu.town.local_lords,Nobres
map.menu.town.ruling_family,Família governante
map.menu.town.status.hostile,Hostil
map.menu.town.status.friendly,Amigável
map.menu.town.status.neutral,Neutro
map.menu.town.status.independent,Independente
map.menu.town.status.vassal,Vassalo
map.menu.town.status.suzerain,Suserano
map.menu.town.relations,Relacionamentos
map.menu.messenger,Mensageiro
map.army,Exército
map.declared_trade_agreement,Acordo comercial
map.forcing_neutrality,Forçando neutralidade
map.personal_conflict,Conflito entre vizinhos
map.help_against_bandits,Ajuda contra bandidos
map.help_against_mountains_bandits,Ajuda contra salteadores
map.neutralization_order,Ordem de neutralização
map.menu.town.status.ally,Na aliança
map.menu.town.status.alliance_leader,Líder da aliança
map.stolen_rings_offer,Anéis Sagrados roubados
map.holy_defence_was_removed,"<red>A proteção da Família Amorosa foi removida!</red>
 
 Ações agressivas significam que você não precisa mais da <hint=hint_holy_protection>proteção da Família Amorosa</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>A proteção da Família Amorosa</hint> será removida!
map.trade.offer.alias,A cidade vende: {resource_name}
map.trade.request.alias,A cidade compra: {resource_name}
map.menu.town.king_family,FAMÍLIA DO REI
map.menu.town.guests,CONVIDADOS
map.menu.town.faction_lords,NOBRES DE {town}
map.menu.town.vassal_of,Vassalo de
map.menu.town.ally_of,Aliado de
map.player_vassal_rebellion,Vassalo rebelde
product_change_price.rats_invasion,"Após a <hint=hint_prophecy_rats_invasion>Invasão de Ratos</hint>, houve um aumento de preço em <red>{price_factor}%</red>."
product_change_price.tree_bug,"Após a infestação de <hint=hint_prophecy_tree_bug>Besouros</hint>, houve um aumento de preço em <red>{price_factor}%</red>."
product_change_price.fields_sick,"Após a <hint=hint_prophecy_fields_sick_one>Infecção nas Plantações</hint>, houve um aumento de preço em <red>{price_factor}%</red>."
map.universal_help.danger_army,<center>Exército do agressor:</center>
map.appoint.estimated_time,Tempo estimado para concluir a tarefa: {estimated_time}
map.appoint.estimated_time_army,A viagem levará {estimated_time}
map.appoint.tasks,Ações
map.category.improve_relations,Melhorar relação
map.guest.remain_stay_time,"<tight><center><b>O personagem está fora da cidade.</b></center>
 
 </tight>Este personagem está como convidado na cidade de {faction_uuid}.
 
 Ele deve chegar em casa em {remain_time}."
map.your_province,Sua província
map.burn_town_waiting,Preparando-se para queimar a cidade
map.last_female_in_faction,Você tem a última mulher solteira
map.defence_alliance_leaving_ai,Conflito com um aliado
map.defence_alliance_leaving_player,Conflito com o líder da aliança
product_change_price.temporary,Aumento temporário de preço em <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} humilhou {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} insultou {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} repreendeu {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} pisou em {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} pisoteou {name_target} na lama
actor.deep_social_alias.abuse_6,{name_initiator} destruiu {name_target} emocionalmente
actor.deep_social_alias.abuse_7,{name_initiator} silenciou {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} louvou {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} teve uma conversa sincera com {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} confortou {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} alegrou {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} agradeceu a {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} elogiou {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} deu crédito a {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} zombou de {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} escarneceu {name_target}
actor.deep_social_alias.evil_joke_3,{name_initiator} provocou {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} ridicularizou {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} parodiou {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} zombou sarcasticamente de {name_target}
actor.deep_social_alias.flattery_1,{name_initiator} bajulou {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} adulou {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} caiu nas graças de {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} se ajoelhou diante de {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} fingiu admirar {name_target}
actor.deep_social_alias.flattery_6,{name_initiator} enalteceu {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} acariciou o ego de {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} trocou gracejos com {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} contou uma piada nova para {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} riu bastante com {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} compartilhou uma anedota com {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} mostrou uma paródia para {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} compartilhou rumores com {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} revelou toda a verdade para {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} confirmou os temores de {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} compartilhou um segredo com {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} abriu os olhos de {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} revelou a essência de {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} deu uma dica sutil a {name_target}
actor.deep_social_alias.slight_1,{name_initiator} desconsiderou {name_target}
actor.deep_social_alias.slight_2,{name_initiator} ignorou {name_target}
actor.deep_social_alias.slight_3,{name_initiator} colocou {name_target} em seu devido lugar
actor.deep_social_alias.slight_4,{name_initiator} fingiu não escutar {name_target}
actor.deep_social_alias.sorry_1,{name_initiator} se desculpou com {name_target}
actor.deep_social_alias.bye_1,{name_initiator} se despediu de {name_target} antes de sair
actor.deep_social_alias.bye_2,{name_initiator} prometeu a {name_target} que voltará o mais rápido possível
actor.deep_social_alias.bye_3,{name_target} desejou a {name_initiator} uma boa viagem
actor.deep_social_alias.flirt_1,{name_initiator} está tentando seduzir {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} está convidando {name_target} para um encontro
actor.deep_social_alias.flirt_3,{name_initiator} está arriscando ao flertar com {name_target}
actor.deep_social_alias.flirt_4,{name_initiator} está prometendo uma noite de amor a {name_target}
opinion_mind_interest.hint_title,Interesse: {interest}
opinion_mind_interest.zodiak_signs,Cheiro
opinion_mind_interest.beauty,Aparência
opinion_mind_interest.age,Charme de juventude
opinion_mind_interest.drank,Influência do álcool
opinion_mind_interest.love,Apaixonado
opinion_mind_interest.religious_fan,Desavenças religiosas
opinion_mind_interest.scars,Cicatrizes
opinion_mind_interest.ugly,Desfigurado
opinion_mind_interest.romantic,Necessidade por sexo
opinion_mind_interest.opinion,Relacionamentos
opinion_mind_interest.manners,Diferença em boas maneiras
opinion_mind_interest.guest,Convidado
opinion_mind_interest.has_paramour,Emoção sobre parceiro atual
opinion_mind_rumor_prefix,Rumor: {rumor}
opinion_mind.abuse,Insultou-me
opinion_mind.abuse_paramour,Parceiro insultado
opinion_mind.adultery,Não sabe da minha infidelidade
opinion_mind.blinded_relative,Cegou uma pessoa amada
opinion_mind.bribe_me,Subornou-me
opinion_mind.chitchat,Conversa casual
opinion_mind.close_relative,Parente próximo
opinion_mind.convicted_of_adultery,Traição do parceiro
opinion_mind.coward,Covarde
opinion_mind.criminal,Envolvido em crimes
opinion_mind.deep_talk,Ter uma conversa aprofundada
opinion_mind.drunk_fight,Briga de bêbados
opinion_mind.beat_me,Bateu-me
opinion_mind.envy_happy,Extremamente feliz!
opinion_mind.envy_runes,Inveja dos anéis
opinion_mind.envy_for_babys,Inveja da descendência
opinion_mind.envy_for_victory,Inveja das vitórias
opinion_mind.evil_joke,Zombou de mim!
opinion_mind.ex_paramour,Ex-parceiro
opinion_mind.executed_relative,Executou uma pessoa querida
opinion_mind.punished_me,Puniu-me!
opinion_mind.flattery,Lisonjeou-me
opinion_mind.flirt,Encontro próximo
opinion_mind.game_of_dice_loose,Venceu de mim nos dados!
opinion_mind.gift,Deu-me um presente
opinion_mind.good_commander,Comandante bem-sucedido
opinion_mind.good_joke,Rimos bastante juntos!
opinion_mind.king_gift,Deu-me um presente real
opinion_mind.heir_envy,Desejo pelo trono
opinion_mind.hunt_together,Caçamos juntos
opinion_mind.intrigue,Rumores sujos
opinion_mind.sorry,Desculpou-se
opinion_mind.jealousy,Rival!
opinion_mind.love,Estou louca por ele!
opinion_mind.negative_rumor_1,Come à noite
opinion_mind.negative_rumor_10,Planeja ir embora para sempre
opinion_mind.negative_rumor_11,Sofre uma doença venérea
opinion_mind.negative_rumor_12,Molha a cama
opinion_mind.negative_rumor_13,Acumula lixo
opinion_mind.negative_rumor_14,Ateu secreto
opinion_mind.negative_rumor_15,Dorme no chão perto da porta
opinion_mind.negative_rumor_16,Piromaníaco secreto
opinion_mind.negative_rumor_17,Quase nunca toma banho
opinion_mind.negative_rumor_18,Sempre come as sobras
opinion_mind.negative_rumor_19,Anda pelado à noite
opinion_mind.negative_rumor_2,Cutuca o nariz
opinion_mind.negative_rumor_20,Possessão por espírito maligno
opinion_mind.negative_rumor_21,Venera um toco de árvore
opinion_mind.negative_rumor_22,Incapaz de fazer sexo
opinion_mind.negative_rumor_23,Coça as axilas
opinion_mind.negative_rumor_24,Come insetos
opinion_mind.negative_rumor_25,Grita à noite
opinion_mind.negative_rumor_3,Dá uma espiada no servo
opinion_mind.negative_rumor_4,Solta gases
opinion_mind.negative_rumor_6,Bebe muito
opinion_mind.negative_rumor_7,Fala mal pelas costas
opinion_mind.negative_rumor_8,Rouba utensílios
opinion_mind.negative_rumor_9,Perdendo os cabelos
opinion_mind.night_murder,Assassino cruel
opinion_mind.other_relatives,Demais parentes
opinion_mind.paramour,Alma gêmea
opinion_mind.paranoid_hate,Ódio paranoico
opinion_mind.personality_arrogant,Desprezo pela pobreza
opinion_mind.personality_contradictory_hate,Ódio inexplicável
opinion_mind.personality_contradictory_love,Amor inexplicável
opinion_mind.personality_mismatch,Caráter desagradável
opinion_mind.personality_mismatch_heavy,Caráter muito desagradável
opinion_mind.positive_rumor_1,Escreve poesia secretamente
opinion_mind.positive_rumor_10,Romântico secreto
opinion_mind.positive_rumor_11,Arrepende-se do passado
opinion_mind.positive_rumor_12,Vê os mortos
opinion_mind.positive_rumor_13,Doente terminal
opinion_mind.positive_rumor_15,Adora crianças
opinion_mind.positive_rumor_16,Tem um rato de estimação
opinion_mind.positive_rumor_17,Tem habilidades de hipnose
opinion_mind.positive_rumor_18,Apaixonado secretamente
opinion_mind.positive_rumor_2,Carinhoso na cama
opinion_mind.positive_rumor_3,Depressão escondida
opinion_mind.positive_rumor_4,Assombrado pela culpa
opinion_mind.positive_rumor_5,Planta flores
