Key,Indonesia
letter.post.high_prestige,Catatan tambahan: Tidak ada yang membuatku begitu bangga seperti bertemu dengan raja dari keluarga yang begitu bergengsi!
letter.post.drunk,Catatan tambahan: Ingatkah bagaimana aku ambruk ke lantai setelah pesta liar kita? Istrinya masih mengingatkanku tentang itu.
letter.post.thanks_for_help,Catatan tambahan: Dan terima kasih atas bantuan yang kau berikan kepadaku! Itu sangat berguna!
letter.post.ex_ai_lord,Catatan tambahan: Dan sampaikan kepada {soul_uuid_target} bahwa aku ingat segalanya! Pengkhianatan tidak dilupakan!
letter.post.enemy.battle_with_me_loose,"Catatan tambahan: Tidak ada yang menghangatkan hatiku seperti kenangan kekalahan memalukanmu di tangan pedangku! Saat aku sedang murung, aku mengingat momen itu."
letter.post.enemy.battle_loose_enemy,"Catatan tambahan: Bagaimana aku tertawa saat mendengar bagaimana kau kalah dalam pertempuran itu! Pada hari itu, semua petaniku minum ale gratis. Sungguh, Sophia adil."
letter.post.coward,"Catatan tambahan: Ingatkah bagaimana kau mundur dan menolak menghadapiku? Percayalah, semua tetangga mendengarnya! Di antara kita, tidak pernah ada raja yang begitu bodoh dan pengecut."
letter.post.enemy.village_destroyed,Catatan tambahan: Bagaimana kau menghiburku saat aku tahu kau bahkan tidak bisa membela desamu sendiri! Aku penasaran apa yang dipikirkan petanimu tentang pemerintahanmu?
letter.post.enemy.battle_loose,"Catatan tambahan: Aku yakin kau sulit tidur setelah kekalahan memalukan seperti itu! Jujur, aku pikir lawanmu tidak punya peluang. Syukurlah kepada Ibu Sophia aku salah!"
letter.post.enemy.battle_win,Catatan tambahan: Aneh mendengar tentang kemenanganmu. Apa yang kau suap ke Ibu Sophia? Dia pasti sedang membantumu entah bagaimana.
letter.post.enemy.vassal,"Catatan tambahan: Sungguh menakjubkan kau tidak menjadi vassal lebih cepat! Mungkin hanya tikus yang berkeliaran di peti dan barak kosongmu? Yah, ketaatan adalah nasib orang lemah."
letter.post.enemy.low_prestige,Catatan tambahan: Aku dengar mereka memanggilmu lord paling tak berguna di wilayah kita? Tidak mengherankan. Mungkin kau menghabiskan malam di gudang?
letter.post.enemy.betrayal,Catatan tambahan: Apakah kau pikir aku akan lupa bagaimana kau mengkhianatiku? Aku berdoa kepada Ibu Suci agar kau tidak mati sebelum aku punya kesempatan membalas dendam kepadamu!
prophecy.letter_announce.wolf_attack,"Tulang-tulang meramalkan bencana. Bulan tak terlihat akan terbit, dan darah akan membeku dari lolongan lapar Fleshwolf! Waspadai binatang buas, dan siapkan diri untuk serangan mereka, karena itu tidak akan lama lagi!"
prophecy.letter_announce.bandits_capm,"Aku melihat cahaya merah saat matahari terbenam. Itu warna darah! Aku melempar tulang-tulang, dan mereka memberitahuku bahwa mereka yang takut pada kematiannya akan mencari orang lain di rumahmu."
prophecy.letter_announce.fields_sick_one,"Aku bermimpi ramalan semalam. Alih-alih tanaman hijau, aku melihat gagak hitam. Mereka adalah pembawa berita kelaparan dan kematian, yang datang ke rumahmu!"
prophecy.letter_announce.cholera_epidemy,"Beberapa hari lalu kami melakukan pengorbanan, dan darah anak sapi yang disembelih tidak menyembur seperti aliran merah tua; cairan hitam berbau busuk mengalir darinya. Penyakit akan datang ke pemukimanmu segera!"
prophecy.letter_announce.xenophoby,"Teks suci terbuka di halaman di mana orang-orang saling menerkam seperti binatang buas, dan jeritan anak-anak terdengar dari nyala api. Holy Sophia memperingatkanmu!"
prophecy.letter_announce.crocks_wave,Semalam aku bermimpi. Bayangan bertudung condong ke arahku. Belati berkilat di tangannya. Waspadai pengembara; aku yakin itu tanda dari atas!
prophecy.letter_announce.fanatics_wave,"Para peramal mengatakan mereka melihat di awan orang-orang gila berdiri dengan salib yang membara di tangan mereka. Mereka banyak, dan kemarahan memenuhi hati mereka!"
prophecy.letter_announce.fields_sick_all,Bulan tidak terbit selama sepuluh hari berturut-turut. Buku-buku kuno mengatakan ini adalah pembawa berita kegagalan panen dan kelaparan. Semoga Holy Sophia membantumu!
prophecy.letter_announce.tree_bug,Aku bermimpi buruk. Batang pohon gelap tanpa daun seperti patung tak bergerak berdiri alih-alih hutan hijaumu. Aku harap kau tahu apa yang harus dilakukan!
prophecy.letter_announce.rats_invasion,"Dalam pelupaan nektar, aku mendapat penglihatan. Di altar, aku melihat tikus melahap daging domba yang baru lahir. Aku meramalkan kelaparan dan masalah di kerajaanmu!"
prophecy.letter.finish,Karavan kami mengatakan bahwa bayangan hitam bencana telah surut. Aku harap semua orang tercintamu hidup dan sehat. Tapi aku khawatir ini bukan ujian terakhir yang dikirim Ibu Sophia kepada kita atas dosa-dosa kita.
letter.sign.matriarch,"Dengan kelembutan di hatiku,
Matriark Jadwiga"
letter.post.diplomat_1,"Sungguh, hasil yang menguntungkan, aku harus akui, tidak kuduga. Namun, aku sangat senang bahwa permusuhan kita terletak di masa lalu. Apa yang telah berlalu harus dilupakan, bukan begitu?"
letter.post.diplomat_2,"Upayamu untuk memulihkan perdamaian antara kerajaan kita, aku harus akui, aku hargai. Namun, kemuliaan perbuatanmu tidak berarti aku mempercayaimu mulai sekarang."
letter.post.vassal_out_1,"Ketahuilah bahwa aku tidak lagi condong untuk tunduk kepadamu. Dan jika kau mencari alasan ketidaktaatanku, lihatlah ke cermin. Di saat aku membutuhkan, aku tidak mendapat bantuan darimu. Mulai sekarang, kerajaanmu berkurang."
letter.post.vassal_out_2,"Sumpah bantuan militer diberikan olehmu saat aku setuju menjadi vassalmu. Dan apa balasannya? Upeti yang ditentukan olehmu, aku bayar dengan setia, namun di saat kritis, kau tinggalkan aku. Mulai sekarang, aku bukan vassalmu."
letter.emperor,"Kami menyesal bahwa kesombonganmu telah membawamu pada penghujatan seperti itu sehingga kau memutuskan untuk menghancurkan tatanan ilahi dunia yang ditetapkan oleh Ibu Sophia sendiri. Sayangnya, nasihat tidak berguna di sini. Ayah Ketat dan rekan inkuisitornya bersiap berangkat. Semoga Sophia mengampunimu!"
letter.start.matriarch,Anak Tercinta!
letter.tax_increase,"Hati kami dipenuhi sukacita saat kami, Keluarga Penuh Kasih, menyaksikan kesuksesan politikmu. Baru kemarin, dinastimu sedang mencabut rumput rutabaga, dan sekarang kau adalah kepala negara, mendikte kehendakmu kepada tetangga-tetangga! Oleh karena itu, aku yakin bahwa inisiatif kami untuk sedikit menaikkan pajak pada prajuritmu tidak akan menjadi beban yang tak tertahankan bagimu!"
letter.army_tax_increase_footer,"Karena masuknya kau ke arena politik yang lebih besar dan pengaruh yang meningkat, Keluarga Penuh Kasih percaya kau harus berkontribusi lebih banyak untuk keamanan jalan-jalan.

Pihak Gereja menaikkan pajak pada prajurit, yang sekarang menjadi {new_tax} per unit Keterampilan Tempur untuk setiap prajurit (sebelumnya {old_tax})."
faction.player_village,Petani
faction.faceless,Unholy Horde
faction.forest_bandits,Begal (hutan)
faction.mercenaries,Tentara bayaran
faction.wolves,Fleshwolf
faction.inquisition,Inkuisisi
faction.traders,Holy Caravan
faction.traders_slaves,Budak Holy Caravan
faction.free_lords,Free lord
faction.holy_synod,Keluarga Penuh Kasih
faction.rebellious_zealots,Fanatik pemberontak
faction.rebellious_slaves,Budak pemberontak
faction.rebellious_soldiers,Prajurit pemberontak
faction.rebellious_heir,Separatisme
faction.mountain_bandits,Begal
faction.hired_bandits,Begal Bayaran
faction.abandoned,Pemukiman Terbengkalai
faction.low_loyalty,Pengkhianat
faction.name.0,Silverhaven
faction.name.1,Dust Valley
faction.name.2,Windpeak
faction.name.3,Starstream
faction.name.4,Moonlake
faction.name.5,Sparksville
faction.name.6,Crystallight
faction.name.7,Stardale
faction.name.8,Enchantment
faction.name.9,Treewood
faction.name.10,Moonrealm
faction.name.11,Greatmist
faction.name.12,Brightvale
faction.name.13,Misthaven
faction.name.14,Goldshire
faction.name.15,Sparkfall
faction.name.16,Lakehold
faction.name.17,Dragonhorn
faction.name.18,Greenspire
faction.name.19,Twilighton
faction.name.20,Crystallia
faction.name.21,Wonderlore
faction.name.22,Frostkeep
faction.name.23,Beastwood
faction.name.24,Wave Market
faction.name.25,Overgrowth
faction.name.26,Fairytale Glen
faction.name.27,Icy Gorge
faction.name.28,Darkwood
faction.name.29,Mirror Pond
faction.name.30,Twilight Fortress
faction.name.31,Dreamfall
faction.name.32,Emerald Hill
faction.name.33,Pelabuhan Emas
faction.name.34,Sungai Perak
faction.name.35,Kota yang Hilang
faction.name.36,Puncak Petir
faction.name.37,Batu Debu
faction.name.38,Lembah Hidup
faction.name.39,Fajar Amber
faction.name.40,Gua Kristal
faction.name.41,Labirin Zamrud
faction.name.42,Hutan Bintang
faction.name.43,Mahkota Api
faction.name.44,Pelabuhan Emas
faction.name.45,Bulan Jernih
faction.name.46,Angin Membara
faction.name.47,Rumah Bintang
faction.name.48,Kota Gagak
faction.name.49,Geser Bayangan
faction.name.50,Lembah Percikan
faction.name.51,Kayuan
faction.name.52,Lembah Kilau
faction.name.53,Benteng Bawah
faction.name.54,Tepi Terpesona
faction.name.55,Cahaya Kristal
faction.name.56,Jangkauan yang Terlupakan
faction.name.57,Air Terjun Api
faction.name.58,Puncak Mimpi
faction.name.59,Puncak Es
faction.name.60,Kabut Besar
faction.name.61,Pelabuhan Binatang
faction.name.62,Menara Tersembunyi
faction.name.63,Di Atas Ngarai
faction.name.64,Padang Rumput Berangin
faction.name.65,Gua Gelap
faction.name.66,Air Terjun Es
faction.name.67,Kota Mistik
faction.name.68,Pantai Senyap
faction.name.69,Semak Belukar Padat
faction.name.70,Fajar yang Membara
faction.name.71,Oase Hidup
faction.name.72,Gang Bercahaya Matahari
faction.name.73,Sungai Berkabut
faction.name.74,Penjaga yang Hilang
faction.name.75,Paku Emas
faction.deserted_soldiers,Pembelot
faction.player_untitled,Lesser lords
0map.appoint.sub_category.others,Lainnya
9map.appoint.sub_category.expansion,Ekspansi
8map.appoint.sub_category.others,Lainnya
product_change_price.neighbore_town_attacked,"Karena serangan terhadap {faction_uuid_town}, harga lebih tinggi sebesar <red>{price_factor}%</red>."
no_defence_allies,Tidak ada sekutu
map.category.lords,Para lord
map.hostage_player,Tebusan untuk sandera
map.lord_low_loyalty,Lord siap untuk pergi
map.lord_rebellion.nobody_support,Tidak ada
map.lord_rebellion_heir,Pemberontakan Pewaris
map.lord_rebellion_king,Perlindungan terhadap pemberontakan
map.hire_bandits,Menyewa begal
map.solders_gift,Tawarkan bantuan
map.appoint.events,Peristiwa
map.category.criminals,Perbuatan Gelap
map.category.politics,Politik
map.category.attack,Serangan
map.category.marriage,Pernikahan
map.category.trade,Perdagangan
map.abandoned_town,Kota yang Ditinggalkan
map.marriage_female,Pengantin Wanita yang Akan Dinikahkan
map.marriage_male,Pengantin Pria yang Akan Dinikahkan
map.loan,Peminjaman Uang
map.king_tribute,Ancaman Perampokan
map.king_tribute_light,Permintaan Sopan untuk Upeti
map.demand_tribute,Permintaan Sopan untuk Upeti
map.assault_fair,Merampok kota
map.assault_unfair,Merampok kota
map.city_burn_ai,Ancaman Penghancuran
map.demand_peace,Usul Perjanjian Damai
map.declared_peace_broken,Perjanjian Damai Dibatalkan
map.trade_agreement_broken,Perjanjian Perdagangan Dihentikan
map.declared_peace,Perjanjian Damai
map.demand_defence_alliance_to_player,Usul Aliansi
map.declared_defence_alliance,Aliansi Kota-Kota Bebas
map.demand_defence_ally_army,Permintaan Bantuan
map.demand_vassal_waiting,Menunggu Tanggapan
map.demand_vassal_attack_waiting,Menunggu Serangan
map.demand_vassal_light_player,Tuntutan Vasal
map.demand_vassal_player,Tuntutan Vasal
map.help_against_faceless,Bantuan Melawan Unholy Horde
map.demand_kill_own_bandits_camp,Tuntutan untuk Menghilangkan Begal
map.conquest,Memulihkan Vasal
map.king_attack,Tuntutan untuk Pengepungan
map.demand_attack,Tuntutan untuk Pengepungan
map.slaves_offer,Penjualan Narapidana
map.trade_offer,Tawaran Perdagangan
map.trade_request,Permintaan Perdagangan
map.village,Desa
map.village_neighbore,Desa Raja Tetangga
map.village.short,"Sebuah pemukiman kecil tanpa akses ke perdagangan, besi, atau alat-alat canggih."
map.burned_village,Desa yang Terbakar
map.burned_village.short,"Sebuah desa yang dirampok dan dibakar. Setelah beberapa waktu, penduduk yang bersembunyi di hutan sekitar akan kembali dan membangunnya kembali, tapi untuk saat ini, tidak ada seorang pun di sini."
map.protect,Ancaman Serangan
map.protect.short,Sekelompok begal sedang berkumpul di dekat desa.
map.tribute,Upeti
map.tribute.short,- Desa telah mengumpulkan panennya dan siap membayar upeti kepada Anda.
map.mill,Peningkatan Penggilingan
map.mill.short,Tetua desa berencana untuk meningkatkan penggilingan desa.
map.hungry,Kelaparan
map.hungry.short,Ada panen buruk di desa. Makanan diperlukan.
map.sick,Wabah
map.sick.short,Wabah penyakit meletus. Obat-obatan sangat dibutuhkan.
map.meat,Kandang Babi Baru
map.meat.short,Penduduk meminta bantuan untuk membangun kandang babi.
map.bandits_camp,Kemah Begal Hutan
map.bandits_camp.short,Dihuni oleh Begal (hutan). Mereka akan sesekali menyerang pemukiman Anda.
map.bandits_hostage,Sandera - {lord_name}
map.bandits_hostage.short,Seorang lord disandera dan tebusan diminta.
map.wolfes,Fleshwolf Dekat
map.wolfes.short,"Sekelompok Fleshwolf telah menghalangi jalan menuju pemukiman Anda. Namun, mereka mungkin segera pergi."
map.slaves,Narapidana Kabur
map.slaves.short,Sekelompok narapidana kabur dari {city_name} terlihat di dekat kota Anda.
map.fanatics,Kelompok Penyiksa Diri
map.fanatics.short,Sekelompok kecil peziarah penyiksa diri meminta makanan.
map.theif,Pencuri yang Melarikan Diri
map.theif.short,"Seorang pencuri terlihat di dekat sini, yang baru-baru ini bekerja di kota {city_name}."
map.lord_in_run,Lord yang Melarikan Diri
map.lord_in_run.short,Seorang lord dari {house_name_1} telah melarikan diri dari penahanan {house_name_2}. Pengejar berada dekat.
map.lord_in_run_2,Lord yang Melarikan Diri
maplord_in_run_2.short,Lord dari {house_name_1} dikejar oleh begal. Pasukannya hampir habis.
map.lord_in_run_3,Lord yang Melarikan Diri
map.lord_in_run_3.short,Lord dari faksi {house_name_1} telah memutuskan untuk meninggalkan rumah dan mencari perlindungan.
map.lovers_in_run," "
map.lovers_in_run.short,Dua pemuda dari rumah berbeda saling jatuh cinta dan melarikan diri.
map.caravan,Caravan yang Dilindungi
map.caravan.short,Caravan dari {house_name_1} dengan narapidana dan barang sedang menuju {city_name_2}.
map.dispute," "
map.dispute.short,Dua rumah bertengkar atas kepemilikan desa. Anda bisa mendukung salah satunya.
map.bride,Pengantin Wanita Mencari Pasangan.
map.bride.short,"{soul_uuid_bride} telah mencapai usia pernikahan, dan raja mencari pasangan yang cocok untuknya."
map.groom,Pengantin Pria Mencari Pasangan.
map.groom.short,"{soul_uuid_groom} telah mencapai usia pernikahan, dan raja mencari pasangan yang cocok untuknya."
map.q_hermit," "
map.long.q_hermit," "
map.q_hermit.short," "
map.risk.q_hermit," "
map.menu.quest.description,DESKRIPSI
map.menu.quest.details,Detail
map.menu.quest.consequences,Konsekuensi yang Mungkin
map.menu.quest.reward,HADIAH YANG MUNGKIN
map.menu.quest.reward_or,atau
map.menu.status.days_left,{remain_days} hari lagi
map.menu.modal.result.success,Berhasil!
map.menu.modal.result.fail,Gagal!
map.menu.modal.ok,Baik
map.menu.status.timeless,Tidak Terbatas
map.menu.status.go_home,Kembali ke Rumah
map.menu.quest.ignore,Mengabaikan
map.menu.quest.waiting,Menunggu
map.menu.quest.time_over,Kesepakatan Telah Kedaluwarsa
map.menu.quest.tragic,Kecelakaan Tragis
map.menu.quest.bad_opinion,Hubungan Buruk
map.menu.quest.hostage_rescue,Pembebasan Sandera
map.menu.button.create_army,Buat Regu Baru
map.menu.button.send_army,Kirim
map.menu.prepare_to_battle.header,Pertempuran di {place}
map.menu.prepare_to_battle.in_town,di gerbang {town_name}
map.menu.prepare_to_battle.near_town,dekat {town_name}
map.menu.prepare_to_battle.battle_begin,Pertempuran Dimulai
map.menu.town.guest_lords,Para Lord sebagai Tamu
map.menu.town.information,Informasi
map.menu.town.economic,Ekonomi
map.menu.town.army,Pasukan
map.menu.army_composition,Komposisi Pasukan
map.menu.town.local_lords,Para Lord
map.menu.town.ruling_family,Keluarga Penguasa
map.menu.town.status.hostile,Permusuhan
map.menu.town.status.friendly,Ramah
map.menu.town.status.neutral,Netral
map.menu.town.status.independent,Independen
map.menu.town.status.vassal,Vassal
map.menu.town.status.suzerain,Suzerain
map.menu.town.relations,Hubungan
map.menu.messenger,Utusan
map.army,Pasukan
map.declared_trade_agreement,Kesepakatan Perdagangan
map.forcing_neutrality,Memaksa Netralitas
map.personal_conflict,Konflik antar Tetangga
map.help_against_bandits,Bantuan melawan Begal
map.help_against_mountains_bandits,Bantuan melawan Begal
map.neutralization_order,Perintah Netralisasi
map.menu.town.status.ally,Dalam Aliansi
map.menu.town.status.alliance_leader,Kepala Aliansi
map.stolen_rings_offer,Holy Rings yang Dicuri
map.holy_defence_was_removed,"<red>Perlindungan Keluarga Penuh Kasih telah dihapus!</red>

Aksi agresif berarti bahwa Anda tidak lagi memerlukan <hint=hint_holy_protection>Perlindungan Keluarga Penuh Kasih</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>Perlindungan Keluarga Penuh Kasih</hint> akan dihapus!
map.trade.offer.alias,Kota menjual: {resource_name}
map.trade.request.alias,Kota membeli: {resource_name}
map.menu.town.king_family,KELUARGA RAJA
map.menu.town.guests,TAMU
map.menu.town.faction_lords,LORD {town}
map.menu.town.vassal_of,Vassal dari
map.menu.town.ally_of,Sekutu dari
map.player_vassal_rebellion,Vassal Pemberontak
product_change_price.rats_invasion,"Karena <hint=hint_prophecy_rats_invasion>Invasi Tikus</hint>, harga lebih tinggi sebesar <red>{price_factor}%</red>."
product_change_price.tree_bug,"Karena <hint=hint_prophecy_tree_bug>kumbang kayu</hint>, harga lebih tinggi sebesar <red>{price_factor}%</red>."
product_change_price.fields_sick,"Karena <hint=hint_prophecy_fields_sick_one>infeksi tanaman</hint>, harga lebih tinggi sebesar <red>{price_factor}%</red>."
map.universal_help.danger_army,<center>Tentara penyerang:</center>
map.appoint.estimated_time,Estimasi waktu untuk menyelesaikan tugas: {estimated_time}
map.appoint.estimated_time_army,Perjalanan akan memakan waktu {estimated_time}
map.appoint.tasks,Aksi
map.category.improve_relations,Meningkatkan Hubungan
map.guest.remain_stay_time,"<tight><center><b>Karakter sedang di luar kota</b></center>.

</tight>Karakter ini saat ini adalah tamu di kota {faction_uuid}.

Mereka kemungkinan akan pulang dalam {remain_time}."
map.your_province,Provinsi Anda
map.burn_town_waiting,Mempersiapkan pembakaran kota
map.last_female_in_faction,Anda memiliki wanita terakhir yang belum menikah
map.defence_alliance_leaving_ai,Konflik dengan Sekutu
map.defence_alliance_leaving_player,Konflik dengan Pemimpin Aliansi
product_change_price.temporary,Kenaikan harga sementara sebesar <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} mempermalukan {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} menghina {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} memarahi {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} menginjak-injak {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} menginjak {name_target} ke dalam lumpur
actor.deep_social_alias.abuse_6,{name_initiator} menghancurkan emosi {name_target}
actor.deep_social_alias.abuse_7,{name_initiator} membungkam {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} memuji {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} berbincang dari hati dengan {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} menghibur {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} menghangatkan hati {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} berterima kasih kepada {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} memuji {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} memberikan penghargaan kepada {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} mengejek {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} membuat {name_target} tampak seperti orang bodoh
actor.deep_social_alias.evil_joke_3,{name_initiator} menggoda {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} mengejek {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} memparodikan {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} mengejek secara sarkastik {name_target}
actor.deep_social_alias.flattery_1,{name_initiator} menjilat {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} merayu {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} merendah diri di hadapan {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} merayap di hadapan {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} mengagumi secara tidak tulus {name_target}
actor.deep_social_alias.flattery_6,{name_initiator} memuji setinggi langit {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} memijat ego {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} bertukar lelucon cerdas dengan {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} menceritakan lelucon baru kepada {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} tertawa riang bersama {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} berbagi anekdot dengan {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} menunjukkan parodi kepada {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} berbagi rumor dengan {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} mengungkap seluruh kebenaran kepada {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} mengonfirmasi ketakutan {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} berbagi rahasia dengan {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} membuka mata {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} mengungkap esensi {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} memberi petunjuk halus kepada {name_target}
actor.deep_social_alias.slight_1,{name_initiator} mengabaikan {name_target}
actor.deep_social_alias.slight_2,{name_initiator} mengabaikan {name_target}
actor.deep_social_alias.slight_3,{name_initiator} menempatkan {name_target} pada tempatnya
actor.deep_social_alias.slight_4,{name_initiator} berpura-pura tidak mendengar {name_target}
actor.deep_social_alias.sorry_1,{name_initiator} meminta maaf kepada {name_target}
actor.deep_social_alias.bye_1,"{name_initiator} mengucapkan selamat tinggal kepada {name_target} sebelum pergi.
"
actor.deep_social_alias.bye_2,{name_initiator} berjanji kepada {name_target} bahwa mereka akan kembali secepat mungkin.
actor.deep_social_alias.bye_3,{name_target} mengucapkan perjalanan selamat kepada {name_initiator}.
actor.deep_social_alias.flirt_1,{name_initiator} sedang mencoba merayu {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} mengajak {name_target} kencan
actor.deep_social_alias.flirt_3,{name_initiator} sedang merayu secara berbahaya {name_target}
actor.deep_social_alias.flirt_4,{name_initiator} berjanji kepada {name_target} malam yang panas
opinion_mind_interest.hint_title,Minat: {interest}
opinion_mind_interest.zodiak_signs,Bau
opinion_mind_interest.beauty,Penampilan
opinion_mind_interest.age,Pesona Masa Muda
opinion_mind_interest.drank,Pengaruh Alkohol
opinion_mind_interest.love,Cinta
opinion_mind_interest.religious_fan,Perselisihan Agama
opinion_mind_interest.scars,Bekas Luka
opinion_mind_interest.ugly,Cacat
opinion_mind_interest.romantic,Kebutuhan Seks
opinion_mind_interest.opinion,Hubungan
opinion_mind_interest.manners,Perbedaan Etika
opinion_mind_interest.guest,Tamu
opinion_mind_interest.has_paramour,Perasaan terhadap Pasangan Saat Ini
opinion_mind_rumor_prefix,Rumor: {rumor}
opinion_mind.abuse,Menghina saya
opinion_mind.abuse_paramour,Menghina pasangan
opinion_mind.adultery,Tidak Sadar akan Perselingkuhan Saya
opinion_mind.blinded_relative,Membutakan Orang Tercinta
opinion_mind.bribe_me,Menyuap saya
opinion_mind.chitchat,Obrolan Ringan
opinion_mind.close_relative,Kerabat Dekat
opinion_mind.convicted_of_adultery,Pengkhianatan Pasangan
opinion_mind.coward,Penakut
opinion_mind.criminal,Terlibat dalam Kejahatan
opinion_mind.deep_talk,Percakapan Mendalam
opinion_mind.drunk_fight,Tawuran Mabuk
opinion_mind.beat_me,Memukuli saya
opinion_mind.envy_happy,Terlalu Bahagia!
opinion_mind.envy_runes,Iri pada Holy Rings
opinion_mind.envy_for_babys,Iri pada Keturunan
opinion_mind.envy_for_victory,Iri pada Kemenangan
opinion_mind.evil_joke,Mengejek saya!
opinion_mind.ex_paramour,Pasangan Mantan
opinion_mind.executed_relative,Mengeksekusi orang yang dicintai
opinion_mind.punished_me,Menghukum saya!
opinion_mind.flattery,Menyanjung saya
opinion_mind.flirt,Janji temu mendatang
opinion_mind.game_of_dice_loose,Menang melawan saya dalam permainan dadu!
opinion_mind.gift,Memberi saya hadiah
opinion_mind.good_commander,Komandan sukses
opinion_mind.good_joke,Tertawa bersama dengan hebat!
opinion_mind.king_gift,Memberi saya hadiah kerajaan
opinion_mind.heir_envy,Keinginan untuk takhta
opinion_mind.hunt_together,Berburu bersama
opinion_mind.intrigue,Rumor kotor
opinion_mind.sorry,Meminta maaf
opinion_mind.jealousy,Saingan!
opinion_mind.love,Saya tergila-gila padanya!
opinion_mind.negative_rumor_1,Makan di malam hari
opinion_mind.negative_rumor_10,Berencana pergi selamanya
opinion_mind.negative_rumor_11,Menderita penyakit kelamin
opinion_mind.negative_rumor_12,Mengompol di tempat tidur
opinion_mind.negative_rumor_13,Menyimpan sampah
opinion_mind.negative_rumor_14,Ateis rahasia
opinion_mind.negative_rumor_15,Tidur di tikar di dekat pintu
opinion_mind.negative_rumor_16,Pemimpi api rahasia
opinion_mind.negative_rumor_17,Jarang mandi
opinion_mind.negative_rumor_18,Selalu menghabiskan sisa makanan
opinion_mind.negative_rumor_19,Berjalan telanjang di malam hari
opinion_mind.negative_rumor_2,Mengorek hidung
opinion_mind.negative_rumor_20,Dikuasai roh jahat
opinion_mind.negative_rumor_21,Menyembah tunggul
opinion_mind.negative_rumor_22,Tidak mampu berhubungan seks
opinion_mind.negative_rumor_23,Menggaruk ketiak
opinion_mind.negative_rumor_24,Makan serangga
opinion_mind.negative_rumor_25,Berteriak di malam hari
opinion_mind.negative_rumor_3,Mengintip pelayan
opinion_mind.negative_rumor_4,Kentut
opinion_mind.negative_rumor_6,Minum banyak
opinion_mind.negative_rumor_7,Menggunjing di belakang orang
opinion_mind.negative_rumor_8,Mencuri peralatan makan
opinion_mind.negative_rumor_9,Kebotakan
opinion_mind.night_murder,Pembunuh kejam
opinion_mind.other_relatives,Kerabat lain
opinion_mind.paramour,Sahabat jiwa
opinion_mind.paranoid_hate,Kebencian paranoid
opinion_mind.personality_arrogant,Meremehkan karena kemiskinan
opinion_mind.personality_contradictory_hate,Kebencian tak terjelaskan
opinion_mind.personality_contradictory_love,Cinta tak terjelaskan
opinion_mind.personality_mismatch,Kepribadian tidak menyenangkan
opinion_mind.personality_mismatch_heavy,Kepribadian sangat tidak menyenangkan
opinion_mind.positive_rumor_1,Secara rahasia menulis puisi
opinion_mind.positive_rumor_10,Romantis rahasia
opinion_mind.positive_rumor_11,Menyesali masa lalu
opinion_mind.positive_rumor_12,Melihat orang mati
opinion_mind.positive_rumor_13,Sakit parah
opinion_mind.positive_rumor_15,Sangat menyayangi anak-anak
opinion_mind.positive_rumor_16,Memelihara tikus peliharaan
opinion_mind.positive_rumor_17,Memiliki kemampuan hipnosis
opinion_mind.positive_rumor_18,Cinta secara rahasia
opinion_mind.positive_rumor_2,Lembut di tempat tidur
opinion_mind.positive_rumor_3,Depresi tersembunyi
opinion_mind.positive_rumor_4,Dihantui rasa bersalah
opinion_mind.positive_rumor_5,Menanam bunga
opinion_mind.positive_rumor_6,Mimpi belajar terbang
